吉	Bns
林	Mns
省	Ens
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
关	Bp
于	Ep
第	Bl
一	Ml
季	Ml
度	El
食	Bl
品	Ml
安	Ml
全	El
监	Bvn
督	Evn
抽	Bv
检	Ev
情	Bn
况	En
的	Suj
通	Bn
告	En
。	Sw

按	Bp
照	Ep
《	Sw
 	Sw

食	Bn
品	Mn
药	Mn
品	En
监	Bvn
管	Evn
总	Bn
局	En
关	Bp
于	Ep
做	Bv
好	Ev
食	Bn
品	En
 	Sw

抽	Bv
检	Ev
及	Sc
信	Bn
息	En
发	Bv
布	Ev
工	Bvn
作	Evn
的	Suj
意	Bn
见	En
》	Sw
（	Sw
食	Bn
药	Mn
监	En
食	Bn
监	En
三	Sm
〔	Sw
2	Bm
0	Mm
1	Mm
5	Em
〕	Sw
6	Bm
4	Em
号	Sm
）	Sw
相	Bv
关	Ev
要	Bv
求	Ev
，	Sw
省	Bn
局	En
对	Sp
全	Bn
省	En
辖	Bn
区	En
内	Sn
各	Br
级	Er
 	Sw

食	Bl
品	Ml
安	Ml
全	El
监	Bn
管	Mn
部	Mn
门	En
的	Suj
抽	Bv
检	Ev
信	Bn
息	En
情	Bn
况	En
进	Bv
行	Ev
了	Sul
汇	Bn
总	En
分	Bvn
析	Evn
。	Sw

2	Bm
0	Mm
1	Mm
7	Em
年	Sm
第	Bl
一	Ml
季	Ml
度	El
（	Sw
1	Sm
月	Sm
2	Bm
1	Em
日	Sm
-	Sw
3	Sm
月	Sm
2	Bm
0	Em
日	Sm
）	Sw
全	Bn
省	En
共	Sd
抽	Bv
检	Ev
各	Br
类	Er
食	Bn
品	En
1	Bm
4	Mm
7	Mm
8	Mm
6	Em
批	Bd
次	Ed
，	Sw
其	Br
中	Er
检	Bvn
验	Evn
项	Bn
目	En
合	Bn
格	En
的	Suj
样	Bn
品	En
1	Bm
4	Mm
5	Mm
3	Mm
9	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
2	Bm
4	Mm
7	Em
批	Bd
次	Ed
，	Sw
合	Bn
格	Mn
率	En
为	Sp
9	Bm
8	Mm
.	Mm
3	Mm
3	Em
%	Sw
。	Sw

 	Sw

在	Sp
各	Br
类	Er
食	Bn
品	En
中	Sf
，	Sw
日	Bd
常	Ed
消	Bn
费	Mn
量	En
较	Ba
大	Ea
的	Suj
食	Bn
品	En
种	Bn
类	En
抽	Bv
检	Ev
情	Bn
况	En
为	Sp
：	Sw
食	Bn
用	En
农	Bn
产	Mn
品	En
抽	Bv
检	Ev
4	Bm
0	Mm
6	Mm
6	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
4	Sw
批	Bd
次	Ed
，	Sw
合	Bn
格	Mn
率	En
为	Sp
9	Bm
9	Mm
.	Mm
9	Mm
0	Em
%	Sw
；	Sw

肉	Bn
制	Mn
品	En
抽	Bv
检	Ev
1	Bm
8	Mm
4	Mm
2	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
3	Bm
1	Em
批	Bd
次	Ed
，	Sw
合	Bn
格	Mn
率	En
为	Sp
9	Bm
8	Mm
.	Mm
3	Mm
2	Em
%	Sw
；	Sw

餐	Bn
饮	En
食	Bn
品	En
抽	Bv
检	Ev
1	Bm
4	Mm
1	Mm
9	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
1	Bm
1	Mm
7	Em
批	Bd
次	Ed
，	Sw
合	Bn
格	Mn
率	En
为	Sp
9	Bm
1	Mm
.	Mm
7	Mm
5	Em
%	Sw
；	Sw

调	Bn
味	Mn
品	En
抽	Bv
检	Ev
1	Bm
0	Mm
9	Mm
6	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
7	Sw
批	Bd
次	Ed
，	Sw
合	Bn
格	Mn
率	En
为	Sp
9	Bm
9	Mm
.	Mm
3	Mm
6	Em
%	Sw
；	Sw

饮	Bn
料	En
抽	Bv
检	Ev
9	Bm
0	Mm
0	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
9	Sw
批	Bd
次	Ed
，	Sw
合	Bn
格	Mn
率	En
为	Sp
9	Bm
9	Mm
.	Mm
0	Mm
0	Em
%	Sw
；	Sw

蔬	Bn
菜	Mn
制	Mn
品	En
抽	Bv
检	Ev
8	Bm
1	Mm
5	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
2	Bm
0	Em
批	Bd
次	Ed
，	Sw
合	Bn
格	Mn
率	En
为	Sp
9	Bm
7	Mm
.	Mm
5	Mm
5	Em
%	Sw
；	Sw

酒	Bn
类	En
抽	Bv
检	Ev
7	Bm
2	Mm
2	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
1	Bm
9	Em
批	Bd
次	Ed
，	Sw
合	Bn
格	Mn
率	En
为	Sp
9	Bm
7	Mm
.	Mm
3	Mm
7	Em
%	Sw
；	Sw

粮	Bn
食	En
加	Bn
工	Mn
品	En
抽	Bv
检	Ev
1	Bm
2	Mm
0	Mm
3	Em
批	Bd
次	Ed
，	Sw
合	Bn
格	Mn
率	En
为	Sp
1	Bm
0	Mm
0	Em
%	Sw
。	Sw

 	Sw

