沪	Sj
食	Bn
药	Mn
监	En
抽	Bv
检	Ev
：	Sw
调	Bn
味	Mn
品	En
、	Sw
葵	Bn
花	Mn
籽	En
油	Sn
等	Su
5	Sm
批	Bd
次	Ed
食	Bn
品	En
样	Bn
品	En
不	Sd
合	Bn
格	En
。	Sw

中	Bns
国	Ens
质	Bn
量	En
新	Bnz
闻	Mnz
网	Enz
讯	Sng
 	Sw

2	Bm
0	Mm
1	Mm
7	Em
年	Sm
8	Sm
月	Sm
2	Bm
3	Em
日	Sm
，	Sw
上	Bns
海	Mns
市	Ens
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
官	Bn
网	En
公	Bv
布	Ev
2	Bm
0	Mm
1	Mm
7	Em
年	Sm
第	Sm
3	Bm
3	Em
期	Sn
省	Bb
级	Eb
食	Bl
品	Ml
安	Ml
全	El
监	Bvn
督	Evn
抽	Bv
检	Ev
信	Bn
息	En
，	Sw
抽	Bv
检	Ev
样	Bn
品	En
共	Bv
计	Ev
1	Bm
1	Mm
1	Mm
4	Em
批	Bd
次	Ed
，	Sw
其	Br
中	Er
合	Bn
格	En
1	Bm
1	Mm
0	Mm
9	Em
批	Bd
次	Ed
、	Sw
不	Sd
合	Bn
格	En
5	Sw
批	Bd
次	Ed
。	Sw

 	Sw

本	Br
次	Er
公	Bn
告	En
的	Suj
监	Bvn
督	Evn
抽	Bv
检	Ev
信	Bn
息	En
涉	Bv
及	Ev
8	Sm
大	Sa
类	Bn
食	Mn
品	En
，	Sw
包	Bv
括	Ev
：	Sw
粮	Bn
食	En
加	Bn
工	Mn
品	En
，	Sw
食	Bn
用	Mn
油	En
、	Sw
油	Bn
脂	En
及	Bc
其	Ec
制	Bn
品	En
，	Sw
调	Bn
味	Mn
品	En
，	Sw
肉	Bn
制	Mn
品	En
，	Sw
乳	Bn
制	Mn
品	En
，	Sw
饮	Bn
料	En
，	Sw
方	Ba
便	Ea
食	Bn
品	En
，	Sw
饼	Bn
干	En
等	Su
。	Sw

不	Sd
合	Bn
格	En
样	Bn
品	En
为	Sp
食	Bn
用	Mn
油	En
、	Sw
油	Bn
脂	En
及	Bc
其	Ec
制	Bn
品	En
1	Sw
批	Bd
次	Ed
，	Sw
调	Bn
味	Mn
品	En
4	Sw
批	Bd
次	Ed
。	Sw

 	Sw

据	Sp
本	Br
次	Er
发	Bv
布	Ev
的	Suj
《	Sw
调	Bn
味	Mn
品	En
监	Bvn
督	Evn
抽	Bv
检	Ev
不	Sd
合	Bn
格	En
产	Bn
品	En
信	Bn
息	En
》	Sw
，	Sw
标	Bn
称	En
上	Bns
海	Ens
洪	Bnr
宁	Enr
食	Bn
品	En
有	Bn
限	Mn
公	Mn
司	En
生	Bvn
产	Evn
