最	Bf
近	Ef
，	Sw
深	Bns
圳	Ens
抽	Bv
检	Ev
的	Suj
月	Bn
饼	En
中	Sf
 	Sw

龙	Bnr
岗	Enr
平	Bns
湖	Ens
这	Br
家	Er
不	Sd
合	Bn
格	En
！	Sw

。	Sw

中	Bt
秋	Mt
节	Et
快	Sa
到	Sv
了	Sul
，	Sw
月	Bn
饼	En
销	Bvn
售	Evn
进	Bv
入	Ev
旺	Bn
季	En
，	Sw
市	Bn
面	Mn
上	En
的	Suj
月	Bn
饼	En
都	Sd
合	Bn
格	En
吗	Sy
？	Sw

消	Bvn
息	Mvn
报	Evn
记	Bn
者	En
从	Sp
深	Bns
圳	Mns
市	Ens
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
了	Bv
解	Ev
到	Sv
，	Sw
日	Bt
前	Et
，	Sw
该	Br
局	Er
检	Bvn
测	Evn
了	Sul
全	Bn
市	En
的	Suj
食	Bn
品	En
生	Bvn
产	Evn
企	Bn
业	En
、	Sw
商	Bn
场	En
超	Bv
市	Ev
、	Sw
餐	Bn
厅	En
酒	Bn
楼	En
制	Bvn
作	Evn
和	Sc
销	Bvn
售	Evn
的	Suj
月	Bn
饼	En
，	Sw
共	Sd
抽	Bv
检	Ev
1	Bm
6	Mm
7	Em
家	Sm
单	Bn
位	En
的	Suj
月	Bn
饼	En
3	Bm
2	Mm
6	Em
批	Bd
次	Ed
，	Sw
只	Sd
发	Bv
现	Ev
1	Sw
批	Bd
次	Ed
不	Sd
合	Bn
格	En
。	Sw

其	Br
中	Er
，	Sw
 	Sw

南	Bns
山	Mns
区	Ens
抽	Bv
检	Ev
的	Suj
1	Bm
6	Em
家	Sm
单	Bn
位	En
2	Bm
9	Em
批	Bd
次	Ed
月	Bn
饼	En
全	Bn
部	En
合	Bn
格	En
。	Sw

 	Sw

此	Br
次	Er
抽	Bv
检	Ev
主	Bb
要	Eb
检	Bvn
测	Evn
了	Sul
月	Bn
饼	En
微	Bl
生	Ml
物	El
、	Sw
理	Bv
