甘	Bns
肃	Mns
省	Ens
工	Bj
商	Mj
局	Ej
：	Sw
5	Bm
4	Em
批	Bd
次	Ed
服	Bvn
装	Evn
抽	Bv
检	Ev
不	Sd
合	Bn
格	En
。	Sw

￥	Sw
 	Sw

1	Bm
1	Mm
.	Mm
8	Em
元	Sm
/	Sw
米	Sq
 	Sw

￥	Sw
 	Sw

8	Bm
.	Mm
3	Mm
0	Em
元	Sm
/	Sw
米	Sq
 	Sw

￥	Sw
 	Sw

3	Bm
8	Mm
.	Mm
0	Mm
0	Em
元	Sm
/	Sw
码	Sn
 	Sw

￥	Sw
 	Sw

1	Bm
.	Mm
9	Mm
0	Em
元	Sm
/	Sw
支	Sn
 	Sw

￥	Sw
 	Sw

1	Bm
2	Mm
.	Mm
0	Mm
0	Em
元	Sm
/	Sw
码	Sn
 	Sw

￥	Sw
 	Sw

2	Bm
.	Mm
5	Mm
0	Em
元	Sm
/	Sw
码	Sn
 	Sw

￥	Sw
 	Sw

4	Bm
.	Mm
0	Mm
0	Em
元	Sm
/	Sw
码	Sn
 	Sw

￥	Sw
 	Sw

1	Bm
.	Mm
0	Mm
0	Em
元	Sm
/	Sw
个	Sq
 	Sw

￥	Sw
 	Sw

1	Bm
0	Mm
0	Mm
.	Mm
0	Mm
0	Em
元	Sm
/	Sw
套	Sq


