海	Bs
北	Es
州	Sn
抽	Bv
检	Ev
：	Sw
1	Sw
批	Bd
次	Ed
菜	Bn
籽	Mn
油	En
样	Bn
品	En
不	Sd
合	Bn
格	En
。	Sw

序	Bn
号	En
 	Sw

报	Bn
告	En
编	Bn
号	En
 	Sw

样	Bn
品	En
名	Bn
称	En
 	Sw

抽	Bv
样	Ev
单	Sn
编	Bn
号	En
 	Sw

被	Sp
抽	Bv
检	Ev
人	Sn
 	Sw

联	Bl
系	Ml
电	Ml
话	El
 	Sw

检	Bvn
测	Evn
项	Bn
目	En
 	Sw

检	Bvn
测	Evn
结	Bn
果	En
 	Sw

不	Sd
合	Bn
格	En
项	Bn
目	En
 	Sw

1	Sw
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
1	Meng
1	Eeng
 	Sw

菜	Bn
籽	Mn
油	En
 	Sw

Q	Beng
H	Meng
H	Meng
B	Meng
1	Meng
7	Eeng
-	Sw
0	Bm
2	Mm
1	Em
 	Sw

门	Bn
源	En
县	Szg
东	Bns
川	Ens
马	Bns
国	Ens
太	Sns
油	Bn
坊	En
 	Sw

1	Bm
3	Mm
1	Mm
3	Mm
9	Mm
1	Mm
0	Mm
3	Mm
8	Mm
3	Mm
3	Em
 	Sw

酸	Bn
价	En
、	Sw
过	Bn
氧	Mn
化	En
值	Sn
、	Sw
铅	Sn
、	Sw
总	Sb
砷	Sn
、	Sw
苯	Sn
并	Sc
（	Sw
α	Sw
）	Sw
芘	Sw
、	Sw
丁	Bnr
基	Enr
羟	Bnz
基	Enz
茴	Bn
香	En
醚	Sn
、	Sw
二	Sm
丁	Bnr
基	Enr
羟	Bnz
基	Enz
甲	Bnz
苯	Enz
、	Sw
特	Bnr
丁	Mnr
基	Enr
对	Bnz
苯	Mnz
二	Mnz
酚	Enz
、	Sw
没	Bl
食	Ml
子	Ml
酸	El
丙	Bnz
酯	Enz
、	Sw
丙	Bnz
二	Mnz
醛	Enz
 	Sw

合	Bn
格	En
 	Sw

/	Sw
 	Sw

2	Sw
 	Sw

S	Beng
P	Meng
1	Meng
7	Meng
0	Meng
7	Meng
0	Meng
5	Meng
1	Meng
2	Eeng
