粤	Sj
今	Bt
年	Et
校	Bn
服	En
抽	Bv
查	Ev
不	Sd
合	Bn
格	En
产	Bn
品	En
发	Bv
现	Ev
率	Sv
超	Sv
1	Sm
成	Sn
 	Sw

无	Sv
严	Ba
重	Ea
质	Bn
量	En
问	Bn
题	En
。	Sw

8	Sm
月	Sm
3	Bm
0	Em
日	Sm
，	Sw
在	Sp
中	Bj
小	Mj
学	Ej
开	Bn
学	En
之	Bf
际	Ef
，	Sw
广	Bns
东	Mns
省	Ens
质	Bnt
量	Mnt
技	Mnt
术	Mnt
监	Mnt
督	Mnt
局	Ent
举	Bv
行	Ev
新	Bn
闻	En
发	Bn
布	Mn
会	En
，	Sw
公	Bv
布	Ev
了	Sul
2	Bm
0	Mm
1	Mm
6	Em
年	Sm
三	Bmq
季	Mmq
度	Emq
校	Bn
服	En
产	Bn
品	Mn
质	Mn
量	En
抽	Bv
查	Ev
结	Bn
果	En
。	Sw

8	Sm
月	Sm
3	Bm
0	Em
日	Sm
，	Sw
在	Sp
中	Bj
小	Mj
学	Ej
开	Bn
学	En
之	Bf
际	Ef
，	Sw
广	Bns
东	Mns
省	Ens
质	Bnt
量	Mnt
技	Mnt
术	Mnt
监	Mnt
督	Mnt
局	Ent
举	Bv
行	Ev
新	Bn
闻	En
发	Bn
布	Mn
会	En
，	Sw
公	Bv
布	Ev
了	Sul
2	Bm
0	Mm
1	Mm
6	Em
年	Sm
三	Bmq
季	Mmq
度	Emq
校	Bn
服	En
产	Bn
品	Mn
质	Mn
量	En
抽	Bv
查	Ev
结	Bn
果	En
。	Sw

此	Br
次	Er
对	Sp
2	Bm
3	Em
个	Sm
地	Bn
市	En
（	Sw
区	Sn
）	Sw
9	Bm
3	Em
家	Sm
企	Bn
业	En
生	Bvn
产	Evn
的	Suj
3	Bm
0	Mm
0	Em
批	Bd
次	Ed
的	Suj
中	Bj
小	Mj
学	Mj
生	Ej
校	Bn
服	En
产	Bn
品	En
的	Suj
抽	Bv
检	Ev
中	Sf
，	Sw
共	Bv
有	Ev
3	Bm
9	Em
批	Bd
次	Ed
产	Bn
品	En
不	Sd
合	Bn
格	En
，	Sw
不	Sd
合	Bn
格	En
产	Bn
品	En
发	Bv
现	Ev
率	Bv
为	Ev
1	Bm
3	Mm
.	Mm
0	Em
%	Sw
。	Sw

剔	Bv
除	Ev
2	Bm
5	Em
批	Bd
次	Ed
仅	Sd
使	Bv
用	Ev
说	Bv
明	Ev
不	Sd
合	Bn
格	En
产	Bn
品	En
，	Sw
实	Bn
物	En
质	Bn
量	En
不	Sd
合	Bn
格	En
产	Bn
品	En
发	Bv
现	Ev
率	Bv
为	Ev
4	Bm
.	Mm
7	Em
%	Sw
。	Sw

广	Bns
东	Mns
省	Ens
质	Bj
监	Mj
局	Ej
介	Bv
绍	Ev
，	Sw
今	Bt
年	Et
，	Sw
校	Bn
服	En
不	Sd
合	Bn
格	En
产	Bn
品	En
发	Bv
现	Ev
率	Sv
比	Sp
前	Sf
几	Bm
年	Em
有	Bn
所	En
下	Bv
降	Ev
，	Sw
且	Szg
产	Bn
品	En
不	Sd
合	Bn
格	En
项	Bn
目	En
集	Bv
中	Ev
在	Sp
四	Bm
个	Em
方	Bn
面	En
：	Sw
纤	Bn
维	En
成	Bn
分	En
和	Sc
含	Bn
量	En
、	Sw
耐	Snz
摩	Bvn
擦	Evn
色	Sng
牢	Bd
度	Ed
、	Sw
耐	Snz
光	Bn
色	En
牢	Bd
度	Ed
和	Sc
P	Bn
H	Mn
值	En
；	Sw

没	Bv
有	Ev
出	Bv
现	Ev
甲	Bnz
醛	Enz
含	Bn
量	En
和	Sc
可	Bl
分	Ml
解	El
致	Bv
癌	Ev
芳	Bn
香	En
胺	Sn
染	Bn
料	En
这	Bnz
两	Mnz
项	Enz
严	Ba
重	Ea
质	Bn
量	En
问	Bn
题	En
，	Sw
校	Bn
服	En
质	Bn
量	En
总	Bn
体	En
情	Bn
况	En
较	Sd
好	Sa
。	Sw

广	Bns
东	Ens
产	Bn
品	Mn
质	Mn
量	En
监	Bvn
督	Evn
