这	Br
些	Er
药	Bn
品	En
抽	Bv
检	Ev
不	Sd
合	Bn
格	En
 	Sw

你	Sr
常	Sd
买	Sv
的	Suj
板	Bn
蓝	Mn
根	En
榜	Bl
上	Ml
有	Ml
名	El
。	Sw

为	Sp
加	Bv
强	Ev
药	Bn
品	En
质	Bn
量	En
监	Bvn
管	Evn
，	Sw
保	Bv
障	Ev
公	Bn
众	En
用	Bn
药	En
安	Ban
全	Ean
，	Sw
根	Bp
据	Ep
广	Bns
西	Ens
药	Bn
品	En
抽	Bv
检	Ev
计	Bn
划	En
，	Sw
自	Bn
治	Mn
区	En
食	Sv
药	Bnt
监	Mnt
局	Ent
组	Bv
织	Ev
对	Sp
辖	Bn
区	En
药	Bn
品	En
生	Bvn
产	Evn
、	Sw
经	Bvn
营	Evn
企	Bn
业	En
和	Sc
医	Bn
疗	Mn
机	Mn
构	En
进	Bv
行	Ev
了	Sul
药	Bn
品	En
质	Bn
量	En
抽	Bv
查	Ev
检	Bvn
验	Evn
。	Sw

板	Bn
蓝	Mn
根	En
颗	Bn
粒	En
、	Sw
复	Bn
方	En
丹	Bn
参	Mn
片	En
、	Sw
舒	Snr
筋	Bn
丸	En
、	Sw
氯	Bn
霉	Mn
素	En
滴	Bn
眼	Mn
液	En
抽	Bv
验	Ev
样	Bn
品	En
含	Bn
量	En
测	Bv
定	Ev
不	Sd
合	Bn
格	En
，	Sw
参	Bn
苓	En
白	Bn
术	En
丸	Szg
样	Bn
品	En
抽	Bv
验	Ev
水	Bn
分	En
、	Sw
装	Bn
量	En
差	Bn
异	En
、	Sw
含	Bn
量	En
测	Bv
定	Ev
不	Sd
合	Bn
格	En
。	Sw

 	Sw

经	Sn
核	Bvn
查	Evn
确	Bv
认	Ev
，	Sw
自	Bn
治	Mn
区	En
食	Sv
药	Bnt
监	Mnt
局	Ent
对	Sp
抽	Bv
验	Ev
不	Sd
符	Bn
合	Mn
标	Mn
准	En
规	Bn
定	En
的	Suj
5	Sm
批	Bd
次	Ed
药	Bn
品	En
制	Bn
剂	En
和	Sc
1	Sm
批	Bd
次	Ed
中	Bn
药	Mn
饮	Mn
片	En
予	Bv
以	Ev
公	Bn
告	En
。	Sw

同	Bc
时	Ec
，	Sw
对	Sp
检	Bvn
验	Evn
不	Sd
符	Bn
合	Mn
标	Mn
准	En
规	Bn
定	En
药	Bn
品	En
采	Bv
取	Ev
查	Bv
封	Ev
、	Sw
扣	Bv
押	Ev
、	Sw
暂	Bd
停	Ed
销	Bvn
售	Evn
等	Su
必	Bd
要	Ed
的	Suj
控	Bn
制	Mn
措	Mn
施	En
，	Sw
对	Sp
检	Bn
品	En
来	Bn
源	En
单	Bn
位	En
依	Bn
法	En
进	Bv
行	Ev
查	Bv
处	Ev
。	Sw

 	Sw

欢	Bv
迎	Ev
，	Sw
 	Sw

退	Bv
出	Ev


