C	Beng
F	Meng
D	Meng
A	Eeng
：	Sw
1	Bm
6	Em
批	Bd
次	Ed
药	Bn
品	En
抽	Bv
检	Ev
不	Sd
合	Bn
格	En
。	Sw

9	Sm
月	Sm
2	Bm
8	Em
日	Sm
，	Sw
国	Bn
家	En
食	Bn
药	Mn
监	En
总	Bn
局	En
发	Bv
布	Ev
《	Sw
关	Bp
于	Ep
1	Bm
6	Em
批	Bd
次	Ed
药	Bn
品	En
不	Sd
合	Bn
格	En
的	Suj
通	Bn
告	En
（	Sw
2	Bm
0	Mm
1	Mm
7	Em
年	Sm
第	Sm
1	Bm
5	Mm
6	Em
号	Sm
）	Sw
》	Sw
。	Sw

 	Sw

标	Bv
示	Ev
为	Sp
甘	Bns
肃	Ens
天	Bnr
森	Enr
药	Bn
业	En
有	Bn
限	Mn
公	Mn
司	En
等	Su
1	Bm
0	Em
家	Sm
企	Bn
业	En
生	Bvn
产	Evn
的	Suj
1	Bm
6	Em
批	Bd
次	Ed
药	Bn
品	En
不	Sd
合	Bn
格	En
。	Sw

（	Sw
详	Ba
见	Ea
附	Bn
件	En
）	Sw
 	Sw

对	Bp
于	Ep
不	Sd
合	Bn
格	En
药	Bn
品	En
，	Sw
总	Bn
局	En
在	Sp
通	Bn
告	En
中	Sf
说	Bv
明	Ev
，	Sw
相	Bv
关	Ev
省	Bb
级	Eb
食	Sv
药	Bnt
监	Mnt
局	Ent
已	Sd
采	Bv
取	Ev
查	Bv
封	Ev
扣	Bv
押	Ev
等	Su
控	Bn
制	Mn
措	Mn
施	En
，	Sw
要	Bv
求	Ev
企	Bn
业	En
暂	Bd
停	Ed
销	Bvn
售	Evn
使	Bv
用	Ev
、	Sw
召	Bv
回	Ev
产	Bn
品	En
，	Sw
并	Sc
进	Bv
行	Ev
整	Bv
改	Ev
。	Sw

 	Sw

总	Bn
局	En
要	Bv
求	Ev
相	Bv
关	Ev
监	Bn
管	Mn
部	Mn
门	En
，	Sw
对	Sp
生	Bvn
产	Evn
销	Bvn
售	Evn
不	Sd
合	Bn
格	En
药	Bn
品	En
的	Suj
违	Bl
法	Ml
行	Ml
为	El
进	Bv
行	Ev
立	Bn
案	En
调	Bvn
查	Evn
，	Sw
三	Bm
个	Em
月	Sm
内	Sf
公	Bad
开	Ead
对	Sp
生	Bvn
产	Evn
销	Bvn
售	Evn
不	Sd
合	Bn
格	En
药	Bn
品	En
相	Bv
关	Ev
企	Bn
业	En
或	Sc
单	Bn
位	En
的	Suj
处	Bn
理	Mn
结	Mn
果	En
，	Sw
相	Bv
关	Ev
情	Bn
况	En
及	Bc
时	Ec
报	Bn
告	En
总	Bn
局	En
。	Sw

 	Sw

附	Sv
：	Sw
1	Bm
6	Em
批	Bd
次	Ed
不	Sd
合	Bn
格	En
药	Bn
品	En
名	Bn
单	En


