北	Bns
京	Ens
快	Bn
捷	Mn
酒	Mn
店	En
卫	Ban
生	Ean
抽	Bv
检	Ev
9	Sm
成	Sn
合	Bn
格	En
。	Sw

本	Br
次	Er
专	Bn
项	En
共	Sd
监	Bvn
督	Evn
检	Bvn
查	Evn
6	Bm
9	Mm
1	Em
户	Sn
，	Sw
合	Bn
格	En
6	Bm
3	Mm
3	Em
户	Sn
，	Sw
合	Bn
格	Mn
率	En
9	Bm
1	Mm
.	Mm
6	Mm
1	Em
%	Sw
 	Sw

抽	Bv
检	Ev
公	Bb
共	Eb
用	Bn
品	En
消	Bvn
毒	Evn
1	Bm
5	Mm
4	Em
家	Sm
，	Sw
合	Bn
格	En
1	Bm
4	Mm
9	Em
家	Sm
，	Sw
合	Bn
格	Mn
率	En
9	Bm
6	Mm
.	Mm
7	Mm
5	Em
%	Sw
 	Sw

今	Bnr
年	Mnr
夏	Mnr
天	Enr
本	Bn
市	En
开	Bv
展	Ev
了	Sul
快	Bn
捷	Mn
酒	Mn
店	En
专	Bn
项	En
监	Bvn
督	Evn
检	Bvn
查	Evn
，	Sw
昨	Bt
日	Et
，	Sw
包	Bv
括	Ev
速	Sn
8	Sm
、	Sw
格	Bnr
林	Mnr
豪	Enr
泰	Sns
、	Sw
七	Bt
天	Et
等	Su
知	Bv
名	Ev
连	Bvn
锁	Evn
酒	Bn
店	En
在	Bu
内	Eu
的	Suj
3	Bm
5	Em
家	Sm
酒	Bn
店	En
被	Sp
公	Bad
开	Ead
查	Bv
处	Ev
。	Sw

 	Sw

据	Sp
市	Sn
卫	Ban
生	Ean
监	Bvn
督	Evn
所	Sc
相	Bv
关	Ev
负	Bn
责	Mn
人	En
介	Bv
绍	Ev
，	Sw
此	Br
次	Er
专	Bn
项	En
重	Bn
点	En
检	Bvn
查	Evn
棉	Bn
织	Mn
品	En
外	Sf
送	Sv
清	Bv
洗	Ev
是	Bv
否	Ev
做	Bv
好	Ev
物	Bn
品	En
送	Bv
洗	Ev
与	Sp
接	Bv
收	Ev
记	Bn
录	En
；	Sw

预	Bv
防	Ev
控	Bv
制	Ev
鼠	Sn
、	Sw
蚊	Sn
、	Sw
蝇	Sng
、	Sw
蟑	Bn
螂	En
和	Sc
其	Br
他	Er
病	Bn
媒	En
微	Bl
生	Ml
物	El
的	Suj
设	Bn
施	En
设	Bvn
备	Evn
以	Bc
及	Ec
废	Bn
弃	Mn
物	En
存	Bv
放	Ev
专	Bn
用	En
设	Bn
施	En
设	Bvn
备	Evn
情	Bn
况	En
。	Sw

另	Bc
外	Ec
，	Sw
还	Sd
检	Bvn
查	Evn
了	Sul
酒	Bn
店	En
工	Bn
作	Mn
人	Mn
员	En
卫	Ban
生	Ean
知	Bv
识	Ev
法	Bn
规	En
学	Bv
习	Ev
培	Bvn
训	Evn
考	Bvn
核	Evn
情	Bn
况	En
；	Sw

公	Bb
共	Eb
用	Bn
品	En
用	Bn
具	En
清	Bv
洗	Ev
消	Bvn
毒	Evn
保	Ba
洁	Ea
以	Bc
及	Ec
卫	Ban
生	Ean
许	Bnr
可	Mnr
证	Enr
、	Sw
档	Bn
案	En
、	Sw
制	Bn
度	En
、	Sw
公	Bv
示	Ev
等	Su
方	Bn
面	En
的	Suj
情	Bn
况	En
。	Sw

据	Bn
介	Mn
绍	En
，	Sw
目	Bt
前	Et
全	Bn
市	En
共	Bv
有	Ev
快	Bn
捷	Mn
酒	Mn
店	En
1	Bm
0	Mm
5	Mm
2	Em
家	Sm
，	Sw
其	Br
中	Er
大	Bm
部	Mm
分	Em
采	Bv
用	Ev
棉	Bn
织	En
外	Sf
送	Sv
清	Bv
洗	Ev
，	Sw
采	Bv
用	Ev
棉	Bn
织	En
自	Br
行	Er
清	Bv
洗	Ev
的	Suj
有	Sv
4	Bm
1	Em
家	Sm
。	Sw

本	Br
次	Er
专	Bn
项	En
共	Sd
监	Bvn
督	Evn
检	Bvn
查	Evn
6	Bm
9	Mm
1	Em
户	Sn
，	Sw
合	Bn
格	En
6	Bm
3	Mm
3	Em
户	Sn
，	Sw
合	Bn
格	Mn
率	En
9	Bm
1	Mm
.	Mm
6	Mm
1	Em
%	Sw
，	Sw
比	Sp
2	Bm
0	Mm
1	Mm
6	Em
的	Suj
8	Bm
8	Mm
.	Mm
3	Mm
5	Em
%	Sw
年	Sm
提	Bv
高	Ev
了	Sul
3	Bm
.	Mm
2	Mm
6	Em
%	Sw
；	Sw

同	Bc
时	Ec
对	Sp
1	Bm
5	Mm
4	Em
家	Sm
快	Bn
捷	Mn
酒	Mn
店	En
的	Suj
公	Bb
共	Eb
用	Bn
品	En
用	Bn
具	En
消	Bvn
毒	Evn
效	Bn
果	En
进	Bv
行	Ev
了	Sul
抽	Bv
检	Ev
，	Sw
其	Br
中	Er
1	Bm
4	Mm
9	Em
家	Sm
合	Bn
格	En
，	Sw
合	Bn
格	Mn
率	En
为	Sp
9	Bm
6	Mm
.	Mm
7	Mm
5	Em
%	Sw
，	Sw
比	Sp
2	Bm
0	Mm
1	Mm
6	Em
年	Sm
的	Suj
9	Bm
5	Mm
.	Mm
0	Mm
2	Em
%	Sw
提	Bv
高	Ev
了	Sul
1	Bm
.	Mm
7	Mm
3	Em
%	Sw
。	Sw

 	Sw

对	Sp
抽	Bv
检	Ev
卫	Ban
生	Ean
检	Bvn
测	Evn
指	Bn
标	En
不	Sd
符	Bn
合	Mn
国	Mn
家	En
卫	Bn
生	Mn
标	Mn
准	En
、	Sw
未	Sd
按	Bp
照	Ep
规	Bn
定	En
对	Sp
顾	Bnr
客	Enr
用	Bn
品	En
用	Bn
具	En
进	Bv
行	Ev
清	Bv
洗	Ev
、	Sw
消	Bvn
毒	Evn
、	Sw
保	Ba
洁	Ea
的	Suj
单	Bn
位	En
，	Sw
进	Bv
行	Ev
了	Sul
责	Bn
令	En
整	Bv
改	Ev
，	Sw
并	Sc
对	Sp
其	Br
中	Er
4	Bm
6	Em
家	Sm
单	Bn
位	En
做	Bv
出	Ev
了	Sul
行	Bn
政	Mn
处	Mn
罚	En
，	Sw
其	Br
中	Er
罚	Bn
款	En
3	Bm
5	Em
家	Sm
，	Sw
拟	Sv
罚	Bn
款	En
6	Bm
.	Mm
9	Em
万	Bm
元	Em
。	Sw

“	Sw
存	Bv
在	Ev
的	Suj
最	Sa
主	Bb
要	Eb
问	Bn
题	En
是	Sv
公	Bb
共	Eb
卫	Bn
生	Mn
用	Mn
品	En
、	Sw
棉	Bn
织	Mn
品	En
微	Bl
生	Ml
物	El
指	Bn
标	En
超	Bv
标	Ev
，	Sw
比	Bv
如	Ev
酒	Bn
店	En
毛	Bnr
巾	Enr
、	Sw
床	Bn
单	En
、	Sw
被	Bn
罩	En
的	Suj
大	Bl
肠	Ml
杆	Ml
菌	El
、	Sw
细	Bn
菌	En
超	Bv
标	Ev
。	Sw

”	Sw
据	Bn
介	Mn
绍	En
，	Sw
根	Bp
据	Ep
卫	Bn
生	Mn
标	Mn
准	En
要	Bv
求	Ev
，	Sw
