江	Bns
苏	Mns
省	Ens
食	Sv
药	Bnt
监	Mnt
局	Ent
2	Bm
0	Mm
1	Mm
7	Em
年	Sm
第	Bl
一	Ml
季	Ml
度	El
食	Bl
品	Ml
安	Ml
全	El
监	Bvn
督	Evn
抽	Bv
检	Ev
情	Bn
况	En
公	Bn
告	En
。	Sw

2	Bm
0	Mm
1	Mm
7	Em
年	Sm
第	Bl
一	Ml
季	Ml
度	El
省	Bb
级	Eb
 	Sw

食	Bl
品	Ml
安	Ml
全	El
 	Sw

监	Bvn
督	Evn
 	Sw

抽	Bv
检	Ev
的	Suj
产	Bn
品	En
主	Bb
要	Eb
为	Sp
 	Sw

肉	Bn
制	Mn
品	En
、	Sw
 	Sw

食	Bn
用	Mn
油	En
、	Sw
 	Sw

油	Bn
脂	En
及	Bc
其	Ec
制	Bn
品	En
、	Sw
 	Sw

饮	Bn
料	En
、	Sw
水	Sn
 	Sw

果	Sng
制	Bn
品	En
、	Sw
 	Sw

炒	Bv
货	Ev
 	Sw

食	Bn
品	En
及	Sc
 	Sw

坚	Bn
果	En
制	Bn
品	En
、	Sw
 	Sw

酒	Bn
类	En
、	Sw
 	Sw

调	Bn
味	Mn
品	En
七	Sm
大	Bn
类	En
，	Sw
共	Bv
计	Ev
5	Bm
0	Mm
0	Em
批	Bd
次	Ed
。	Sw

其	Br
中	Er
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
为	Sp
1	Bm
9	Em
批	Bd
次	Ed
，	Sw
合	Bn
格	Mn
率	En
为	Sp
9	Bm
6	Mm
.	Mm
2	Em
%	Sw
。	Sw

不	Sd
合	Bn
格	En
样	Bn
品	En
中	Sf
，	Sw
炒	Bv
货	Ev
食	Bn
品	En
及	Sc
坚	Bn
果	En
制	Bn
品	En
1	Bm
2	Em
批	Bd
次	Ed
，	Sw
肉	Bn
制	Mn
品	En
4	Sw
批	Bd
次	Ed
，	Sw
 	Sw

白	Bn
酒	En
2	Sw
批	Bd
次	Ed
，	Sw
食	Bn
用	Mn
油	En
、	Sw
油	Bn
脂	En
及	Bc
其	Ec
制	Bn
品	En
1	Sw
批	Bd
次	Ed
；	Sw

不	Sd
合	Bn
格	En
项	Bn
目	En
主	Bb
要	Eb
为	Sp
 	Sw

过	Bn
氧	Mn
化	En
值	Sn
、	Sw
 	Sw

