新	Bns
疆	Mns
维	Mns
吾	Mns
尔	Mns
自	Mns
治	Mns
区	Ens
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
关	Bp
于	Ep
2	Bm
0	Mm
1	Mm
7	Em
年	Sm
第	Bmq
二	Mmq
季	Mmq
度	Emq
食	Bl
品	Ml
安	Ml
全	El
监	Bvn
督	Evn
抽	Bv
检	Ev
情	Bn
况	En
分	Bvn
析	Evn
的	Suj
通	Bn
告	En
。	Sw

2	Bm
0	Mm
1	Mm
7	Em
年	Sm
第	Bmq
二	Mmq
季	Mmq
度	Emq
，	Sw
自	Bn
治	Mn
区	En
 	Sw

食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
完	Bv
成	Ev
并	Sc
公	Bv
布	Ev
2	Bm
2	Mm
9	Mm
0	Em
批	Bd
次	Ed
 	Sw

食	Bn
品	En
样	Bn
品	En
的	Suj
 	Sw

监	Bvn
督	Evn
 	Sw

抽	Bv
检	Ev
并	Sc
公	Bv
布	Ev
抽	Bv
检	Ev
结	Bn
果	En
，	Sw
检	Bvn
验	Evn
项	Bn
目	En
合	Bn
格	En
的	Suj
样	Bn
品	En
2	Bm
2	Mm
1	Mm
6	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
7	Bm
4	Em
批	Bd
次	Ed
，	Sw
样	Bn
品	En
总	Bn
体	En
合	Bn
格	Mn
率	En
为	Sp
9	Bm
6	Mm
.	Mm
8	Em
%	Sw
。	Sw

各	Br
类	Er
食	Bn
品	En
监	Bvn
督	Evn
抽	Bv
检	Ev
结	Bn
果	En
见	Sv
附	Bn
件	En
。	Sw

 	Sw

从	Sp
抽	Bv
检	Ev
发	Bv
现	Ev
的	Suj
问	Bn
题	En
来	Bu
看	Eu
，	Sw
一	Sm
是	Sv
品	Bn
质	En
指	Bn
标	En
不	Sd
达	Bv
标	Ev
，	Sw
占	Sv
不	Sd
合	Bn
格	En
项	Bn
目	En
检	Bv
出	Ev
总	Bn
数	En
的	Suj
3	Bm
3	Mm
.	Mm
3	Em
%	Sw
，	Sw
主	Bb
要	Eb
是	Sv
食	Bn
用	Mn
油	En
、	Sw
调	Bn
味	Mn
品	En
、	Sw
酒	Bn
类	En
、	Sw
糕	Bn
点	En
、	Sw
饮	Bn
料	En
等	Su
类	Bn
别	En
中	Sf
蛋	Bn
白	Mn
质	En
、	Sw
过	Bn
氧	Mn
化	En
值	Sn
、	Sw
总	Bn
酸	En
、	Sw
酒	Bn
精	Mn
度	En
、	Sw
酸	Bn
值	En
（	Sw
价	Sn
）	Sw
等	Su
项	Bn
目	En
不	Sd
合	Bn
格	En
。	Sw

二	Sm
是	Sv
超	Bn
范	Mn
围	En
、	Sw
超	Sv
限	Bn
量	En
使	Bv
用	Ev
食	Bn
品	En
添	Bn
加	Mn
剂	En
，	Sw
不	Sd
合	Bn
格	En
项	Bn
目	En
检	Bv
出	Ev
总	Bn
数	En
的	Suj
2	Bm
5	Mm
.	Mm
3	Em
 	Sw

%	Sw
，	Sw
主	Bb
要	Eb
是	Sv
肉	Bn
制	Mn
品	En
、	Sw
糖	Bn
果	En
制	Bn
品	En
、	Sw
酒	Bn
类	En
、	Sw
餐	Bn
饮	En
食	Bn
品	En
等	Su
类	Bn
别	En
中	Sf
苯	Bnz
甲	Mnz
酸	Enz
、	Sw
山	Bnz
梨	Mnz
酸	Enz
、	Sw
甜	Ba
蜜	Ea
素	Sn
、	Sw
日	Bz
落	Mz
黄	Ez
、	Sw
亚	Bnz
硝	Mnz
酸	Mnz
盐	Enz
、	Sw
铝	Sn
的	Suj
残	Bn
留	Mn
量	En
等	Su
项	Bn
目	En
不	Sd
合	Bn
格	En
。	Sw

三	Sm
是	Sv
其	Br
他	Er
污	Bn
染	Mn
物	En
不	Sd
合	Bn
格	En
，	Sw
不	Sd
合	Bn
格	En
项	Bn
目	En
检	Bv
出	Ev
总	Bn
数	En
的	Suj
1	Bm
8	Mm
.	Mm
7	Em
%	Sw
，	Sw
主	Bb
要	Eb
是	Sv
食	Bn
用	Mn
油	En
中	Bnz
苯	Enz
并	Sc
[	Sw
α	Sw
]	Sw
芘	Sw
、	Sw
溶	Bn
剂	En
残	Bn
留	Mn
量	En
等	Su
不	Sd
合	Bn
格	En
。	Sw

四	Sm
是	Sv
微	Bl
生	Ml
物	El
指	Bn
标	En
不	Sd
合	Bn
格	En
，	Sw
不	Sd
合	Bn
格	En
项	Bn
目	En
检	Bv
出	Ev
总	Bn
数	En
的	Suj
1	Bm
8	Mm
.	Mm
7	Em
%	Sw
，	Sw
主	Bb
要	Eb
是	Sv
肉	Bn
制	Mn
品	En
、	Sw
乳	Bn
制	Mn
品	En
、	Sw
调	Bv
味	Mv
料	Ev
、	Sw
饮	Bn
料	En
、	Sw
方	Ba
便	Ea
食	Bn
品	En
、	Sw
糕	Bn
点	En
等	Su
类	Bn
别	En
中	Sf
检	Bv
出	Ev
菌	Bn
落	En
