我	Br
省	Er
抽	Bv
检	Ev
发	Bv
现	Ev
2	Sw
批	Bd
次	Ed
鸡	Bn
精	En
不	Sd
合	Bn
格	En
。	Sw

西	Bf
部	Ef
商	Bnt
报	Mnt
讯	Ent
 	Sw

（	Sw
首	Bn
席	Mn
记	Mn
者	En
 	Sw

金	Bnr
奉	Mnr
乾	Enr
）	Sw
 	Sw

7	Sm
月	Sm
2	Bm
4	Em
日	Sm
，	Sw
甘	Bns
肃	Mns
省	Ens
食	Sv
药	Bnt
监	Mnt
局	Ent
发	Bv
布	Ev
第	Sm
1	Bm
7	Em
期	Sn
食	Bn
品	En
抽	Bv
检	Ev
通	Bn
告	En
。	Sw

近	Bt
期	Et
共	Sd
组	Bv
织	Ev
抽	Bv
检	Ev
调	Bn
味	Mn
品	En
1	Bm
6	Mm
2	Em
批	Bd
次	Ed
样	Bn
品	En
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
2	Sw
批	Bd
次	Ed
。	Sw

不	Sd
合	Bn
格	En
调	Bn
味	Mn
品	En
为	Sp
鸡	Bn
精	En
，	Sw
不	Sd
合	Bn
格	En
项	Bn
目	En
为	Sp
谷	Bnz
氨	Mnz
酸	Mnz
钠	Enz
、	Sw
呈	Bv
味	Ev
核	Bn
苷	Mn
酸	En
二	Sm
钠	Sn
，	Sw
生	Bvn
产	Evn
企	Bn
业	En
在	Sp
兰	Bns
州	Ens
。	Sw

 	Sw

不	Sd
合	Bn
格	En
产	Bn
品	En
为	Sp
：	Sw
天	Bn
水	En
鑫	Snr
三	Bm
角	Em
商	Bn
贸	En
有	Bl
限	Ml
责	Ml
任	El
公	Bn
司	En
销	Bvn
售	Evn
的	Suj
标	Bn
称	En
兰	Bns
州	Ens
百	Bn
味	En
源	Sng
调	Bn
味	En
食	Bn
品	Mn
厂	En
生	Bvn
产	Evn
的	Suj
鸡	Bn
精	En
，	Sw
生	Bn
产	Mn
日	Mn
期	En
/	Sw
批	Bn
号	En
为	Sp
2	Bm
0	Mm
1	Mm
6	Em
-	Sw
1	Bm
2	Em
-	Sw
2	Bm
1	Em
；	Sw

天	Bn
水	En
鑫	Snr
三	Bm
角	Em
商	Bn
贸	En
有	Bl
限	Ml
责	Ml
任	El
公	Bn
司	En
销	Bvn
售	Evn
的	Suj
标	Bn
称	En
兰	Bns
州	Ens
百	Bn
味	En
源	Sng
调	Bn
味	En
食	Bn
品	Mn
厂	En
生	Bvn
产	Evn
的	Suj
鸡	Bn
精	En
，	Sw
生	Bn
产	Mn
日	Mn
期	En
/	Sw
批	Bn
号	En
为	Sp
2	Bm
0	Mm
1	Mm
6	Em
-	Sw
1	Bm
0	Em
-	Sw
2	Bm
0	Em
。	Sw


