湖	Bns
北	Mns
省	Ens
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
关	Bp
于	Ep
2	Bm
0	Mm
1	Mm
7	Em
年	Sm
第	Bmq
二	Mmq
季	Mmq
度	Emq
食	Bl
品	Ml
安	Ml
全	El
监	Bvn
督	Evn
抽	Bv
检	Ev
情	Bn
况	En
分	Bvn
析	Evn
的	Suj
公	Bn
告	En
。	Sw

一	Sm
、	Sw
总	Bn
体	En
情	Bn
况	En
 	Sw

2	Bm
0	Mm
1	Mm
7	Em
年	Sm
第	Bmq
二	Mmq
季	Mmq
度	Emq
，	Sw
我	Br
省	Er
共	Sd
完	Bv
成	Ev
并	Sc
公	Bn
告	En
3	Bm
3	Em
大	Bn
类	En
2	Bm
1	Mm
7	Mm
6	Mm
6	Em
批	Bd
次	Ed
食	Bn
品	En
样	Bn
品	En
食	Bl
品	Ml
安	Ml
全	El
监	Bvn
督	Evn
抽	Bv
检	Ev
信	Bn
息	En
，	Sw
检	Bvn
验	Evn
项	Bn
目	En
合	Bn
格	En
样	Bn
品	En
2	Bm
1	Mm
3	Mm
2	Mm
8	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
4	Bm
3	Mm
8	Em
批	Bd
次	Ed
，	Sw
总	Bn
体	En
发	Bv
现	Ev
样	Bn
品	En
不	Bn
合	Mn
格	Mn
率	En
为	Sp
2	Bm
.	Mm
0	Mm
1	Em
%	Sw
。	Sw

（	Sw
各	Br
类	Er
食	Bn
品	En
监	Bvn
督	Evn
抽	Bv
检	Ev
结	Bn
果	En
见	Sv
附	Bn
件	En
）	Sw
。	Sw

 	Sw

二	Sm
、	Sw
食	Bn
品	En
监	Bvn
督	Evn
抽	Bv
检	Ev
发	Bv
现	Ev
的	Suj
主	Bb
要	Eb
问	Bn
题	En
 	Sw

（	Sw
一	Sm
）	Sw
超	Bn
范	Mn
围	En
、	Sw
超	Sv
限	Bn
量	En
使	Bv
用	Ev
食	Bn
品	En
添	Bn
加	Mn
剂	En
 	Sw

食	Bn
品	En
中	Sf
超	Bn
范	Mn
围	En
、	Sw
超	Sv
限	Bn
量	En
使	Bv
用	Ev
食	Bn
品	En
添	Bn
加	Mn
剂	En
问	Bn
题	En
有	Sv
2	Bm
1	Mm
4	Em
批	Bd
次	Ed
，	Sw
占	Sv
不	Sd
合	Bn
格	En
总	Bn
数	En
的	Suj
4	Bm
9	Em
%	Sw
。	Sw

问	Bn
题	En
较	Bd
为	Ed
突	Bv
出	Ev
的	Suj
是	Sv
甜	Bn
味	Mn
剂	En
（	Sw
甜	Ba
蜜	Ea
素	Sn
、	Sw
糖	Bnz
精	Mnz
钠	Enz
、	Sw
安	Bnr
赛	Mnr
蜜	Enr
）	Sw
、	Sw
防	Bnz
腐	Mnz
剂	Enz
（	Sw
脱	Bv
氢	Ev
乙	Bn
酸	En
、	Sw
二	Bnz
氧	Mnz
化	Mnz
硫	Enz
、	Sw
苯	Bnz
甲	Mnz
酸	Enz
、	Sw
