山	Bns
东	Mns
省	Ens
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
关	Bp
于	Ep
2	Bm
0	Mm
1	Mm
7	Em
年	Sm
上	Bt
半	Mt
年	Et
食	Bl
品	Ml
安	Ml
全	El
监	Bvn
督	Evn
抽	Bv
检	Ev
情	Bn
况	En
的	Suj
通	Bn
告	En
（	Sw
2	Bm
0	Mm
1	Mm
7	Em
年	Sm
4	Bm
4	Em
号	Sm
）	Sw
。	Sw

按	Bp
照	Ep
《	Sw
 	Sw

食	Bn
品	Mn
药	Mn
品	En
 	Sw

监	Bvn
管	Evn
总	Bn
局	En
关	Bp
于	Ep
做	Bv
好	Ev
食	Bn
品	En
 	Sw

抽	Bv
检	Ev
及	Sc
信	Bn
息	En
发	Bv
布	Ev
工	Bvn
作	Evn
的	Suj
意	Bn
见	En
》	Sw
的	Suj
要	Bv
求	Ev
，	Sw
省	Bn
局	En
对	Sp
各	Br
市	Er
食	Bn
品	Mn
药	Mn
品	En
 	Sw

监	Bvn
督	Evn
 	Sw

管	Bvn
理	Evn
部	Bn
门	En
监	Bvn
督	Evn
抽	Bv
检	Ev
信	Bn
息	En
报	Bn
告	En
情	Bn
况	En
进	Bv
行	Ev
了	Sul
汇	Bn
总	En
分	Bvn
析	Evn
。	Sw

2	Bm
0	Mm
1	Mm
7	Em
年	Sm
上	Bt
半	Mt
年	Et
全	Bn
省	En
共	Sd
抽	Bv
检	Ev
各	Br
类	Er
食	Bn
品	En
（	Sw
含	Sv
 	Sw

保	Bn
健	Mn
食	Mn
品	En
和	Sc
 	Sw

食	Bn
品	En
添	Bn
加	Mn
剂	En
）	Sw
样	Bn
品	En
9	Bm
2	Mm
1	Mm
7	Mm
2	Em
批	Bd
次	Ed
，	Sw
其	Br
中	Er
检	Bvn
验	Evn
项	Bn
目	En
合	Bn
格	En
的	Suj
样	Bn
品	En
8	Bm
9	Mm
3	Mm
5	Mm
0	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
2	Bm
8	Mm
2	Mm
2	Em
批	Bd
次	Ed
，	Sw
样	Bn
品	En
合	Bn
格	Mn
率	En
为	Sp
9	Bm
6	Mm
.	Mm
9	Mm
4	Em
%	Sw
。	Sw

各	Br
级	Er
食	Bn
品	Mn
药	Mn
品	En
监	Bn
管	Mn
部	Mn
门	En
已	Sd
对	Sp
具	Ba
体	Ea
品	Bn
种	En
抽	Bv
检	Ev
结	Bn
果	En
进	Bv
行	Ev
了	Sul
公	Bv
布	Ev
，	Sw
