这	Sr
1	Bm
1	Em
批	Bd
次	Ed
食	Bn
品	En
抽	Bv
检	Ev
不	Sd
合	Bn
格	En
酱	Bn
油	En
食	Bn
醋	En
味	Bn
精	En
白	Bn
砂	Mn
糖	En
上	Bv
榜	Ev
。	Sw

西	Bf
部	Ef
商	Bnt
报	Mnt
讯	Ent
 	Sw

（	Sw
首	Bn
席	Mn
记	Mn
者	En
 	Sw

金	Bnr
奉	Mnr
乾	Enr
）	Sw
 	Sw

9	Sm
月	Sm
1	Sm
日	Sm
，	Sw
甘	Bns
肃	Mns
省	Ens
食	Sv
药	Bnt
监	Mnt
局	Ent
发	Bv
布	Ev
了	Sul
今	Bt
年	Et
第	Sm
2	Bm
3	Em
期	Sn
食	Bn
品	En
抽	Bv
检	Ev
通	Bn
告	En
。	Sw

近	Bt
期	Et
甘	Bns
肃	Mns
省	Ens
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
共	Sd
组	Bv
织	Ev
抽	Bv
检	Ev
食	Bn
品	En
2	Bm
1	Mm
9	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
1	Bm
1	Em
批	Bd
次	Ed
。	Sw

不	Sd
合	Bn
格	En
食	Bn
品	En
涉	Bv
及	Ev
酱	Bn
油	En
、	Sw
食	Bn
醋	En
、	Sw
味	Bn
精	En
、	Sw
白	Bn
砂	Mn
糖	En
和	Sc
油	Bn
桃	En
。	Sw

 	Sw

省	Bn
食	En
药	Bnt
监	Mnt
局	Ent
要	Bv
求	Ev
，	Sw
对	Sp
上	Bb
述	Eb
抽	Bv
检	Ev
中	Sf
发	Bv
现	Ev
的	Suj
不	Sa
合	Bn
格	En
产	Bn
品	En
，	Sw
生	Bvn
产	Evn
企	Bn
业	En
所	Bn
在	Mn
地	En
武	Bns
威	Mns
市	Ens
、	Sw
金	Bns
昌	Mns
市	Ens
、	Sw
白	Bns
银	Mns
市	Ens
、	Sw
兰	Bns
州	Mns
市	Ens
、	Sw
平	Bns
凉	Mns
市	Ens
、	Sw
庆	Bns
阳	Mns
市	Ens
、	Sw
定	Bns
西	Mns
市	Ens
食	Bn
品	Mn
药	Mn
品	En
监	Bn
管	Mn
部	Mn
门	En
已	Sd
责	Bn
令	En
企	Bn
业	En
查	Bnr
清	Enr
产	Bn
品	En
流	Bn
向	En
，	Sw
召	Bv
回	Ev
不	Sd
合	Bn
格	En
产	Bn
品	En
，	Sw
并	Sc
分	Bvn
析	Evn
原	Bn
因	En
进	Bv
行	Ev
整	Bv
改	Ev
；	Sw

经	Bvn
营	Evn
单	Bn
位	En
所	Bn
在	Mn
地	En
临	Bns
夏	Mns
州	Ens
、	Sw
兰	Bns
州	Mns
市	Ens
、	Sw
白	Bns
银	Mns
市	Ens
、	Sw
酒	Bns
泉	Mns
市	Ens
食	Bn
品	Mn
药	Mn
品	En
监	Bn
管	Mn
部	Mn
门	En
已	Sd
要	Bv
求	Ev
有	Bvn
关	Evn
单	Bn
位	En
立	Bd
即	Ed
采	Bv
取	Ev
下	Bn
架	En
等	Su
措	Bn
施	En
，	Sw
控	Bv
制	Ev
风	Bn
险	En
，	Sw
并	Sc
依	Bn
法	En
予	Bv
以	Ev
查	Bv
处	Ev
。	Sw

 	Sw

不	Sd
合	Bn
格	En
项	Bn
目	En
为	Sp
：	Sw
苯	Bnz
甲	Mnz
酸	Enz
及	Bc
其	Ec
钠	Bnz
盐	Enz
、	Sw
谷	Bnz
氨	Mnz
酸	Mnz
钠	Enz
、	Sw
菌	Bn
落	En
总	Bn
数	En
、	Sw
甲	Bnz
胺	Mnz
磷	Enz
。	Sw

 	Sw

不	Sd
合	Bn
格	En
产	Bn
品	En
为	Sp
：	Sw
标	Bn
称	En
甘	Bns
肃	Mns
省	Ens
润	Bns
平	Ens
食	Bn
品	En
有	Bl
限	Ml
责	Ml
任	El
公	Bn
司	En
生	Bvn
产	Evn
的	Suj
黄	Bn
豆	En
酱	Bn
油	En
；	Sw

庆	Bns
城	Mns
县	Ens
百	Sm
惠	Bnr
杰	Enr
购	Bn
物	Mn
广	Mn
场	En
销	Bvn
售	Evn
的	Suj
标	Bn
称	En
庆	Bns
阳	Ens
食	Bn
泉	En
食	Bn
品	En
有	Bn
限	Mn
公	Mn
司	En
生	Bvn
产	Evn
的	Suj
白	Sn
酱	Bn
油	En
；	Sw

标	Bn
称	En
永	Bns
昌	Mns
县	Ens
香	Bns
满	Mns
路	Ens
食	Bn
品	En
有	Bl
限	Ml
责	Ml
任	El
公	Bn
司	En
生	Bvn
产	Evn
的	Suj
香	Sa
满	Sa
路	Sn
五	Bn
香	En
陈	Snr
醋	Sn
；	Sw

肃	Bns
州	Mns
区	Ens
鑫	Snr
凤	Bnr
祥	Enr
调	Bn
味	Mn
品	En
经	Bn
销	Mn
部	En
销	Bvn
售	Evn
的	Suj
标	Bn
称	En
兰	Bns
州	Ens
百	Bn
味	En
全	Sa
清	Ba
真	Ea
食	Bn
品	En
有	Bn
限	Mn
公	Mn
司	En
生	Bvn
产	Evn
的	Suj
牛	Sn
大	Bm
碗	Em
鲜	Bn
味	En
王	Snr
（	Sw
味	Bn
精	En
）	Sw
；	Sw

标	Bn
称	En
武	Bnr
威	Enr
绿	Bnr
华	Mnr
康	Enr
食	Bn
品	En
有	Bl
限	Ml
责	Ml
任	El
公	Bn
司	En
生	Bvn
产	Evn
的	Suj
小	Bn
米	En
香	Bnz
醋	Enz
；	Sw

静	Bns
宁	Mns
县	Ens
小	Bn
绒	En
粮	Bn
