贵	Bns
州	Mns
省	Ens
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
发	Bv
布	Ev
2	Bm
0	Mm
1	Mm
7	Em
年	Sm
第	Sm
4	Sm
期	Bn
食	En
药	Sn
总	Bn
局	En
食	Bl
品	Ml
安	Ml
全	El
监	Bvn
督	Evn
抽	Bv
检	Ev
公	Bn
告	En
。	Sw

近	Bt
期	Et
，	Sw
省	Sn
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
组	Bv
织	Ev
抽	Bv
检	Ev
粮	Bn
食	En
加	Bn
工	Mn
品	En
、	Sw
肉	Bn
制	Mn
品	En
、	Sw
糖	Bn
果	En
制	Bn
品	En
、	Sw
饮	Bn
料	En
、	Sw
调	Bn
味	Mn
品	En
、	Sw
蔬	Bn
菜	Mn
制	Mn
品	En
、	Sw
酒	Bn
类	En
、	Sw
糕	Bn
点	En
、	Sw
茶	Bn
叶	En
及	Sc
相	Bv
关	Ev
制	Bn
品	En
、	Sw
淀	Bn
粉	En
及	Sc
淀	Bn
粉	En
制	Bn
品	En
、	Sw
蛋	Bn
制	Mn
品	En
、	Sw
食	Bn
用	Mn
油	En
、	Sw
油	Bn
脂	En
及	Bc
其	Ec
制	Bn
品	En
、	Sw
蜂	Bn
产	Mn
品	En
、	Sw
罐	Bn
头	En
、	Sw
水	Bn
果	En
制	Bn
品	En
、	Sw
薯	Bn
类	En
和	Sc
膨	Bl
化	Ml
食	Ml
品	El
、	Sw
豆	Bn
制	Mn
品	En
、	Sw
炒	Bv
货	Ev
食	Bn
品	En
及	Sc
坚	Bn
果	En
制	Bn
品	En
、	Sw
方	Ba
便	Ea
食	Bn
品	En
、	Sw
食	Bn
糖	En
、	Sw
乳	Bn
制	Mn
品	En
2	Bm
1	Em
类	Bn
食	Mn
品	En
5	Bm
9	Mm
6	Em
批	Bd
次	Ed
样	Bn
品	En
，	Sw
抽	Bv
样	Ev
检	Bvn
验	Evn
项	Bn
目	En
合	Bn
格	En
样	Bn
品	En
5	Bm
8	Mm
8	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
8	Sw
批	Bd
次	Ed
。	Sw

抽	Bv
检	Ev
情	Bn
况	En
见	Sv
附	Bn
件	En
。	Sw

根	Bp
据	Ep
食	Bl
品	Ml
安	Ml
全	El
国	Bn
家	Mn
标	Mn
准	En
，	Sw
个	Bn
别	En
项	Bn
目	En
不	Sd
合	Bn
格	En
，	Sw
其	Sr
产	Bn
品	En
即	Sv
判	Bv
定	Ev
为	Sp
不	Sv
合	Bn
格	En
产	Bn
品	En
。	Sw

具	Bl
体	Ml
情	Ml
况	El
公	Bn
告	En
如	Bt
下	Et
：	Sw
 	Sw

一	Sm
、	Sw
总	Bn
体	En
情	Bn
况	En
 	Sw

肉	Bn
制	Mn
品	En
2	Bm
7	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
1	Sw
批	Bd
次	Ed
；	Sw

糖	Bn
果	En
制	Bn
品	En
2	Bm
0	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
2	Sw
批	Bd
次	Ed
；	Sw

粮	Bn
食	En
加	Bn
工	Mn
品	En
7	Bm
0	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
2	Sw
批	Bd
次	Ed
；	Sw

饮	Bn
料	En
1	Bm
1	Mm
9	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
1	Sw
批	Bd
次	Ed
；	Sw

蔬	Bn
菜	Mn
制	Mn
品	En
1	Bm
9	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
2	Sw
批	Bd
次	Ed
。	Sw

 	Sw

调	Bn
味	Mn
品	En
3	Bm
8	Em
批	Bd
次	Ed
，	Sw
酒	Bn
类	En
3	Bm
4	Em
批	Bd
次	Ed
，	Sw
糕	Bn
点	En
1	Bm
6	Em
批	Bd
次	Ed
，	Sw
茶	Bn
叶	En
及	Sc
相	Bv
关	Ev
制	Bn
品	En
1	Bm
9	Mm
0	Em
批	Bd
次	Ed
，	Sw
淀	Bn
粉	En
及	Sc
淀	Bn
粉	En
制	Bn
品	En
4	Sw
批	Bd
次	Ed
，	Sw
蛋	Bn
制	Mn
品	En
6	Sw
批	Bd
次	Ed
，	Sw
食	Bn
用	Mn
油	En
、	Sw
油	Bn
脂	En
及	Bc
其	Ec
制	Bn
品	En
5	Sw
批	Bd
次	Ed
，	Sw
蜂	Bn
产	Mn
品	En
4	Sw
批	Bd
次	Ed
，	Sw
罐	Bn
头	En
3	Sw
批	Bd
次	Ed
，	Sw
水	Bn
果	En
制	Bn
品	En
4	Sw
批	Bd
次	Ed
，	Sw
薯	Bn
类	En
和	Sc
膨	Bl
化	Ml
食	Ml
品	El
6	Sw
批	Bd
次	Ed
，	Sw
豆	Bn
制	Mn
品	En
8	Sw
批	Bd
次	Ed
，	Sw
炒	Bv
货	Ev
食	Bn
品	En
及	Sc
坚	Bn
果	En
制	Bn
品	En
1	Bm
1	Em
批	Bd
次	Ed
，	Sw
方	Ba
便	Ea
食	Bn
品	En
5	Sw
批	Bd
次	Ed
，	Sw
食	Bn
糖	En
1	Sw
批	Bd
次	Ed
，	Sw
乳	Bn
制	Mn
品	En
6	Sw
批	Bd
次	Ed
均	Sd
未	Sd
检	Bv
出	Ev
不	Sd
合	Bn
格	En
样	Bn
品	En
 	Sw

二	Sm
、	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
情	Bn
况	En
如	Bt
下	Et
 	Sw

标	Bn
称	En
织	Bns
金	Mns
县	Ens
连	Bn
记	En
食	Bn
品	Mn
厂	En
生	Bvn
产	Evn
的	Suj
少	Sa
普	Snr
连	Su
记	Sn
香	Bn
肠	En
检	Bv
出	Ev
铅	Sn
（	Sw
以	Sp
 	Sw

P	Beng
b	Eeng
 	Sw

计	Sn
）	Sw
超	Bv
标	Ev
；	Sw

标	Bn
称	En
镇	Bns
宁	Ens
功	Bn
达	En
波	Bns
波	Ens
糖	Szg
食	Bn
品	En
有	Bn
限	Mn
公	Mn
司	En
生	Bvn
产	Evn
的	Suj
镇	Sn
宁	Bns
波	Ens
波	Bn
糖	En
（	Sw
黑	Bn
芝	Mn
麻	En
味	Sn
）	Sw
，	Sw
标	Bn
称	En
镇	Bns
宁	Ens
万	Bnr
祥	Enr
波	Bns
波	Ens
糖	Szg
食	Bn
品	En
有	Bn
限	Mn
公	Mn
司	En
生	Bvn
产	Evn
的	Suj
葵	Bn
花	En
味	Sn
波	Bns
波	Ens
糖	Szg
，	Sw
标	Bn
称	En
兴	Bns
仁	Mns
县	Ens
黔	Bns
仁	Ens
刘	Bnrfg
家	Enrfg
特	Bn
色	En
食	Bn
品	Mn
厂	En
生	Bvn
产	Evn
的	Suj
豆	Bn
沙	En
粑	Sg
（	Sw
小	Bn
米	En
味	Sn
）	Sw
、	Sw
豆	Bn
沙	En
粑	Sg
（	Sw
糯	Bn
米	En
味	Sn
）	Sw
检	Bv
出	Ev
菌	Bn
落	En
总	Bn
数	En
超	Bv
标	Ev
；	Sw

标	Bn
称	En
贵	Bns
州	Mns
省	Ens
罗	Bns
甸	Mns
县	Ens
乐	Sa
百	Bn
姓	En
食	Bn
品	En
有	Bl
限	Ml
责	Ml
任	El
公	Bn
司	En
生	Bvn
产	Evn
的	Suj
乐	Sn
百	Bn
姓	En
饮	Bn
用	En
泉	Bns
水	Ens
检	Bv
出	Ev
铜	Bn
绿	En
假	Sn
单	Bn
胞	Mn
菌	En
；	Sw

标	Bn
称	En
三	Bns
穗	Mns
县	Ens
长	Bns
吉	Ens
大	Bn
头	Mn
菜	En
专	Bn
业	En
合	Bl
作	Ml
社	El
生	Bvn
产	Evn
的	Suj
酸	Bnz
豆	Mnz
角	Enz
检	Bv
出	Ev
二	Bnz
氧	Mnz
化	Mnz
硫	Enz
和	Sc
苯	Bnz
甲	Mnz
酸	Enz
超	Bv
标	Ev
；	Sw

标	Bn
称	En
贵	Bns
州	Ens
和	Bnr
舜	Mnr
天	Enr
下	Sf
发	Bvn
展	Evn
有	Bn
限	Mn
公	Mn
司	En
生	Bvn
产	Evn
的	Suj
酱	Bn
香	En
黄	Bn
瓜	En
（	Sw
酱	Bv
腌	Mv
菜	Ev
）	Sw
检	Bv
出	Ev
山	Bnz
梨	Mnz
酸	Enz
超	Bv
标	Ev
。	Sw

检	Bvn
验	Evn
机	Bn
构	En
为	Sp
贵	Bns
州	Mns
省	Ens
产	Bn
品	Mn
质	Mn
量	En
监	Bvn
督	Evn
检	Bvn
验	Evn
院	Sn
。	Sw

 	Sw

三	Sm
、	Sw
对	Sp
上	Bb
述	Eb
抽	Bv
检	Ev
中	Sf
发	Bv
现	Ev
的	Suj
不	Sa
合	Bn
格	En
食	Bn
品	En
，	Sw
我	Br
局	Er
已	Sd
要	Bv
求	Ev
生	Bvn
产	Evn
单	Bn
位	En
所	Bn
在	Mn
地	En
安	Bns
顺	Mns
市	Ens
、	Sw
毕	Bn
节	Mn
市	En
、	Sw
黔	Bns
东	Mns
南	Mns
州	Ens
、	Sw
黔	Bns
南	Mns
州	Ens
、	Sw
黔	Bns
西	Mns
南	Mns
州	Ens
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
按	Bp
照	Ep
《	Sw
中	Bns
华	Mns
人	Mns
民	Mns
共	Mns
和	Mns
国	Ens
食	Bn
品	En
安	Bnr
全	Mnr
法	Enr
》	Sw
规	Bn
定	En
，	Sw
责	Bn
令	En
生	Bvn
产	Evn
单	Bn
位	En
及	Bc
时	Ec
采	Bv
取	Ev
下	Bv
架	Ev
、	Sw
召	Bv
回	Ev
、	Sw
立	Bn
案	En
调	Bvn
查	Evn
等	Su
措	Bn
施	En
。	Sw

查	Bnr
明	Enr
不	Sd
合	Bn
格	En
食	Bn
品	En
的	Suj
批	Bd
次	Ed
、	Sw
数	Bn
量	En
和	Sc
原	Bn
因	En
，	Sw
制	Bv
定	Ev
整	Bn
改	Mn
措	Mn
施	En
，	Sw
防	Bvn
控	Evn
食	Bl
品	Ml
安	Ml
全	El
风	Bn
险	En
。	Sw

 	Sw

特	Bd
此	Ed
公	Bn
告	En
。	Sw

 	Sw

附	Bn
件	En
：	Sw
1	Bm
.	Em
 	Sw

本	Br
次	Er
检	Bvn
验	Evn
项	Bn
目	En
 	Sw

2	Bm
.	Em
 	Sw

部	Bn
分	En
不	Sd
合	Bn
格	En
项	Bn
目	En
的	Suj
小	Sn
知	Bv
识	Ev
 	Sw

3	Bm
.	Em
 	Sw

食	Bn
品	En
抽	Bv
检	Ev
不	Sd
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
饮	Bn
料	En
 	Sw

4	Bm
.	Em
 	Sw

食	Bn
品	En
抽	Bv
检	Ev
不	Sd
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
肉	Bn
制	Mn
品	En
 	Sw

5	Bm
.	Em
 	Sw

食	Bn
品	En
抽	Bv
检	Ev
不	Sd
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
粮	Bn
食	En
加	Bn
工	Mn
品	En
 	Sw

6	Bm
.	Em
 	Sw

食	Bn
品	En
抽	Bv
检	Ev
不	Sd
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
蔬	Bn
菜	Mn
制	Mn
品	En
 	Sw

7	Bm
.	Em
 	Sw

食	Bn
品	En
抽	Bv
检	Ev
不	Sd
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
糖	Bn
果	En
制	Bn
品	En
 	Sw

8	Bm
.	Em
 	Sw

食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
酒	Bn
类	En
 	Sw

9	Bm
.	Em
 	Sw

食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
糕	Bn
点	En
 	Sw

1	Bm
0	Mm
.	Em
食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
蜂	Bn
产	Mn
品	En
 	Sw

1	Bm
1	Mm
.	Em
食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
方	Ba
便	Ea
食	Bn
品	En
 	Sw

1	Bm
2	Mm
.	Em
食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
豆	Bn
制	Mn
品	En
 	Sw

1	Bm
3	Mm
.	Em
食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
罐	Bn
头	En
 	Sw

1	Bm
4	Mm
.	Em
食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
淀	Bn
粉	En
及	Sc
淀	Bn
粉	En
制	Bn
品	En
 	Sw

1	Bm
5	Mm
.	Em
食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
粮	Bn
食	En
加	Bn
工	Mn
品	En
 	Sw

1	Bm
6	Mm
.	Em
食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
肉	Bn
制	Mn
品	En
 	Sw

1	Bm
7	Mm
.	Em
食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
乳	Bn
制	Mn
品	En
 	Sw

1	Bm
8	Mm
.	Em
食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
食	Bn
糖	En
 	Sw

1	Bm
9	Mm
.	Em
食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
食	Bn
用	Mn
油	En
、	Sw
油	Bn
脂	En
及	Bc
其	Ec
制	Bn
品	En
 	Sw

2	Bm
0	Mm
.	Em
食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
蔬	Bn
菜	Mn
制	Mn
品	En
 	Sw

2	Bm
1	Mm
.	Em
食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
薯	Bn
类	En
和	Sc
膨	Bl
化	Ml
食	Ml
品	El
 	Sw

2	Bm
2	Mm
.	Em
食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
水	Bn
果	En
制	Bn
品	En
 	Sw

2	Bm
3	Mm
.	Em
食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
蛋	Bn
制	Mn
品	En
 	Sw

2	Bm
4	Mm
.	Em
食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
糖	Bn
果	En
制	Bn
品	En
 	Sw

2	Bm
5	Mm
.	Em
食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
2	Bm
0	Mm
1	Mm
7	Mm
0	Mm
8	Mm
2	Mm
4	Em
-	Sw
调	Bn
味	Mn
品	En
 	Sw

2	Bm
6	Mm
.	Em
食	Bn
品	En
抽	Bv
检	Ev
合	Bn
格	En
-	Sw
