贵	Bns
州	Mns
省	Ens
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
关	Bp
于	Ep
2	Bm
0	Mm
1	Mm
7	Em
年	Sm
8	Sm
月	Sm
食	Bl
品	Ml
安	Ml
全	El
监	Bvn
督	Evn
抽	Bv
检	Ev
情	Bn
况	En
分	Bvn
析	Evn
的	Suj
通	Bn
告	En
。	Sw

2	Bm
0	Mm
1	Mm
7	Em
年	Sm
8	Sm
月	Sm
，	Sw
全	Bn
省	En
共	Sd
完	Bv
成	Ev
并	Sc
公	Bv
布	Ev
5	Bm
2	Mm
0	Mm
9	Em
批	Bd
次	Ed
食	Bn
品	En
及	Sc
食	Bn
用	En
农	Bn
产	Mn
品	En
样	Bn
品	En
监	Bvn
督	Evn
抽	Bv
检	Ev
结	Bn
果	En
，	Sw
检	Bvn
验	Evn
项	Bn
目	En
合	Bn
格	En
的	Suj
样	Bn
品	En
5	Bm
1	Mm
6	Mm
5	Em
批	Bd
次	Ed
，	Sw
不	Sd
合	Bn
格	En
样	Bn
品	En
4	Bm
4	Em
批	Bd
次	Ed
，	Sw
样	Bn
品	En
总	Bn
体	En
合	Bn
格	Mn
率	En
为	Sp
9	Bm
9	Mm
.	Mm
1	Mm
6	Em
%	Sw
。	Sw

 	Sw

抽	Bv
检	Ev
不	Sd
合	Bn
格	En
的	Suj
4	Bm
4	Em
批	Bd
次	Ed
样	Bn
品	En
中	Sf
，	Sw
不	Sd
合	Bn
格	En
指	Bn
标	En
有	Sv
4	Bm
7	Em
项	Sn
。	Sw

其	Br
中	Er
：	Sw
农	Szg
兽	Bn
药	En
残	Bv
留	Ev
问	Bn
题	En
占	Sv
8	Bm
.	Mm
5	Mm
1	Em
%	Sw
；	Sw

非	Sh
食	Bn
用	En
物	Bn
质	En
问	Bn
题	En
占	Sv
2	Bm
.	Mm
1	Mm
3	Em
%	Sw
；	Sw

超	Bn
范	Mn
围	En
、	Sw
超	Sv
限	Bn
量	En
使	Bv
用	Ev
食	Bn
品	En
添	Bn
加	Mn
剂	En
问	Bn
题	En
占	Sv
1	Bm
7	Mm
.	Mm
0	Mm
2	Em
%	Sw
；	Sw

重	Bn
金	Mn
属	En
等	Su
元	Bn
素	En
污	Bn
染	Mn
物	En
问	Bn
题	En
占	Sv
1	Bm
7	Mm
.	Mm
0	Mm
2	Em
%	Sw
；	Sw

其	Br
他	Er
污	Bn
染	Mn
物	En
问	Bn
题	En
占	Sv
4	Bm
.	Mm
2	Mm
6	Em
%	Sw
；	Sw

微	Bl
生	Ml
物	El
污	Bvn
染	Evn
问	Bn
题	En
占	Sv
3	Bm
1	Mm
.	Mm
9	Mm
1	Em
%	Sw
；	Sw

品	Bn
质	En
指	Bn
标	En
不	Sd
合	Bn
格	En
问	Bn
题	En
占	Sv
1	Bm
9	Mm
.	Mm
1	Mm
5	Em
%	Sw
。	Sw

 	Sw

各	Br
类	Er
食	Bn
品	En
监	Bvn
督	Evn
抽	Bv
检	Ev
结	Bn
果	En
公	Bv
布	Ev
情	Bn
况	En
见	Sv
附	Bn
件	En
。	Sw

 	Sw

备	Bv
注	Ev
：	Sw
抽	Bv
检	Ev
合	Bn
格	Mn
率	En
与	Sp
测	Bvn
算	Evn
基	Bn
数	En
、	Sw
抽	Bv
样	Ev
样	Bn
本	Mn
量	En
直	Bad
接	Ead
相	Bv
关	Ev
，	Sw
某	Sr
批	Bd
次	Ed
或	Sc
某	Sr
阶	Bn
段	En
抽	Bv
检	Ev
合	Bn
格	Mn
率	En
不	Bv
能	Ev
直	Bad
接	Ead
判	Bv
定	Ev
该	Br
类	Er
产	Bn
品	En
的	Suj
总	Bn
体	En
质	Bn
量	En
状	Bn
况	En
。	Sw

抽	Bv
检	Ev
信	Bn
息	En
需	Bv
在	Ev
抽	Bv
样	Ev
、	Sw
检	Bvn
测	Evn
、	Sw
出	Bv
具	Ev
法	Bn
定	En
检	Bvn
验	Evn
报	Bn
告	En
，	Sw
复	Bv
检	Ev
期	Sq
已	Sd
达	Sv
法	Bn
定	Mn
时	Mn
限	En
，	Sw
并	Sc
按	Bl
程	Ml
序	El
审	Bv
定	Ev
后	Sf
公	Bv
布	Ev
，	Sw
因	Bc
此	Ec
附	Bn
件	En
中	Sf
合	Bn
格	Mn
率	En
为	Sp
本	Bt
月	Et
已	Sd
公	Bv
布	Ev
监	Bvn
督	Evn
抽	Bv
检	Ev
合	Bn
格	Mn
率	En
，	Sw
不	Sd
代	Bn
表	En
本	Bt
月	Et
实	Bn
际	En
完	Bv
成	Ev
监	Bvn
督	Evn
抽	Bv
检	Ev
合	Bn
格	Mn
率	En
。	Sw

 	Sw

1	Sw
 	Sw

粮	Bn
食	En
加	Bn
工	Mn
品	En
 	Sw

2	Bm
6	Mm
7	Em
 	Sw

0	Sw
 	Sw

1	Bm
0	Mm
0	Em
%	Sw
 	Sw

2	Sw
 	Sw

食	Bn
用	Mn
油	En
、	Sw
油	Bn
脂	En
及	Bc
其	Ec
制	Bn
品	En
 	Sw

1	Bm
3	Mm
5	Em
 	Sw

2	Sw
 	Sw

9	Bm
8	Mm
.	Mm
5	Mm
2	Em
%	Sw
 	Sw

3	Sw
 	Sw

调	Bn
味	Mn
品	En
 	Sw

2	Bm
6	Mm
5	Em
 	Sw

5	Sw
 	Sw

9	Bm
8	Mm
.	Mm
1	Mm
1	Em
%	Sw
 	Sw

4	Sw
 	Sw

肉	Bn
制	Mn
品	En
 	Sw

2	Bm
3	Mm
8	Em
 	Sw

1	Sw
 	Sw

9	Bm
9	Mm
.	Mm
5	Mm
8	Em
%	Sw
 	Sw

5	Sw
 	Sw

乳	Bn
制	Mn
品	En
 	Sw

9	Bm
0	Em
 	Sw

0	Sw
 	Sw

1	Bm
0	Mm
0	Em
%	Sw
 	Sw

6	Sw
 	Sw

饮	Bn
料	En
 	Sw

3	Bm
8	Mm
3	Em
 	Sw

1	Bm
1	Em
 	Sw

9	Bm
7	Mm
.	Mm
1	Mm
3	Em
%	Sw
 	Sw

7	Sw
 	Sw

方	Ba
便	Ea
食	Bn
品	En
 	Sw

4	Sw
 	Sw

1	Sw
 	Sw

7	Bm
5	Em
%	Sw
 	Sw

8	Sw
 	Sw

饼	Bn
干	En
 	Sw

1	Bm
1	Em
 	Sw

1	Sw
 	Sw

9	Bm
0	Mm
.	Mm
9	Mm
1	Em
%	Sw
 	Sw

9	Sw
 	Sw

罐	Bn
头	En
 	Sw

3	Sw
 	Sw

0	Sw
 	Sw

1	Bm
0	Mm
0	Em
%	Sw
 	Sw

1	Bm
0	Em
 	Sw

冷	Bv
冻	Ev
饮	Bn
品	En
 	Sw

8	Sw
 	Sw

0	Sw
 	Sw

1	Bm
0	Mm
0	Em
%	Sw
 	Sw

1	Bm
1	Em
 	Sw

速	Bn
冻	En
食	Bn
品	En
 	Sw

5	Sw
 	Sw

0	Sw
 	Sw

1	Bm
0	Mm
0	Em
%	Sw
 	Sw

1	Bm
2	Em
 	Sw

薯	Bn
类	En
和	Sc
膨	Bl
化	Ml
食	Ml
品	El
 	Sw

8	Bm
2	Em
 	Sw

0	Sw
 	Sw

1	Bm
0	Mm
0	Em
%	Sw
 	Sw

1	Bm
3	Em
 	Sw

糖	Bn
果	En
制	Bn
品	En
 	Sw

3	Bm
0	Em
 	Sw

0	Sw
 	Sw

1	Bm
0	Mm
0	Em
%	Sw
 	Sw

1	Bm
4	Em
 	Sw

茶	Bn
叶	En
及	Sc
相	Bv
关	Ev
制	Bn
品	En
 	Sw

1	Bm
6	Mm
3	Em
 	Sw

0	Sw
 	Sw

1	Bm
0	Mm
0	Em
%	Sw
 	Sw

1	Bm
5	Em
 	Sw

酒	Bn
类	En
 	Sw

2	Bm
0	Mm
3	Em
 	Sw

6	Sw
 	Sw

9	Bm
7	Mm
.	Mm
0	Mm
4	Em
%	Sw
 	Sw

1	Bm
6	Em
 	Sw

蔬	Bn
菜	Mn
制	Mn
品	En
 	Sw

1	Bm
2	Mm
9	Em
 	Sw

7	Sw
 	Sw

9	Bm
4	Mm
.	Mm
5	Mm
7	Em
%	Sw
 	Sw

1	Bm
7	Em
 	Sw

水	Bn
果	En
制	Bn
品	En
 	Sw

3	Bm
1	Em
 	Sw

3	Sw
 	Sw

9	Bm
0	Mm
.	Mm
3	Mm
2	Em
%	Sw
 	Sw

1	Bm
8	Em
 	Sw

炒	Bv
货	Ev
食	Bn
品	En
及	Sc
坚	Bn
果	En
制	Bn
品	En
 	Sw

4	Bm
2	Em
 	Sw

0	Sw
 	Sw

1	Bm
0	Mm
0	Em
%	Sw
 	Sw

1	Bm
9	Em
 	Sw

蛋	Bn
制	Mn
品	En
 	Sw

1	Bm
4	Em
 	Sw

0	Sw
 	Sw

1	Bm
0	Mm
0	Em
%	Sw
 	Sw

2	Bm
0	Em
 	Sw

可	Bv
可	Ev
及	Sc
焙	Bv
烤	Ev
咖	Bn
啡	En
产	Bn
品	En
 	Sw

5	Sw
 	Sw

0	Sw
 	Sw

1	Bm
0	Mm
0	Em
%	Sw
 	Sw

2	Bm
1	Em
 	Sw

食	Bn
糖	En
 	Sw

1	Bm
2	Em
 	Sw

0	Sw
 	Sw

1	Bm
0	Mm
0	Em
%	Sw
 	Sw

2	Bm
2	Em
 	Sw

水	Bn
产	En
制	Bn
品	En
 	Sw

3	Sw
 	Sw

0	Sw
 	Sw

1	Bm
0	Mm
0	Em
%	Sw
 	Sw

2	Bm
3	Em
 	Sw

淀	Bn
粉	En
及	Sc
淀	Bn
粉	En
制	Bn
品	En
 	Sw

6	Sw
 	Sw

0	Sw
 	Sw

1	Bm
0	Mm
0	Em
%	Sw
 	Sw

2	Bm
4	Em
 	Sw

糕	Bn
点	En
 	Sw

1	Bm
8	Mm
4	Em
 	Sw

2	Sw
 	Sw

9	Bm
8	Mm
.	Mm
9	Mm
1	Em
%	Sw
 	Sw

2	Bm
5	Em
 	Sw

豆	Bn
制	Mn
品	En
 	Sw

5	Bm
1	Em
 	Sw

0	Sw
 	Sw

1	Bm
0	Mm
0	Em
%	Sw
 	Sw

2	Bm
6	Em
 	Sw

蜂	Bn
产	Mn
品	En
 	Sw

5	Bm
4	Em
 	Sw

0	Sw
 	Sw

1	Bm
0	Mm
0	Em
%	Sw
 	Sw

2	Bm
7	Em
 	Sw

保	Bn
健	Mn
食	Mn
品	En
 	Sw

0	Sw
 	Sw

0	Sw
 	Sw

/	Sw
 	Sw

2	Bm
8	Em
 	Sw

特	Ba
殊	Ea
医	Bn
学	En
用	Bn
途	En
配	Bn
方	En
食	Bn
品	En
 	Sw

0	Sw
 	Sw

0	Sw
 	Sw

/	Sw
 	Sw

2	Bm
9	Em
 	Sw

婴	Bn
幼	Mn
儿	En
配	Bn
方	En
食	Bn
品	En
 	Sw

0	Sw
 	Sw

0	Sw
 	Sw

/	Sw
 	Sw

3	Bm
0	Em
 	Sw

特	Ba
殊	Ea
膳	Bn
食	En
食	Bn
品	En
 	Sw

0	Sw
 	Sw

0	Sw
 	Sw

/	Sw
 	Sw

3	Bm
1	Em
 	Sw

餐	Bn
饮	En
食	Bn
品	En
 	Sw

2	Bm
0	Mm
8	Em
 	Sw

1	Sw
 	Sw

9	Bm
9	Mm
.	Mm
5	Mm
2	Em
%	Sw
 	Sw

3	Bm
2	Em
 	Sw

食	Bn
用	En
农	Bn
产	Mn
品	En
 	Sw

2	Bm
5	Mm
8	Mm
3	Em
 	Sw

4	Sw
 	Sw

9	Bm
9	Mm
.	Mm
8	Mm
5	Em
%	Sw
 	Sw

3	Bm
3	Em
 	Sw

食	Bn
品	En
添	Bn
加	Mn
剂	En
 	Sw

0	Sw
 	Sw

0	Sw
 	Sw

/	Sw
 	Sw

3	Bm
4	Em
 	Sw

其	Br
他	Er
5	Sw
（	Sw
请	Sv
在	Sp
备	Bv
注	Ev
标	Bv
注	Ev
类	Bn
别	En
）	Sw
 	Sw

0	Sw
 	Sw

0	Sw
 	Sw

/	Sw
 	Sw

合	Bvn
计	Evn
 	Sw

合	Bvn
计	Evn
 	Sw

5	Bm
2	Mm
0	Mm
9	Em
 	Sw

4	Bm
4	Em
 	Sw

9	Bm
9	Mm
.	Mm
1	Mm
6	Em
%	Sw


