湖	Bns
北	Mns
省	Ens
食	Sv
药	Bnt
监	Mnt
局	Ent
发	Bv
布	Ev
关	Bp
于	Ep
2	Bm
0	Mm
1	Mm
7	Em
年	Sm
7	Sm
月	Sm
食	Bl
品	Ml
安	Ml
全	El
监	Bvn
督	Evn
抽	Bv
检	Ev
汇	Bn
总	En
情	Bn
况	En
分	Bvn
析	Evn
。	Sw

2	Bm
0	Mm
1	Mm
7	Em
年	Sm
7	Sm
月	Sm
，	Sw
全	Bn
省	En
共	Sd
完	Bv
成	Ev
 	Sw

食	Bl
品	Ml
安	Ml
全	El
 	Sw

监	Bvn
督	Evn
 	Sw

抽	Bv
检	Ev
3	Bm
3	Em
大	Bn
类	En
 	Sw

食	Bn
品	En
1	Bm
1	Mm
8	Mm
7	Mm
8	Em
批	Bd
次	Ed
，	Sw
分	Bd
别	Ed
按	Bp
照	Ep
相	Bv
关	Ev
 	Sw

食	Bl
品	Ml
安	Ml
全	El
国	Bn
家	Mn
标	Mn
准	En
及	Sc
产	Bn
品	En
明	Bv
示	Ev
 	Sw

标	Bn
准	En
等	Su
进	Bv
行	Ev
检	Bvn
验	Evn
，	Sw
共	Sd
发	Bv
现	Ev
不	Sd
合	Bn
格	En
样	Bn
品	En
5	Bm
1	Mm
4	Em
批	Bd
次	Ed
，	Sw
总	Bn
体	En
发	Bv
现	Ev
样	Bn
品	En
不	Bn
合	Mn
格	Mn
率	En
为	Sp
4	Bm
.	Mm
3	Mm
3	Em
%	Sw
。	Sw

检	Bv
出	Ev
问	Bn
题	En
的	Suj
食	Bn
品	En
有	Sv
2	Bm
6	Em
大	Bn
类	En
，	Sw
分	Bd
别	Ed
为	Sp
粮	Bn
食	En
加	Bn
工	Mn
品	En
、	Sw
食	Bn
用	Mn
油	En
、	Sw
油	Bn
脂	En
及	Bc
其	Ec
制	Bn
品	En
、	Sw
调	Bn
味	Mn
品	En
、	Sw
肉	Bn
制	Mn
品	En
、	Sw
饮	Bn
料	En
、	Sw
方	Ba
便	Ea
食	Bn
品	En
、	Sw
饼	Bn
干	En
、	Sw
罐	Bn
头	En
、	Sw
冷	Bv
冻	Ev
饮	Bn
品	En
、	Sw
速	Bn
冻	En
食	Bn
品	En
、	Sw
薯	Bn
类	En
和	Sc
膨	Bl
化	Ml
食	Ml
品	El
、	Sw
糖	Bn
果	En
制	Bn
品	En
、	Sw
茶	Bn
叶	En
及	Sc
相	Bv
关	Ev
制	Bn
品	En
、	Sw
酒	Bn
类	En
、	Sw
蔬	Bn
菜	Mn
制	Mn
品	En
、	Sw
水	Bn
果	En
制	Bn
品	En
、	Sw
炒	Bv
货	Ev
食	Bn
品	En
及	Sc
坚	Bn
果	En
制	Bn
品	En
、	Sw
蛋	Bn
制	Mn
品	En
、	Sw
水	Bn
产	En
制	Bn
品	En
、	Sw
淀	Bn
粉	En
及	Sc
淀	Bn
粉	En
制	Bn
品	En
、	Sw
糕	Bn
点	En
、	Sw
豆	Bn
制	Mn
品	En
、	Sw
蜂	Bn
产	Mn
品	En
、	Sw
餐	Bn
饮	En
食	Bn
品	En
