新	Bnt	B
疆	Mnt	I
生	Mnt	I
产	Mnt	I
建	Mnt	I
设	Mnt	I
兵	Mnt	I
团	Ent	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
产	Bn	O
品	En	O
信	Bn	O
息	En	O
公	Bv	O
示	Ev	O
（	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
第	Sm	O
3	Sm	O
期	Sn	O
）	Sw	O
。	Sw	O

为	Sp	O
警	Bv	O
示	Ev	O

消	Bn	O
费	Mn	O
者	En	O
，	Sw	O
切	Bad	O
实	Ead	O
保	Bv	O
证	Ev	O
广	Ba	O
大	Ea	O
消	Bn	O
费	Mn	O
者	En	O
的	Suj	O

饮	Bn	O
食	En	O
安	Ban	O
全	Ean	O
，	Sw	O
我	Sr	O
局	Bv	O
现	Ev	O
对	Sp	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
兵	Bn	O
团	En	O

食	Bl	O
品	Ml	O
安	Ml	O
全	El	O

监	Bvn	O
督	Evn	O

抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
信	Bn	O
息	En	O

（	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
第	Sm	O
3	Sm	O
期	Sn	O
）	Sw	O
进	Bv	O
行	Ev	O
公	Bv	O
示	Ev	O
，	Sw	O
具	Bl	O
体	Ml	O
情	Ml	O
况	El	O
如	Bt	O
下	Et	O
：	Sw	O

饼	Bn	O
干	En	O
1	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
餐	Bn	O
饮	En	O

食	Bn	O
品	En	O
7	Bm	O
0	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
炒	Bv	O
货	Ev	O
食	Bn	O
品	En	O
及	Sc	O
坚	Bn	O
果	En	O
制	Bn	O
品	En	O
3	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
淀	Bn	O
粉	En	O
及	Sc	O
淀	Bn	O
粉	En	O
制	Bn	O
品	En	O
1	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
方	Ba	O
便	Ea	O
食	Bn	O
品	En	O
4	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
罐	Bn	O
头	En	O
3	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
酒	Bn	O
类	En	O
2	Bm	O
4	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
粮	Bn	O
食	En	O
加	Bn	O
工	Mn	O
品	En	O
6	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
肉	Bn	O
制	Mn	O
品	En	O
1	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
乳	Bn	O
制	Mn	O
品	En	O
2	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
食	Bn	O
糖	En	O
1	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
食	Bn	O
用	En	O
农	Bn	O
产	Mn	O
品	En	O
2	Bm	O
3	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
食	Bn	O
用	Mn	O
油	En	O
、	Sw	O
油	Bn	O
脂	En	O
及	Bc	O
其	Ec	O
制	Bn	O
品	En	O
4	Bm	O
7	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
调	Bn	O
味	Mn	O
品	En	O
2	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
饮	Bn	O
料	En	O
1	Bm	O
2	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
全	Bn	O
部	En	O
合	Bn	O
格	En	O
。	Sw	O

提	Bv	O
示	Ev	O
广	Ba	O
大	Ea	O
消	Bn	O
费	Mn	O
者	En	O
，	Sw	O
购	Bv	O
买	Ev	O
时	Sng	O
要	Sv	O
通	Bp	O
过	Ep	O
正	Ba	O
规	Ea	O
可	Bv	O
靠	Ev	O
渠	Bn	O
道	En	O
并	Sc	O
保	Bv	O
存	Ev	O
相	Bv	O
应	Ev	O
购	Bn	O
物	En	O
凭	Bn	O
证	En	O
，	Sw	O
要	Sv	O
看	Bv	O
清	Ev	O
外	Bn	O
包	Mn	O
装	En	O
上	Sf	O
的	Suj	O
相	Bv	O
关	Ev	O
标	Bn	O
识	En	O
，	Sw	O
查	Bv	O
看	Ev	O
真	Bn	O
空	Mn	O
包	Mn	O
装	En	O
