上	Bns	B
海	Mns	I
市	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E
关	Bp	O
于	Ep	O
进	Bd	O
一	Md	O
步	Ed	O
做	Bv	O
好	Ev	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
不	Sd	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
风	Bn	O
险	En	O
防	Bvn	O
控	Evn	O
和	Sc	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
工	Bvn	O
作	Evn	O
的	Suj	O
通	Bv	O
知	Ev	O
（	Sw	O
沪	Sj	O
食	Bn	O
药	Mn	O
监	En	O
协	Sn	O
〔	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
〕	Sw	O
1	Bm	O
6	Mm	O
1	Em	O
号	Sm	O
）	Sw	O
。	Sw	O

各	Br	O
区	Er	O
市	Bn	O
场	En	O

监	Bn	O
管	Mn	O
局	En	O
：	Sw	O

现	Stg	O
将	Sd	O
国	Bn	O
家	En	O

食	Bn	O
品	Mn	O
药	Mn	O
品	En	O
监	Bvn	O
管	Evn	O
总	Bn	O
局	En	O
《	Sw	O
关	Bp	O
于	Ep	O
进	Bd	O
一	Md	O
步	Ed	O
加	Bv	O
强	Ev	O

监	Bvn	O
督	Evn	O

抽	Bv	O
检	Ev	O
不	Sd	O
合	Bn	O
格	En	O

食	Bn	O
品	En	O
风	Bn	O
险	En	O
防	Bvn	O
控	Evn	O
和	Sc	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
工	Bvn	O
作	Evn	O
的	Suj	O
通	Bv	O
知	Ev	O
》	Sw	O
（	Sw	O
食	Bn	O
药	Mn	O
监	En	O
食	Bn	O
监	En	O
三	Sm	O
〔	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
〕	Sw	O
4	Bm	O
2	Em	O
号	Sm	O
）	Sw	O
转	Bv	O
发	Mv	O
给	Ev	O
你	Br	O
们	Er	O
，	Sw	O
并	Sc	O
就	Sd	O
有	Bvn	O
关	Evn	O
工	Bvn	O
作	Evn	O
提	Bv	O
出	Ev	O
如	Bt	O
下	Et	O
要	Bv	O
求	Ev	O
，	Sw	O
请	Sv	O
认	Bad	O
真	Ead	O
抓	Bv	O
