吉	Bns	B
林	Mns	I
省	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E
关	Bp	O
于	Ep	O
第	Bl	O
一	Ml	O
季	Ml	O
度	El	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
情	Bn	O
况	En	O
的	Suj	O
通	Bn	O
告	En	O
。	Sw	O

按	Bp	O
照	Ep	O
《	Sw	O

食	Bn	O
品	Mn	O
药	Mn	O
品	En	O
监	Bvn	O
管	Evn	O
总	Bn	O
局	En	O
关	Bp	O
于	Ep	O
做	Bv	O
好	Ev	O
食	Bn	O
品	En	O

抽	Bv	O
检	Ev	O
及	Sc	O
信	Bn	O
息	En	O
发	Bv	O
布	Ev	O
工	Bvn	O
作	Evn	O
的	Suj	O
意	Bn	O
见	En	O
》	Sw	O
（	Sw	O
食	Bn	O
药	Mn	O
监	En	O
食	Bn	O
监	En	O
三	Sm	O
〔	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
5	Em	O
〕	Sw	O
6	Bm	O
4	Em	O
号	Sm	O
）	Sw	O
相	Bv	O
关	Ev	O
要	Bv	O
求	Ev	O
，	Sw	O
省	Bn	O
局	En	O
对	Sp	O
全	Bn	O
省	En	O
辖	Bn	O
区	En	O
内	Sn	O
各	Br	O
级	Er	O

食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
监	Bn	O
管	Mn	O
部	Mn	O
门	En	O
的	Suj	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
情	Bn	O
况	En	O
进	Bv	O
行	Ev	O
了	Sul	O
汇	Bn	O
总	En	O
分	Bvn	O
析	Evn	O
。	Sw	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
第	Bl	O
一	Ml	O
季	Ml	O
度	El	O
（	Sw	O
1	Sm	O
月	Sm	O
2	Bm	O
1	Em	O
日	Sm	O
-	Sw	O
3	Sm	O
月	Sm	O
2	Bm	O
0	Em	O
日	Sm	O
）	Sw	O
全	Bn	O
省	En	O
共	Sd	O
抽	Bv	O
检	Ev	O
各	Br	O
类	Er	O
食	Bn	O
品	En	O
