沪	Sj	O
食	Bn	O
药	Mn	O
监	En	O
抽	Bv	O
检	Ev	O
：	Sw	O
调	Bn	O
味	Mn	O
品	En	O
、	Sw	O
葵	Bn	O
花	Mn	O
籽	En	O
油	Sn	O
等	Su	O
5	Sm	O
批	Bd	O
次	Ed	O
食	Bn	O
品	En	O
样	Bn	O
品	En	O
不	Sd	O
合	Bn	O
格	En	O
。	Sw	O

中	Bns	O
国	Ens	O
质	Bn	O
量	En	O
新	Bnz	O
闻	Mnz	O
网	Enz	O
讯	Sng	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
8	Sm	O
月	Sm	O
2	Bm	O
3	Em	O
日	Sm	O
，	Sw	O
上	Bns	B
海	Mns	I
市	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E
官	Bn	O
网	En	O
公	Bv	O
布	Ev	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
第	Sm	O
3	Bm	O
3	Em	O
期	Sn	O
省	Bb	O
级	Eb	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
，	Sw	O
抽	Bv	O
检	Ev	O
样	Bn	O
品	En	O
共	Bv	O
计	Ev	O
1	Bm	O
1	Mm	O
1	Mm	O
4	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
其	Br	O
中	Er	O
合	Bn	O
格	En	O
1	Bm	O
1	Mm	O
0	Mm	O
9	Em	O
批	Bd	O
次	Ed	O
、	Sw	O
不	Sd	O
合	Bn	O
格	En	O
5	Sw	O
批	Bd	O
次	Ed	O
。	Sw	O

本	Br	O
次	Er	O
公	Bn	O
告	En	O
的	Suj	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
涉	Bv	O
及	Ev	O
8	Sm	O
大	Sa	O
类	Bn	O
食	Mn	O
品	En	O
，	Sw	O
包	Bv	O
括	Ev	O
：	Sw	O
粮	Bn	O
食	En	O
加	Bn	O
工	Mn	O
品	En	O
，	Sw	O
食	Bn	O
用	Mn	O
油	En	O
、	Sw	O
油	Bn	O
脂	En	O
及	Bc	O
其	Ec	O
制	Bn	O
品	En	O
，	Sw	O
调	Bn	O
味	Mn	O
品	En	O
，	Sw	O
肉	Bn	O
制	Mn	O
品	En	O
，	Sw	O
乳	Bn	O
制	Mn	O
品	En	O
，	Sw	O
饮	Bn	O
料	En	O
，	Sw	O
方	Ba	O
便	Ea	O
食	Bn	O
品	En	O
，	Sw	O
饼	Bn	O
干	En	O
等	Su	O
。	Sw	O

不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
为	Sp	O
食	Bn	O
用	Mn	O
油	En	O
、	Sw	O
油	Bn	O
脂	En	O
及	Bc	O
其	Ec	O
制	Bn	O
品	En	O
1	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
调	Bn	O
味	Mn	O
品	En	O
4	Sw	O
批	Bd	O
次	Ed	O
。	Sw	O

据	Sp	O
本	Br	O
次	Er	O
发	Bv	O
布	Ev	O
的	Suj	O
《	Sw	O
调	Bn	O
味	Mn	O
品	En	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
信	Bn	O
息	En	O
》	Sw	O
，	Sw	O
标	Bn	O
称	En	O
上	Bns	B
海	Ens	I
洪	Bnr	I
宁	Enr	I
食	Bn	I
品	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
1	Sm	O
批	Bd	O
次	Ed	O
“	Sw	O
张	Bnr	O
氏	Enr	O
记	Sn	O
”	Sw	O
湖	Bns	O
南	Ens	O
辣	Bn	O
椒	Mn	O
酱	En	O
（	Sw	O
3	Bm	O
1	Mm	O
5	Em	O
克	Snr	O
/	Sw	O
瓶	Sn	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
3	Em	O
-	Sw	O
2	Bm	O
5	Em	O
）	Sw	O
，	Sw	O
被	Sp	O
检	Bv	O
出	Ev	O
菌	Bn	O
落	En	O
总	Bn	O
数	En	O
项	Bn	O
目	En	O
不	Sd	O
合	Bn	O
格	En	O
；	Sw	O

标	Bn	O
称	En	O
上	Bns	B
海	Ens	I
金	Bnr	I
山	Enr	I
酱	Bn	I
菜	En	I
调	Bn	I
味	Mn	I
品	Mn	I
厂	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
1	Sm	O
批	Bd	O
次	Ed	O
辣	Bn	O
油	En	O
辣	Bn	O
椒	Mn	O
酱	En	O
（	Sw	O
复	Bv	O
合	Ev	O
调	Bv	O
味	Mv	O
料	Ev	O
）	Sw	O
（	Sw	O
2	Bm	O
5	Mm	O
0	Em	O
g	Seng	O
/	Sw	O
袋	Sq	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
5	Em	O
-	Sw	O
1	Bm	O
5	Em	O
）	Sw	O
，	Sw	O
被	Sp	O
检	Bv	O
出	Ev	O
霉	Bn	O
菌	En	O
和	Sc	O
酵	Bn	O
母	En	O
项	Bn	O
目	En	O
不	Sd	O
合	Bn	O
格	En	O
；	Sw	O

标	Bn	O
称	En	O
上	Bns	B
海	Ens	I
金	Bnr	I
山	Enr	I
堰	Bnz	I
鼎	Enz	I
调	Bn	I
味	Mn	I
品	Mn	I
厂	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
1	Sm	O
批	Bd	O
次	Ed	O
香	Bn	O
酥	En	O
炸	Bn	O
鸡	En	O
料	Sv	O
（	Sw	O
非	Sh	O
即	Bv	O
食	Ev	O
）	Sw	O
（	Sw	O
4	Bm	O
0	Em	O
g	Seng	O
/	Sw	O
袋	Sq	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
4	Em	O
-	Sw	O
2	Bm	O
4	Em	O
）	Sw	O
，	Sw	O
被	Sp	O
检	Bv	O
出	Ev	O
霉	Bn	O
菌	En	O
和	Sc	O
酵	Bn	O
母	En	O
项	Bn	O
目	En	O
不	Sd	O
合	Bn	O
格	En	O
；	Sw	O

标	Bn	O
称	En	O
上	Bns	B
海	Ens	I
顶	Bn	I
润	En	I
食	Bn	I
品	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
1	Sm	O
批	Bd	O
次	Ed	O
“	Sw	O
顶	Bn	O
润	En	O
料	Bv	O
理	Ev	O
”	Sw	O
牛	Bn	O
肉	En	O
靓	Sg	O
汤	Sn	O
王	Snr	O
（	Sw	O
复	Bv	O
合	Ev	O
调	Bv	O
味	Mv	O
料	Ev	O
）	Sw	O
（	Sw	O
5	Bm	O
0	Mm	O
0	Em	O
g	Seng	O
/	Sw	O
袋	Sq	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
5	Em	O
-	Sw	O
1	Bm	O
2	Em	O
）	Sw	O
，	Sw	O
被	Sp	O
检	Bv	O
出	Ev	O
霉	Bn	O
菌	En	O
和	Sc	O
酵	Bn	O
母	En	O
项	Bn	O
目	En	O
不	Sd	O
合	Bn	O
格	En	O
。	Sw	O

据	Sp	O
本	Br	O
次	Er	O
发	Bv	O
布	Ev	O
的	Suj	O
《	Sw	O
食	Bn	O
用	Mn	O
油	En	O
、	Sw	O
油	Bn	O
脂	En	O
及	Bc	O
其	Ec	O
制	Bn	O
品	En	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
信	Bn	O
息	En	O
》	Sw	O
，	Sw	O
标	Bn	O
称	En	O
江	Bns	B
苏	Ens	I
金	Bns	I
洲	Ens	I
粮	Bn	I
油	Mn	I
食	Mn	I
品	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
1	Sm	O
批	Bd	O
次	Ed	O
“	Sw	O
煮	Sv	O
煮	Sv	O
乐	Sa	O
”	Sw	O
葵	Bn	O
