最	Bf	O
近	Ef	O
，	Sw	O
深	Bns	O
圳	Ens	O
抽	Bv	O
检	Ev	O
的	Suj	O
月	Bn	O
饼	En	O
中	Sf	O

龙	Bnr	O
岗	Enr	O
平	Bns	O
湖	Ens	O
这	Br	O
家	Er	O
不	Sd	O
合	Bn	O
格	En	O
！	Sw	O

。	Sw	O

中	Bt	O
秋	Mt	O
节	Et	O
快	Sa	O
到	Sv	O
了	Sul	O
，	Sw	O
月	Bn	O
饼	En	O
销	Bvn	O
售	Evn	O
进	Bv	O
入	Ev	O
旺	Bn	O
季	En	O
，	Sw	O
市	Bn	O
面	Mn	O
上	En	O
的	Suj	O
月	Bn	O
饼	En	O
都	Sd	O
合	Bn	O
格	En	O
吗	Sy	O
？	Sw	O

消	Bvn	O
息	Mvn	O
报	Evn	O
记	Bn	O
者	En	O
从	Sp	O
深	Bns	O
圳	Mns	O
市	Ens	O
食	Bn	O
品	En	O
药	Bnt	O
品	Mnt	O
监	Mnt	O
督	Mnt	O
管	Mnt	O
理	Mnt	O
局	Ent	O
了	Bv	O
解	Ev	O
到	Sv	O
，	Sw	O
日	Bt	O
前	Et	O
，	Sw	O
该	Br	O
局	Er	O
检	Bvn	O
测	Evn	O
了	Sul	O
全	Bn	O
市	En	O
的	Suj	O
食	Bn	O
品	En	O
生	Bvn	O
产	Evn	O
企	Bn	O
业	En	O
、	Sw	O
商	Bn	O
场	En	O
超	Bv	O
市	Ev	O
、	Sw	O
餐	Bn	O
厅	En	O
酒	Bn	O
楼	En	O
制	Bvn	O
作	Evn	O
和	Sc	O
销	Bvn	O
售	Evn	O
的	Suj	O
月	Bn	O
饼	En	O
，	Sw	O
共	Sd	O
抽	Bv	O
检	Ev	O
1	Bm	O
6	Mm	O
7	Em	O
家	Sm	O
单	Bn	O
位	En	O
的	Suj	O
月	Bn	O
饼	En	O
3	Bm	O
2	Mm	O
6	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
只	Sd	O
发	Bv	O
现	Ev	O
1	Sw	O
批	Bd	O
次	Ed	O
不	Sd	O
合	Bn	O
格	En	O
。	Sw	O

其	Br	O
中	Er	O
，	Sw	O

南	Bns	O
山	Mns	O
区	Ens	O
抽	Bv	O
检	Ev	O
的	Suj	O
1	Bm	O
6	Em	O
家	Sm	O
单	Bn	O
位	En	O
2	Bm	O
9	Em	O
批	Bd	O
次	Ed	O
月	Bn	O
饼	En	O
全	Bn	O
部	En	O
合	Bn	O
格	En	O
。	Sw	O

此	Br	O
次	Er	O
抽	Bv	O
检	Ev	O
主	Bb	O
要	Eb	O
检	Bvn	O
测	Evn	O
了	Sul	O
月	Bn	O
饼	En	O
微	Bl	O
生	Ml	O
物	El	O
、	Sw	O
理	Bv	O
化	Ev	O
指	Bn	O
标	En	O
、	Sw	O
食	Bn	O
品	En	O
污	Bn	O
染	Mn	O
物	En	O
、	Sw	O
重	Bn	O
金	Mn	O
属	En	O
等	Su	O
。	Sw	O

位	Bv	O
于	Ev	O
南	Bns	O
山	Mns	O
区	Ens	O
的	Suj	O
华	Bns	B
威	Ens	I
新	Sa	I
桃	Bns	I
园	Ens	I
酒	Bn	I
店	En	E
、	Sw	O
凯	Bnrt	O
宾	Mnrt	O
斯	Mnrt	O
基	Enrt	O
酒	Bn	O
店	En	O
、	Sw	O
仰	Bnr	O
天	Enr	O
福	Sns	O
酒	Bn	O
店	En	O
、	Sw	O
岁	Sm	O
宝	Bnr	O
龙	Mnr	O
珠	Enr	O
店	Sn	O
、	Sw	O
天	Bnz	B
虹	Enz	I
前	Sf	I
海	Bn	I
店	En	E
、	Sw	O
沃	Bnr	O
尔	Mnr	O
玛	Enr	O
南	Sns	O
新	Bns	O
店	Ens	O
、	Sw	O
麦	Bnr	O
德	Mnr	O
龙	Enr	O
等	Su	O
1	Bm	O
6	Em	O
家	Sm	O
单	Bn	O
位	En	O
均	Sd	O
在	Sp	O
抽	Bv	O
检	Ev	O
名	Bn	O
单	En	O
中	Sf	O
，	Sw	O
抽	Bv	O
检	Ev	O
的	Suj	O
月	Bn	O
饼	En	O
类	Bn	O
型	En	O
覆	Bv	O
盖	Ev	O
了	Sul	O
流	Bn	O
心	En	O
、	Sw	O
蛋	Bn	O
黄	En	O
、	Sw	O
莲	Bn	O
蓉	En	O
等	Su	O
，	Sw	O
2	Bm	O
9	Em	O
批	Bd	O
次	Ed	O
月	Bn	O
饼	En	O
全	Bn	O
部	En	O
合	Bn	O
格	En	O
。	Sw	O

此	Br	O
次	Er	O
抽	Bv	O
检	Ev	O
不	Sd	O
合	Bn	O
格	En	O
的	Suj	O
月	Bn	O
饼	En	O
是	Sv	O
龙	Bn	O
岗	Mn	O
区	En	O
平	Sn	O
湖	Bns	O
东	Ens	O
悦	Svg	O
紫	Bnr	O
来	Mnr	O
轩	Enr	B
面	Bn	I
包	Mn	I
店	En	E
的	Suj	O
冰	Bn	O
皮	En	O
月	Bn	O
饼	En	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
的	Suj	O
原	Bn	O
因	En	O
是	Sv	O
大	Bn	O
肠	Mn	O
菌	Mn	O
群	En	O
超	Bv	O
标	Ev	O
，	Sw	O
产	Sn	O
自	Sp	O
东	Bns	O
莞	Mns	O
市	Ens	O
东	Bnr	O
悦	Enr	O
食	Bn	O
品	En	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O
。	Sw	O

大	Bn	O
肠	Mn	O
菌	Mn	O
群	En	O
是	Sv	O
反	Bv	O
映	Ev	O
食	Bn	O
