甘	Bns	B
肃	Mns	I
省	Ens	I
工	Bj	I
商	Mj	I
局	Ej	E
：	Sw	O
5	Bm	O
4	Em	O
批	Bd	O
次	Ed	O
服	Bvn	O
装	Evn	O
抽	Bv	O
检	Ev	O
不	Sd	O
合	Bn	O
格	En	O
。	Sw	O

￥	Sw	O

1	Bm	O
1	Mm	O
.	Mm	O
8	Em	O
元	Sm	O
/	Sw	O
米	Sq	O

￥	Sw	O

8	Bm	O
.	Mm	O
3	Mm	O
0	Em	O
元	Sm	O
/	Sw	O
米	Sq	O

￥	Sw	O

3	Bm	O
8	Mm	O
.	Mm	O
0	Mm	O
0	Em	O
元	Sm	O
/	Sw	O
码	Sn	O

￥	Sw	O

1	Bm	O
.	Mm	O
9	Mm	O
0	Em	O
元	Sm	O
/	Sw	O
支	Sn	O

￥	Sw	O

1	Bm	O
2	Mm	O
.	Mm	O
0	Mm	O
0	Em	O
元	Sm	O
/	Sw	O
码	Sn	O

￥	Sw	O

2	Bm	O
.	Mm	O
5	Mm	O
0	Em	O
元	Sm	O
/	Sw	O
码	Sn	O

￥	Sw	O

4	Bm	O
.	Mm	O
0	Mm	O
0	Em	O
元	Sm	O
/	Sw	O
码	Sn	O

￥	Sw	O

1	Bm	O
.	Mm	O
0	Mm	O
0	Em	O
元	Sm	O
/	Sw	O
个	Sq	O

￥	Sw	O

1	Bm	O
0	Mm	O
0	Mm	O
.	Mm	O
0	Mm	O
0	Em	O
元	Sm	O
/	Sw	O
套	Sq	O

