海	Bs	O
北	Es	O
州	Sn	O
抽	Bv	O
检	Ev	O
：	Sw	O
1	Sw	O
批	Bd	O
次	Ed	O
菜	Bn	O
籽	Mn	O
油	En	O
样	Bn	O
品	En	O
不	Sd	O
合	Bn	O
格	En	O
。	Sw	O

序	Bn	O
号	En	O

报	Bn	O
告	En	O
编	Bn	O
号	En	O

样	Bn	O
品	En	O
名	Bn	O
称	En	O

抽	Bv	O
样	Ev	O
单	Sn	O
编	Bn	O
号	En	O

被	Sp	O
抽	Bv	O
检	Ev	O
人	Sn	O

联	Bl	O
系	Ml	O
电	Ml	O
话	El	O

检	Bvn	O
测	Evn	O
项	Bn	O
目	En	O

检	Bvn	O
测	Evn	O
结	Bn	O
果	En	O

不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O

1	Sw	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
1	Meng	O
1	Eeng	O

菜	Bn	O
籽	Mn	O
油	En	O

Q	Beng	O
H	Meng	O
H	Meng	O
B	Meng	O
1	Meng	O
7	Eeng	O
-	Sw	O
0	Bm	O
2	Mm	O
1	Em	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
马	Bns	I
国	Ens	I
太	Sns	I
油	Bn	I
坊	En	E

1	Bm	O
3	Mm	O
1	Mm	O
3	Mm	O
9	Mm	O
1	Mm	O
0	Mm	O
3	Mm	O
8	Mm	O
3	Mm	O
3	Em	O

酸	Bn	O
价	En	O
、	Sw	O
过	Bn	O
氧	Mn	O
化	En	O
值	Sn	O
、	Sw	O
铅	Sn	O
、	Sw	O
总	Sb	O
砷	Sn	O
、	Sw	O
苯	Sn	O
并	Sc	O
（	Sw	O
α	Sw	O
）	Sw	O
芘	Sw	O
、	Sw	O
丁	Bnr	O
基	Enr	O
羟	Bnz	O
基	Enz	O
茴	Bn	O
香	En	O
醚	Sn	O
、	Sw	O
二	Sm	O
丁	Bnr	O
基	Enr	O
羟	Bnz	O
基	Enz	O
甲	Bnz	O
苯	Enz	O
、	Sw	O
特	Bnr	O
丁	Mnr	O
基	Enr	O
对	Bnz	O
苯	Mnz	O
二	Mnz	O
酚	Enz	O
、	Sw	O
没	Bl	O
食	Ml	O
子	Ml	O
酸	El	O
丙	Bnz	O
酯	Enz	O
、	Sw	O
丙	Bnz	O
二	Mnz	O
醛	Enz	O

合	Bn	O
格	En	O

/	Sw	O

2	Sw	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
1	Meng	O
2	Eeng	O

菜	Bn	O
籽	Mn	O
油	En	O

