湖	Bns	B
北	Mns	I
省	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E

食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
公	Bn	O
告	En	O
（	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
第	Sm	O
2	Bm	O
9	Em	O
期	Sn	O
）	Sw	O
。	Sw	O

根	Bp	O
据	Ep	O
《	Sw	O
中	Bns	O
华	Mns	O
人	Mns	O
民	Mns	O
共	Mns	O
和	Mns	O
国	Ens	O

食	Bn	O
品	En	O
安	Bnr	O
全	Mnr	O
法	Enr	O
》	Sw	O
及	Bc	O
其	Ec	O
实	Bv	O
施	Ev	O
条	Bn	O
例	En	O
等	Su	O
规	Bn	O
定	En	O
，	Sw	O
省	Bn	O
局	En	O
近	Bt	O
期	Et	O
组	Bv	O
织	Ev	O

抽	Bv	O
检	Ev	O

蜂	Bn	O
产	Mn	O
品	En	O
、	Sw	O

食	Bn	O
用	Mn	O
油	En	O
、	Sw	O
油	Bn	O
脂	En	O
及	Bc	O
其	Ec	O
制	Bn	O
品	En	O
、	Sw	O
蔬	Bn	O
菜	Mn	O
制	Mn	O
品	En	O
、	Sw	O

肉	Bn	O
制	Mn	O
品	En	O
、	Sw	O
糖	Szg	O

果	Sng	O
制	Bn	O
品	En	O
、	Sw	O

淀	Bn	O
粉	En	O
及	Sc	O
淀	Bn	O
粉	En	O
制	Bn	O
品	En	O
、	Sw	O

炒	Bv	O
货	Ev	O
食	Bn	O
品	En	O
及	Sc	O

坚	Bn	O
果	En	O
制	Bn	O
品	En	O
、	Sw	O

茶	Bn	O
叶	En	O
及	Sc	O
相	Bv	O
关	Ev	O
制	Bn	O
品	En	O
、	Sw	O

乳	Bn	O
制	Mn	O
品	En	O
、	Sw	O

豆	Bn	O
制	Mn	O
品	En	O
、	Sw	O

冷	Bv	O
冻	Ev	O
饮	Bn	O
品	En	O
、	Sw	O
水	Bn	O
果	En	O
制	Bn	O
品	En	O
、	Sw	O

可	Bv	O
可	Ev	O
及	Sc	O
焙	Bv	O
烤	Ev	O
咖	Bn	O
啡	En	O
产	Bn	O
品	En	O
、	Sw	O

食	Bn	O
用	En	O
农	Bn	O
产	Mn	O
品	En	O
、	Sw	O
薯	Bn	O
类	En	O
和	Sc	O

膨	Bl	O
化	Ml	O
食	Ml	O
品	El	O
、	Sw	O
水	Bn	O
产	En	O
制	Bn	O
品	En	O
、	Sw	O

婴	Bn	O
幼	Mn	O
儿	En	O
配	Bn	O
方	En	O
食	Bn	O
品	En	O
和	Sc	O

速	Bn	O
冻	En	O
食	Bn	O
品	En	O
等	Su	O
1	Bm	O
8	Em	O
类	Bn	O
食	Mn	O
品	En	O
6	Bm	O
8	Mm	O
4	Em	O
批	Bd	O
次	Ed	O
样	Bn	O
品	En	O
，	Sw	O

抽	Bv	O
样	Ev	O
检	Bvn	O
验	Evn	O
项	Bn	O
目	En	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
6	Bm	O
7	Mm	O
0	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
1	Bm	O
4	Em	O
批	Bd	O
次	Ed	O
。	Sw	O

检	Bvn	O
测	Evn	O
项	Bn	O
目	En	O
见	Sv	O
附	Bn	O
件	En	O
。	Sw	O

根	Bp	O
据	Ep	O

食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
国	Bn	O
家	Mn	O
标	Mn	O
准	En	O
，	Sw	O
个	Bn	O
别	En	O
项	Bn	O
目	En	O
不	Sd	O
合	Bn	O
格	En	O
，	Sw	O
其	Sr	O
产	Bn	O
品	En	O
即	Sv	O
判	Bv	O
定	Ev	O
