粤	Sj	O
今	Bt	O
年	Et	O
校	Bn	O
服	En	O
抽	Bv	O
查	Ev	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
发	Bv	O
现	Ev	O
率	Sv	O
超	Sv	O
1	Sm	O
成	Sn	O

无	Sv	O
严	Ba	O
重	Ea	O
质	Bn	O
量	En	O
问	Bn	O
题	En	O
。	Sw	O

8	Sm	O
月	Sm	O
3	Bm	O
0	Em	O
日	Sm	O
，	Sw	O
在	Sp	O
中	Bj	O
小	Mj	O
学	Ej	O
开	Bn	O
学	En	O
之	Bf	O
际	Ef	O
，	Sw	O
广	Bns	O
东	Mns	O
省	Ens	O
质	Bnt	O
量	Mnt	O
技	Mnt	O
术	Mnt	O
监	Mnt	O
督	Mnt	O
局	Ent	O
举	Bv	O
行	Ev	O
新	Bn	O
闻	En	O
发	Bn	O
布	Mn	O
会	En	O
，	Sw	O
公	Bv	O
布	Ev	O
了	Sul	O
2	Bm	O
0	Mm	O
1	Mm	O
6	Em	O
年	Sm	O
三	Bmq	O
季	Mmq	O
度	Emq	O
校	Bn	O
服	En	O
产	Bn	O
品	Mn	O
质	Mn	O
量	En	O
抽	Bv	O
查	Ev	O
结	Bn	O
果	En	O
。	Sw	O

8	Sm	O
月	Sm	O
3	Bm	O
0	Em	O
日	Sm	O
，	Sw	O
在	Sp	O
中	Bj	O
小	Mj	O
学	Ej	O
开	Bn	O
学	En	O
之	Bf	O
际	Ef	O
，	Sw	O
广	Bns	O
东	Mns	O
省	Ens	O
质	Bnt	O
量	Mnt	O
技	Mnt	O
术	Mnt	O
监	Mnt	O
督	Mnt	O
局	Ent	O
举	Bv	O
行	Ev	O
新	Bn	O
闻	En	O
发	Bn	O
布	Mn	O
会	En	O
，	Sw	O
公	Bv	O
布	Ev	O
了	Sul	O
2	Bm	O
0	Mm	O
1	Mm	O
6	Em	O
年	Sm	O
三	Bmq	O
季	Mmq	O
度	Emq	O
校	Bn	O
服	En	O
产	Bn	O
品	Mn	O
质	Mn	O
量	En	O
抽	Bv	O
查	Ev	O
结	Bn	O
果	En	O
。	Sw	O

此	Br	O
次	Er	O
对	Sp	O
2	Bm	O
3	Em	O
个	Sm	O
地	Bn	O
市	En	O
（	Sw	O
区	Sn	O
）	Sw	O
9	Bm	O
3	Em	O
家	Sm	O
企	Bn	O
业	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
3	Bm	O
0	Mm	O
0	Em	O
批	Bd	O
次	Ed	O
的	Suj	O
中	Bj	O
小	Mj	O
学	Mj	O
生	Ej	O
校	Bn	O
服	En	O
产	Bn	O
品	En	O
的	Suj	O
抽	Bv	O
检	Ev	O
中	Sf	O
，	Sw	O
共	Bv	O
有	Ev	O
3	Bm	O
9	Em	O
批	Bd	O
次	Ed	O
产	Bn	O
品	En	O
不	Sd	O
合	Bn	O
格	En	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
发	Bv	O
现	Ev	O
率	Bv	O
为	Ev	O
1	Bm	O
3	Mm	O
.	Mm	O
0	Em	O
%	Sw	O
。	Sw	O

剔	Bv	O
除	Ev	O
2	Bm	O
5	Em	O
批	Bd	O
次	Ed	O
仅	Sd	O
使	Bv	O
用	Ev	O
说	Bv	O
明	Ev	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
，	Sw	O
实	Bn	O
物	En	O
质	Bn	O
量	En	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
发	Bv	O
现	Ev	O
率	Bv	O
为	Ev	O
4	Bm	O
.	Mm	O
7	Em	O
%	Sw	O
。	Sw	O

广	Bns	O
东	Mns	O
省	Ens	O
质	Bj	O
监	Mj	O
局	Ej	O
介	Bv	O
绍	Ev	O
，	Sw	O
今	Bt	O
年	Et	O
，	Sw	O
校	Bn	O
服	En	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
发	Bv	O
现	Ev	O
率	Sv	O
比	Sp	O
前	Sf	O
几	Bm	O
年	Em	O
有	Bn	O
所	En	O
下	Bv	O
降	Ev	O
，	Sw	O
且	Szg	O
产	Bn	O
品	En	O
不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
集	Bv	O
中	Ev	O
在	Sp	O
四	Bm	O
个	Em	O
方	Bn	O
面	En	O
：	Sw	O
纤	Bn	O
维	En	O
成	Bn	O
分	En	O
和	Sc	O
含	Bn	O
量	En	O
、	Sw	O
耐	Snz	O
摩	Bvn	O
擦	Evn	O
色	Sng	O
牢	Bd	O
度	Ed	O
、	Sw	O
耐	Snz	O
光	Bn	O
色	En	O
牢	Bd	O
