江	Bns	B
苏	Mns	I
省	Ens	I
工	Bj	I
商	Mj	I
局	Ej	E
网	Bn	O
售	En	O
儿	Bl	O
童	Ml	O
服	Ml	O
装	El	O
抽	Bv	O
检	Ev	O

2	Bm	O
1	Em	O
个	Sm	O
批	Bd	O
次	Ed	O
不	Sd	O
合	Bn	O
格	En	O
。	Sw	O

￥	Sw	O

1	Bm	O
4	Mm	O
.	Mm	O
5	Mm	O
0	Em	O
元	Sm	O
/	Sw	O
米	Sq	O

￥	Sw	O

2	Bm	O
0	Mm	O
.	Mm	O
2	Mm	O
0	Em	O
元	Sm	O
/	Sw	O
码	Sn	O

￥	Sw	O

1	Bm	O
3	Mm	O
.	Mm	O
1	Mm	O
0	Em	O
元	Sm	O
/	Sw	O
米	Sq	O

￥	Sw	O

5	Bm	O
2	Mm	O
.	Mm	O
0	Mm	O
0	Em	O
元	Sm	O
/	Sw	O
公	Bq	O
斤	Eq	O

￥	Sw	O

面	Bn	O
议	En	O
元	Sm	O
/	Sw	O
件	Szg	O

￥	Sw	O

2	Bm	O
9	Mm	O
.	Mm	O
8	Mm	O
0	Em	O
元	Sm	O
/	Sw	O
米	Sq	O

￥	Sw	O

1	Bm	O
8	Mm	O
.	Mm	O
0	Mm	O
0	Em	O
元	Sm	O
/	Sw	O
米	Sq	O

￥	Sw	O

1	Bm	O
4	Mm	O
.	Mm	O
5	Mm	O
0	Em	O
元	Sm	O
/	Sw	O
米	Sq	O

￥	Sw	O

1	Bm	O
9	Mm	O
.	Mm	O
5	Em	O
元	Sm	O
/	Sw	O
米	Sq	O

