湖	Bns	B
北	Mns	I
省	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E

食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
公	Bn	O
告	En	O
（	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
第	Sm	O
3	Bm	O
8	Em	O
期	Sn	O
）	Sw	O
。	Sw	O

根	Bp	O
据	Ep	O
《	Sw	O
中	Bns	O
华	Mns	O
人	Mns	O
民	Mns	O
共	Mns	O
和	Mns	O
国	Ens	O

食	Bn	O
品	En	O
安	Bnr	O
全	Mnr	O
法	Enr	O
》	Sw	O
规	Bn	O
定	En	O
，	Sw	O
省	Bn	O
局	En	O
近	Bt	O
期	Et	O
组	Bv	O
织	Ev	O

抽	Bv	O
检	Ev	O

饼	Bn	O
干	En	O
、	Sw	O

茶	Bn	O
叶	En	O
及	Sc	O
相	Bv	O
关	Ev	O
制	Bn	O
品	En	O
、	Sw	O

炒	Bv	O
货	Ev	O

食	Bn	O
品	En	O
及	Sc	O

坚	Bn	O
果	En	O
制	Bn	O
品	En	O
、	Sw	O

淀	Bn	O
粉	En	O
及	Sc	O
淀	Bn	O
粉	En	O
制	Bn	O
品	En	O
、	Sw	O

豆	Bn	O
制	Mn	O
品	En	O
、	Sw	O

方	Ba	O
便	Ea	O
食	Bn	O
品	En	O
、	Sw	O

粮	Bn	O
食	En	O
加	Bn	O
工	Mn	O
品	En	O
、	Sw	O

肉	Bn	O
制	Mn	O
品	En	O
、	Sw	O

食	Bn	O
糖	En	O
、	Sw	O

食	Bn	O
用	En	O
农	Bn	O
产	Mn	O
品	En	O
、	Sw	O

蔬	Bn	O
菜	Mn	O
制	Mn	O
品	En	O
、	Sw	O

饮	Bn	O
料	En	O
共	Sn	O
1	Bm	O
2	Em	O
类	Bn	O
食	Mn	O
品	En	O
7	Bm	O
2	Mm	O
5	Em	O
批	Bd	O
次	Ed	O
，	Sw	O

抽	Bv	O
样	Ev	O
检	Bvn	O
验	Evn	O
项	Bn	O
目	En	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
7	Bm	O
1	Mm	O
3	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
1	Bm	O
2	Em	O
批	Bd	O
次	Ed	O
。	Sw	O

检	Bvn	O
测	Evn	O
项	Bn	O
目	En	O
见	Sv	O
附	Bn	O
件	En	O
。	Sw	O

根	Bp	O
据	Ep	O

食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
国	Bn	O
家	Mn	O
标	Mn	O
准	En	O
，	Sw	O
个	Bn	O
别	En	O
项	Bn	O
目	En	O
不	Sd	O
合	Bn	O
格	En	O
，	Sw	O
其	Sr	O
产	Bn	O
品	En	O
即	Sv	O
判	Bv	O
定	Ev	O
为	Sp	O
不	Sv	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
。	Sw	O

具	Bl	O
体	Ml	O
情	Ml	O
况	El	O
公	Bn	O
告	En	O
如	Bt	O
下	Et	O
：	Sw	O

一	Sm	O
、	Sw	O
总	Bn	O
体	En	O
情	Bn	O
况	En	O
。	Sw	O

炒	Bv	O
货	Ev	O
食	Bn	O
品	En	O
及	Sc	O
坚	Bn	O
果	En	O
制	Bn	O
品	En	O
2	Bm	O
4	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
1	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

淀	Bn	O
粉	En	O
及	Sc	O
淀	Bn	O
粉	En	O
制	Bn	O
品	En	O
2	Bm	O
4	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
