连	Bnr	B
云	Mnr	I
港	Enr	I
食	Sv	I
药	Bnt	I
监	Mnt	I
局	Ent	E
抽	Bv	O
检	Ev	O
：	Sw	O
1	Bm	O
8	Em	O
批	Bd	O
次	Ed	O
食	Bn	O
用	En	O
农	Bn	O
产	Mn	O
品	En	O
不	Sd	O
合	Bn	O
格	En	O
。	Sw	O

连	Bns	O
云	Mns	O
港	Mns	O
市	Ens	O
食	Bn	O
品	En	O
药	Bnt	O
品	Mnt	O
监	Mnt	O
督	Mnt	O
管	Mnt	O
理	Mnt	O
局	Ent	O
官	Bn	O
网	En	O
近	Bt	O
日	Et	O
发	Bv	O
布	Ev	O
消	Bn	O
息	En	O
，	Sw	O
该	Br	O
局	Er	O
于	Sp	O
近	Bt	O
期	Et	O
对	Sp	O
连	Bns	O
云	Mns	O
港	Mns	O
市	Ens	O
食	Bn	O
用	En	O
农	Bn	O
产	Mn	O
品	En	O
进	Bv	O
行	Ev	O
了	Sul	O
安	Ban	O
全	Ean	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
。	Sw	O

本	Br	O
次	Er	O
食	Bn	O
用	En	O
农	Bn	O
产	Mn	O
品	En	O
抽	Bv	O
检	Ev	O
涉	Bv	O
及	Ev	O
畜	Bn	O
禽	Mn	O
肉	En	O
及	Sc	O
副	Bn	O
产	Mn	O
品	En	O
、	Sw	O
水	Bn	O
产	Mn	O
品	En	O
、	Sw	O
蔬	Bn	O
菜	En	O
、	Sw	O
水	Bn	O
果	En	O
等	Su	O
4	Sm	O
大	Bn	O
类	En	O
，	Sw	O
共	Sd	O
抽	Bv	O
检	Ev	O
3	Bm	O
1	Mm	O
3	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
合	Bn	O
格	En	O
2	Bm	O
9	Mm	O
5	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
合	Bn	O
格	Mn	O
率	En	O
为	Sp	O
9	Bm	O
4	Mm	O
.	Mm	O
2	Mm	O
5	Em	O
%	Sw	O
。	Sw	O

对	Sp	O
上	Bb	O
述	Eb	O
抽	Bv	O
检	Ev	O
中	Sf	O
发	Bv	O
现	Ev	O
的	Suj	O
不	Sa	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
，	Sw	O
该	Br	O
局	Er	O
已	Sd	O
责	Bv	O
成	Ev	O
相	Bv	O
关	Ev	O
县	Szg	O
(	Sw	O
区	Sn	O
)	Sw	O
局	Sn	O
按	Bp	O
照	Ep	O
国	Bn	O
家	En	O
相	Bv	O
关	Ev	O
规	Bn	O
定	En	O
进	Bv	O
行	Ev	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
。	Sw	O

要	Bv	O
求	Ev	O
相	Bv	O
关	Ev	O
县	Szg	O
(	Sw	O
区	Sn	O
)	Sw	O
局	Sn	O
责	Bn	O
令	En	O
相	Bv	O
关	Ev	O
生	Bvn	O
产	Evn	O
经	Bvn	O
营	Evn	O
企	Bn	O
业	En	O
停	Bv	O
止	Ev	O
生	Bvn	O
产	Evn	O
、	Sw	O
销	Bvn	O
售	Evn	O
和	Sc	O
使	Bv	O
用	Ev	O
不	Sd	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
，	Sw	O
封	Bv	O
存	Ev	O
库	Bn	O
存	En	O
不	Sd	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
。	Sw	O

