四	Bns	B
川	Mns	I
省	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
公	Bn	O
告	En	O
（	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
第	Sm	O
2	Bm	O
3	Em	O
号	Sm	O
）	Sw	O
。	Sw	O

依	Bp	O
据	Ep	O
《	Sw	O
中	Bns	O
华	Mns	O
人	Mns	O
民	Mns	O
共	Mns	O
和	Mns	O
国	Ens	O

食	Bn	O
品	En	O
安	Bnr	O
全	Mnr	O
法	Enr	O
》	Sw	O
有	Bvn	O
关	Evn	O
规	Bn	O
定	En	O
，	Sw	O

近	Bt	O
期	Et	O
我	Sr	O
局	Sn	O
组	Bv	O
织	Ev	O

抽	Bv	O
检	Ev	O

茶	Bn	O
叶	En	O
计	Sn	O
相	Bv	O
关	Ev	O
制	Bn	O
品	En	O
、	Sw	O

水	Bn	O
产	En	O
制	Bn	O
品	En	O
、	Sw	O
水	Sn	O

果	Sng	O
制	Bn	O
品	En	O
、	Sw	O
糖	Bn	O
果	En	O
制	Bn	O
品	En	O
等	Su	O
4	Sm	O
类	Sq	O

食	Bn	O
品	En	O
共	Bv	O
计	Ev	O
1	Bm	O
7	Mm	O
8	Em	O
批	Bd	O
次	Ed	O
样	Bn	O
品	En	O
。	Sw	O

其	Br	O
中	Er	O
，	Sw	O

抽	Bv	O
样	Ev	O
检	Bvn	O
验	Evn	O
项	Bn	O
目	En	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
1	Bm	O
7	Mm	O
6	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
2	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
样	Bn	O
品	En	O
信	Bn	O
息	En	O
详	Ba	O
见	Ea	O
附	Bn	O
件	En	O
。	Sw	O

对	Sp	O
上	Bb	O
述	Eb	O

监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
中	Sf	O
发	Bv	O
现	Ev	O
的	Suj	O
不	Sa	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
，	Sw	O
生	Bn	O
产	Mn	O
经	Mn	O
营	Mn	O
者	En	O
所	Bn	O
在	Mn	O
地	En	O
食	Bn	O
品	Mn	O
药	Mn	O
品	En	O
监	Bn	O
管	Mn	O
部	Mn	O
门	En	O
已	Sd	O
按	Bp	O
照	Ep	O
《	Sw	O
中	Bns	O
华	Mns	O
人	Mns	O
民	Mns	O
共	Mns	O
和	Mns	O
国	Ens	O

食	Bn	O
品	En	O
安	Bnr	O
全	Mnr	O
法	Enr	O
》	Sw	O
、	Sw	O
《	Sw	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
抽	Bv	O
样	Ev	O
检	Bvn	O
验	Evn	O
管	Bvn	O
理	Evn	O
办	Bn	O
法	En	O
》	Sw	O
等	Su	O
规	Bn	O
定	En	O
开	Bv	O
展	Ev	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
，	Sw	O
责	Bn	O
令	En	O
违	Bvn	O
法	Evn	O
生	Bn	O
产	Mn	O
经	Mn	O
营	Mn	O
者	En	O
下	Bv	O
架	Ev	O
、	Sw	O
召	Bv	O
回	Ev	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
，	Sw	O
彻	Bvn	O
查	Evn	O
问	Bn	O
题	En	O
原	Bn	O
因	En	O
并	Sc	O
全	Bn	O
面	En	O
整	Bv	O
改	Ev	O
。	Sw	O

凉	Bns	O
山	Mns	O
州	Ens	O
食	Bn	O
品	Mn	O
药	Mn	O
品	En	O
监	Bn	O
管	Mn	O
部	Mn	O
门	En	O
应	Sv	O
在	Sp	O
1	Bm	O
1	Em	O
月	Sm	O
3	Sm	O
日	Bt	O
前	Et	O
向	Sp	O
省	Sn	O

食	Bn	O
品	En	O
药	Bnt	O
品	Mnt	O
监	Mnt	O
督	Mnt	O
管	Mnt	O
理	Mnt	O
局	Ent	O
报	Bn	O
告	En	O
核	Bvn	O
查	Evn	O
处	Bv	O
置	Ev	O
情	Bn	O
况	En	O
并	Sc	O
向	Sp	O
社	Bn	O
会	En	O
公	Bv	O
布	Ev	O
。	Sw	O

现	Stg	O
将	Sd	O
抽	Bv	O
检	Ev	O
结	Bn	O
果	En	O
予	Bv	O
以	Ev	O
公	Bn	O
告	En	O
，	Sw	O
并	Sc	O
提	Bv	O
示	Ev	O
消	Bn	O
费	Mn	O
者	En	O
，	Sw	O
如	Sv	O
在	Sp	O
市	Bn	O
场	En	O
上	Sf	O
发	Bv	O
现	Ev	O
或	Sc	O
购	Bv	O
买	Ev	O
到	Sv	O
本	Br	O
次	Er	O
公	Bv	O
布	Ev	O
信	Bn	O
息	En	O
中	Sf	O
所	Bv	O
涉	Ev	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
时	Sn	O
，	Sw	O
请	Sv	O
拨	Bv	O
打	Ev	O
食	Bn	O
品	Mn	O
药	Mn	O
品	En	O
监	Bn	O
管	Mn	O
部	Mn	O
门	En	O
投	Bv	O
诉	Ev	O
举	Bl	O
报	Ml	O
电	Ml	O
话	El	O
1	Bm	O
2	Mm	O
3	Mm	O
3	Mm	O
1	Em	O
反	Bv	O
映	Ev	O
。	Sw	O

