潍	Bns	B
坊	Mns	I
市	Ens	I
食	Sv	I
药	Bnt	I
监	Mnt	I
局	Ent	E
：	Sw	O
1	Sw	O
批	Bd	O
次	Ed	O
速	Bn	O
冻	En	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
不	Sd	O
合	Bn	O
格	En	O
。	Sw	O

序	Bn	O
号	En	O

生	Bvn	O
产	Evn	O
企	Bn	O
业	En	O
名	Bn	O
称	En	O

生	Bvn	O
产	Evn	O
地	Bn	O
址	En	O

样	Bn	O
品	En	O
名	Bn	O
称	En	O

规	Bn	O
格	En	O

商	Bn	O
标	En	O

生	Bn	O
产	Mn	O
日	Mn	O
期	En	O

判	Bv	O
定	Ev	O
结	Bn	O
果	En	O

1	Sw	O

昌	Bnr	O
乐	Enr	O
金	Bnr	O
昌	Enr	O
食	Bn	O
品	En	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O

昌	Bns	O
乐	Mns	O
县	Ens	O
宝	Bnr	O
城	Enr	O
街	Bn	O
道	En	O
工	Bn	O
业	Mn	O
园	En	O
路	Sn	O
与	Sp	O
营	Bn	O
丘	En	O
街	Sn	O
交	Bn	O
叉	Mn	O
路	Mn	O
口	En	O
北	Sns	O
1	Bm	O
0	Mm	O
0	Em	O
米	Bnr	O
路	Mnr	O
东	Enr	O

佰	Sm	O
味	Sng	O
骨	Bn	O
肉	En	O
串	Sv	O
（	Sw	O
调	Bvn	O
理	Evn	O
软	Bn	O
骨	En	O
鸡	Bn	O
肉	En	O
串	Sv	O
）	Sw	O

9	Bm	O
5	Mm	O
0	Em	O
g	Seng	O
/	Sw	O
袋	Sq	O

纳	Bnr	O
佰	Mnr	O
味	Enr	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
6	Em	O
-	Sw	O
1	Bm	O
0	Em	O

合	Bn	O
格	En	O

2	Sw	O

昌	Bnr	O
乐	Enr	O
金	Bnr	O
昌	Enr	O
食	Bn	O
品	En	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O

昌	Bns	O
乐	Mns	O
县	Ens	O
宝	Bnr	O
城	Enr	O
街	Bn	O
道	En	O
