武	Bns	B
昌	Mns	I
区	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
公	Bn	O
告	En	O
（	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
第	Bm	O
六	Mm	O
期	Em	O
）	Sw	O
。	Sw	O

附	Bn	O
件	En	O
：	Sw	O

1	Bm	O
.	Em	O
本	Br	O
次	Er	O
检	Bvn	O
验	Evn	O
项	Bn	O
目	En	O

2	Bm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
不	Sd	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
7	Mm	O
2	Mm	O
0	Em	O

3	Bm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
7	Mm	O
2	Mm	O
0	Em	O

附	Bn	O
件	En	O
1	Sw	O

本	Br	O
次	Er	O
检	Bvn	O
验	Evn	O
项	Bn	O
目	En	O

（	Sw	O
一	Sm	O
）	Sw	O
抽	Bv	O
检	Ev	O
依	Bp	O
据	Ep	O

抽	Bv	O
检	Ev	O
依	Bp	O
据	Ep	O
是	Sv	O
《	Sw	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
国	Bn	O
家	Mn	O
标	Mn	O
准	En	O

食	Bn	O
品	En	O
添	Bn	O
加	Mn	O
剂	En	O
使	Bv	O
用	Ev	O
标	Bn	O
准	En	O
》	Sw	O
（	Sw	O
G	Beng	O
B	Meng	O
2	Meng	O
7	Meng	O
6	Meng	O
0	Eeng	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
4	Em	O
）	Sw	O
、	Sw	O
《	Sw	O
动	Bn	O
物	Mn	O
性	En	O
食	Bn	O
品	En	O
中	Sf	O
兽	Bn	O
药	En	O
最	Ba	O
高	Ea	O
残	Bv	O
留	Ev	O
限	Bn	O
量	En	O
》	Sw	O

（	Sw	O
中	Bns	O
华	Mns	O
人	Mns	O
民	Mns	O
共	Mns	O
和	Mns	O
国	Ens	O
农	Bnt	O
业	Mnt	O
部	Ent	O
公	Bn	O
告	En	O
第	Sm	O
2	Bm	O
3	Mm	O
5	Em	O
号	Sm	O
）	Sw	O
、	Sw	O
《	Sw	O
食	Bn	O
品	En	O
中	Sf	O
可	Bv	O
能	Ev	O
违	Bvn	O
法	Evn	O
添	Bv	O
加	Ev	O
的	Suj	O
非	Sh	O
食	Bn	O
用	En	O
物	Bn	O
质	En	O
和	Sc	O
易	Sa	O
滥	Bv	O
用	Ev	O
的	Suj	O
食	Bn	O
品	En	O
添	Bn	O
加	Mn	O
剂	En	O
名	Bn	O
单	En	O
（	Sw	O
第	Bm	O
四	Mm	O
批	Em	O
）	Sw	O
》	Sw	O
（	Sw	O
食	Bn	O
品	En	O
整	Bm	O
顿	Em	O
办	Bn	O
函	En	O
〔	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
0	Em	O
〕	Sw	O
5	Bm	O
0	Em	O
号	Sm	O
）	Sw	O
等	Su	O
标	Bn	O
准	En	O
。	Sw	O

（	Sw	O
二	Sm	O
）	Sw	O
检	Bvn	O
验	Evn	O
项	Bn	O
目	En	O

附	Bn	O
件	En	O
2	Sw	O

附	Bn	O
件	En	O
3	Sw	O

本	Sr	O
阶	Bn	O
段	En	O
抽	Bv	O
检	Ev	O
的	Suj	O
食	Bn	O
品	En	O
主	Bb	O
要	Eb	O
为	Sp	O
食	Bn	O
用	En	O
农	Bn	O
产	Mn	O
品	En	O
，	Sw	O
涉	Bv	O
及	Ev	O
畜	Bn	O
禽	Mn	O
肉	En	O
及	Sc	O
副	Bn	O
产	Mn	O
品	En	O
、	Sw	O
水	Bn	O
果	En	O
、	Sw	O
蔬	Bn	O
菜	En	O
、	Sw	O
水	Bn	O
产	Mn	O
品	En	O
4	Sm	O
类	Sq	O
，	Sw	O
共	Sd	O
抽	Bv	O
取	Ev	O
2	Bm	O
4	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
2	Bm	O
4	Em	O
批	Bd	O
次	Ed	O
合	Bn	O
格	En	O
。	Sw	O

检	Bvn	O
验	Evn	O
依	Bp	O
据	Ep	O
是	Sv	O
G	Beng	O
B	Eeng	O

2	Bm	O
7	Mm	O
6	Mm	O
3	Em	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
4	Em	O

《	Sw	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
国	Bn	O
家	Mn	O
标	Mn	O
准	En	O

食	Bn	O
品	En	O
中	Sf	O
农	Bn	O
药	En	O
最	Ba	O
大	Ea	O
残	Bv	O
留	Ev	O
限	Bn	O
量	En	O
》	Sw	O
、	Sw	O
《	Sw	O
动	Bn	O
物	Mn	O
性	En	O
食	Bn	O
品	En	O
中	Sf	O
兽	Bn	O
药	En	O
最	Ba	O
高	Ea	O
残	Bv	O
留	Ev	O
限	Bn	O
量	En	O
》	Sw	O

（	Sw	O
中	Bns	O
华	Mns	O
人	Mns	O
民	Mns	O
共	Mns	O
和	Mns	O
国	Ens	O
农	Bnt	O
业	Mnt	O
部	Ent	O
公	Bn	O
告	En	O
第	Sm	O
2	Bm	O
3	Mm	O
5	Em	O
号	Sm	O
）	Sw	O
等	Su	O
标	Bn	O
准	En	O
和	Sc	O
指	Bn	O
标	En	O
的	Suj	O
要	Bv	O
求	Ev	O
。	Sw	O

抽	Bv	O
样	Ev	O
编	Bn	O
号	En	O

序	Bn	O
号	En	O

标	Bn	O
称	En	O
生	Bvn	O
产	Evn	O
企	Bn	O
业	En	O
名	Bn	O
称	En	O

标	Bn	O
称	En	O
生	Bvn	O
产	Evn	O
企	Bn	O
业	En	O
地	Bn	O
址	En	O

被	Sp	O
抽	Bv	O
样	Ev	O
单	Bn	O
位	Mn	O
名	Mn	O
称	En	O

被	Sp	O
抽	Bv	O
样	Ev	O
单	Bn	O
位	En	O
所	Bb	O
在	Eb	O
省	Bn	O
份	En	O

食	Bn	O
品	En	O
名	Bn	O
称	En	O

规	Bn	O
格	Mn	O
型	Mn	O
号	En	O

生	Bn	O
产	Mn	O
日	Mn	O
期	En	O
/	Sw	O
批	Bn	O
号	En	O

分	Bn	O
类	En	O

公	Bn	O
告	En	O
号	Sm	O

公	Bn	O
告	En	O
日	Bt	O
期	Et	O

任	Bn	O
务	En	O
来	Bn	O
源	En	O
/	Sw	O
项	Bn	O
目	Mn	O
名	Mn	O
称	En	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O

备	Bv	O
注	Ev	O

N	Beng	O
C	Meng	O
P	Eeng	O

4	Bm	O
2	Mm	O
0	Mm	O
1	Mm	O
0	Mm	O
6	Em	O

1	Bm	O
7	Mm	O
0	Mm	O
7	Em	O

0	Bm	O
0	Mm	O
0	Mm	O
1	Em	O

1	Sw	O

/	Sw	O

/	Sw	O

王	Bnr	O
志	Enr	O

湖	Bns	O
北	Mns	O
省	Ens	O

小	Bn	O
白	Mn	O
菜	En	O

散	Bv	O
装	Ev	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
7	Em	O
-	Sw	O
0	Bm	O
4	Em	O

食	Bn	O
用	En	O
农	Bn	O
产	Mn	O
品	En	O

武	Bns	O
昌	Ens	O
/	Sw	O
区	Bn	O
级	En	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O

湖	Bns	O
北	Mns	O
省	Ens	O
阿	Bnrt	O
克	Enrt	O
瑞	Bnrt	O
德	Enrt	O
检	Bvn	O
验	Evn	O
检	Bvn	O
测	Evn	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O

N	Beng	O
C	Meng	O
