北	Bns	B
京	Ens	I
快	Bn	I
捷	Mn	I
酒	Mn	I
店	En	E
卫	Ban	O
生	Ean	O
抽	Bv	O
检	Ev	O
9	Sm	O
成	Sn	O
合	Bn	O
格	En	O
。	Sw	O

本	Br	O
次	Er	O
专	Bn	O
项	En	O
共	Sd	O
监	Bvn	O
督	Evn	O
检	Bvn	O
查	Evn	O
6	Bm	O
9	Mm	O
1	Em	O
户	Sn	O
，	Sw	O
合	Bn	O
格	En	O
6	Bm	O
3	Mm	O
3	Em	O
户	Sn	O
，	Sw	O
合	Bn	O
格	Mn	O
率	En	O
9	Bm	O
1	Mm	O
.	Mm	O
6	Mm	O
1	Em	O
%	Sw	O

抽	Bv	O
检	Ev	O
公	Bb	O
共	Eb	O
用	Bn	O
品	En	O
消	Bvn	O
毒	Evn	O
1	Bm	O
5	Mm	O
4	Em	O
家	Sm	O
，	Sw	O
合	Bn	O
格	En	O
1	Bm	O
4	Mm	O
9	Em	O
家	Sm	O
，	Sw	O
合	Bn	O
格	Mn	O
率	En	O
9	Bm	O
6	Mm	O
.	Mm	O
7	Mm	O
5	Em	O
%	Sw	O

今	Bnr	O
年	Mnr	O
夏	Mnr	O
天	Enr	O
本	Bn	O
市	En	O
开	Bv	O
展	Ev	O
了	Sul	O
快	Bn	O
捷	Mn	O
酒	Mn	O
店	En	O
专	Bn	O
项	En	O
监	Bvn	O
督	Evn	O
检	Bvn	O
查	Evn	O
，	Sw	O
昨	Bt	O
日	Et	O
，	Sw	O
包	Bv	O
括	Ev	O
速	Sn	O
8	Sm	O
、	Sw	O
格	Bnr	O
林	Mnr	O
豪	Enr	O
泰	Sns	O
、	Sw	O
七	Bt	O
天	Et	O
等	Su	O
知	Bv	O
名	Ev	O
连	Bvn	O
锁	Evn	O
酒	Bn	O
店	En	O
在	Bu	O
内	Eu	O
的	Suj	O
3	Bm	O
5	Em	O
家	Sm	O
酒	Bn	O
店	En	O
被	Sp	O
公	Bad	O
开	Ead	O
查	Bv	O
处	Ev	O
。	Sw	O

据	Sp	O
市	Sn	O
卫	Ban	O
生	Ean	O
监	Bvn	O
督	Evn	O
所	Sc	O
相	Bv	O
关	Ev	O
负	Bn	O
责	Mn	O
人	En	O
介	Bv	O
绍	Ev	O
，	Sw	O
此	Br	O
次	Er	O
专	Bn	O
项	En	O
重	Bn	O
点	En	O
检	Bvn	O
查	Evn	O
棉	Bn	O
织	Mn	O
品	En	O
外	Sf	O
送	Sv	O
清	Bv	O
洗	Ev	O
是	Bv	O
否	Ev	O
做	Bv	O
好	Ev	O
物	Bn	O
品	En	O
送	Bv	O
洗	Ev	O
与	Sp	O
接	Bv	O
收	Ev	O
记	Bn	O
录	En	O
；	Sw	O

预	Bv	O
防	Ev	O
控	Bv	O
制	Ev	O
鼠	Sn	O
、	Sw	O
蚊	Sn	O
、	Sw	O
蝇	Sng	O
、	Sw	O
蟑	Bn	O
螂	En	O
和	Sc	O
其	Br	O
他	Er	O
病	Bn	O
媒	En	O
微	Bl	O
生	Ml	O
物	El	O
的	Suj	O
设	Bn	O
施	En	O
设	Bvn	O
备	Evn	O
以	Bc	O
及	Ec	O
废	Bn	O
弃	Mn	O
物	En	O
存	Bv	O
放	Ev	O
专	Bn	O
用	En	O
设	Bn	O
施	En	O
设	Bvn	O
备	Evn	O
情	Bn	O
况	En	O
。	Sw	O

另	Bc	O
外	Ec	O
，	Sw	O
还	Sd	O
检	Bvn	O
查	Evn	O
了	Sul	O
酒	Bn	O
店	En	O
工	Bn	O
作	Mn	O
人	Mn	O
员	En	O
卫	Ban	O
生	Ean	O
