江	Bns	B
苏	Mns	I
省	Ens	I
食	Sv	I
药	Bnt	I
监	Mnt	I
局	Ent	E
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
第	Bl	O
一	Ml	O
季	Ml	O
度	El	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
情	Bn	O
况	En	O
公	Bn	O
告	En	O
。	Sw	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
第	Bl	O
一	Ml	O
季	Ml	O
度	El	O
省	Bb	O
级	Eb	O

食	Bl	O
品	Ml	O
安	Ml	O
全	El	O

监	Bvn	O
督	Evn	O

抽	Bv	O
检	Ev	O
的	Suj	O
产	Bn	O
品	En	O
主	Bb	O
要	Eb	O
为	Sp	O

肉	Bn	O
制	Mn	O
品	En	O
、	Sw	O

食	Bn	O
用	Mn	O
油	En	O
、	Sw	O

油	Bn	O
脂	En	O
及	Bc	O
其	Ec	O
制	Bn	O
品	En	O
、	Sw	O

饮	Bn	O
料	En	O
、	Sw	O
水	Sn	O

果	Sng	O
制	Bn	O
品	En	O
、	Sw	O

炒	Bv	O
货	Ev	O

食	Bn	O
品	En	O
及	Sc	O

坚	Bn	O
果	En	O
制	Bn	O
品	En	O
、	Sw	O

酒	Bn	O
类	En	O
、	Sw	O

调	Bn	O
味	Mn	O
品	En	O
七	Sm	O
大	Bn	O
类	En	O
，	Sw	O
共	Bv	O
计	Ev	O
5	Bm	O
0	Mm	O
0	Em	O
批	Bd	O
次	Ed	O
。	Sw	O

其	Br	O
中	Er	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
为	Sp	O
1	Bm	O
9	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
合	Bn	O
格	Mn	O
率	En	O
为	Sp	O
9	Bm	O
6	Mm	O
.	Mm	O
2	Em	O
%	Sw	O
。	Sw	O

不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
中	Sf	O
，	Sw	O
炒	Bv	O
货	Ev	O
食	Bn	O
品	En	O
及	Sc	O
坚	Bn	O
果	En	O
制	Bn	O
品	En	O
1	Bm	O
2	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
肉	Bn	O
制	Mn	O
品	En	O
4	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O

白	Bn	O
酒	En	O
2	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
食	Bn	O
用	Mn	O
油	En	O
、	Sw	O
油	Bn	O
脂	En	O
及	Bc	O
其	Ec	O
制	Bn	O
品	En	O
1	Sw	O
批	Bd	O
次	Ed	O
；	Sw	O

不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
主	Bb	O
要	Eb	O
为	Sp	O

过	Bn	O
氧	Mn	O
化	En	O
值	Sn	O
、	Sw	O

酸	Bn	O
价	En	O
和	Sc	O

菌	Bn	O
落	En	O
总	Bn	O
数	En	O
等	Su	O
。	Sw	O

一	Sm	O
、	Sw	O
产	Bn	O
品	Mn	O
品	Mn	O
种	En	O
及	Sc	O
不	Sd	O
合	Bn	O
格	En	O
项	Sn	O

1	Sw	O
、	Sw	O
炒	Bv	O
货	Ev	O
食	Bn	O
品	En	O
及	Sc	O
坚	Bn	O
果	En	O
制	Bn	O
品	En	O

炒	Bv	O
货	Ev	O
食	Bn	O
品	En	O
及	Sc	O
坚	Bn	O
果	En	O
制	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
1	Bm	O
0	Mm	O
0	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
1	Bm	O
2	Em	O
批	Bd	O
次	Ed	O
。	Sw	O

不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
为	Sp	O
过	Bn	O
氧	Mn	O
化	En	O
值	Sn	O
5	Sm	O
批	Bd	O
次	Ed	O
，	Sw	O
酸	Bn	O
价	En	O
3	Sm	O
批	Bd	O
次	Ed	O
，	Sw	O
滑	Bnr	O
石	Mnr	O
粉	Enr	O
2	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
二	Bnz	O
氧	Mnz	O
化	Mnz	O
硫	Enz	O
残	Bn	O
留	Mn	O
量	En	O
1	Sw	O
批	Bd	O
次	Ed	O
，	Sw	O
环	Bnz	O
己	Mnz	O
基	Enz	O
