曝	Bnz	O
光	Enz	O
丨	Szg	O
国	Bn	O
家	En	O
食	Bn	O
药	Mn	O
监	En	O
总	Bn	O
局	En	O
公	Bv	O
布	Ev	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
，	Sw	O
威	Sns	O
海	Bnr	O
百	Mnr	O
合	Enr	O
生	Bn	O
物	En	O
技	Bn	O
术	En	O
股	Bn	O
份	En	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O
上	Bns	O
黑	Ens	O
榜	Sn	O
。	Sw	O

（	Sw	O
一	Sm	O
）	Sw	O
天	Bn	O
猫	En	O
宫	Bnr	O
诺	Enr	O
旗	Bv	O
舰	Mv	O
店	Ev	O
在	Sp	O
天	Bn	B
猫	En	I
（	Sw	I
网	Bn	I
站	En	I
）	Sw	I
商	Bns	I
城	Ens	E
销	Bvn	O
售	Evn	O
的	Suj	O
标	Bn	O
称	En	O
威	Sns	B
海	Bnr	I
百	Mnr	I
合	Enr	I
生	Bn	I
物	En	I
技	Bn	I
术	En	I
股	Bn	I
份	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
壳	Bn	O
聚	Mn	O
糖	En	O
牡	Bn	O
蛎	En	O
片	Sq	O
，	Sw	O
大	Bn	O
肠	Mn	O
菌	Mn	O
群	En	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
2	Bm	O
.	Mm	O
3	Em	O
M	Beng	O
P	Meng	O
N	Eeng	O
/	Sw	O
g	Sw	O
，	Sw	O
比	Sp	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
（	Sw	O
不	Sd	O
超	Bv	O
过	Ev	O
0	Bm	O
.	Mm	O
9	Mm	O
2	Em	O
M	Beng	O
P	Meng	O
N	Eeng	O
/	Sw	O
g	Sw	O
）	Sw	O
高	Bv	O
出	Ev	O
1	Bm	O
.	Mm	O
5	Em	O
倍	Sm	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
山	Bns	O
东	Mns	O
省	Ens	O
食	Bn	O
品	Mn	O
药	Mn	O
品	En	O
检	Bvn	O
验	Evn	O
研	Bn	O
究	Mn	O
院	En	O
。	Sw	O

（	Sw	O
二	Sm	O
）	Sw	O
天	Bn	O
猫	En	O
美	Bns	O
特	Ens	O
食	Bn	O
品	En	O
专	Bn	O
营	Mn	O
店	En	O
在	Sp	O
天	Bn	B
猫	En	I
（	Sw	I
网	Bn	I
站	En	I
）	Sw	I
商	Bns	I
城	Ens	E
销	Bvn	O
售	Evn	O
的	Suj	O
标	Bn	O
称	En	O
北	Bns	B
京	Ens	I
瑞	Bnrt	I
德	Enrt	I
梦	Sn	I
科	Bn	I
贸	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
瑞	Bnrt	O
德	Enrt	O
梦	Sn	O
减	Bn	O
肥	Mn	O
茶	En	O
，	Sw	O
大	Bn	O
肠	Mn	O
菌	Mn	O
群	En	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
大	Bd	O
于	Ed	O
1	Bm	O
1	Mm	O
0	Em	O
M	Beng	O
P	Meng	O
N	Eeng	O
/	Sw	O
g	Sw	O
，	Sw	O
比	Sp	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
（	Sw	O
不	Sd	O
超	Bv	O
过	Ev	O
0	Bm	O
.	Mm	O
9	Mm	O
2	Em	O
M	Beng	O
P	Meng	O
N	Eeng	O
/	Sw	O
g	Sw	O
）	Sw	O
高	Bv	O
出	Ev	O
1	Bm	O
1	Mm	O
8	Mm	O
.	Mm	O
6	Em	O
倍	Sm	O
多	Sm	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
四	Bns	O
川	Mns	O
省	Ens	O
食	Bn	O
品	Mn	O
药	Mn	O
品	En	O
检	Bvn	O
验	Evn	O
检	Bvn	O
测	Evn	O
院	Sn	O
。	Sw	O

（	Sw	O
三	Sm	O
）	Sw	O
杭	Bns	B
州	Ens	I
海	Bnr	I
王	Mnr	I
星	Mnr	I
辰	Enr	I
健	Ba	I
康	Ea	I
药	Bn	I
房	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	I
滨	Bns	I
盛	Mns	I
路	Mns	I
店	Ens	E
销	Bvn	O
售	Evn	O
的	Suj	O
标	Bn	O
称	En	O
杭	Bns	O
州	Ens	O
海	Bnrt	O
王	Enrt	O
生	Bl	O
物	Ml	O
工	Ml	O
程	El	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O
委	Bn	O
托	En	O
江	Bns	O
苏	Ens	O
海	Bnrt	O
王	Enrt	O
健	Ba	O
康	Ea	O
生	Bn	O
物	Mn	O
科	Mn	O
技	En	O
有	Bn	O
限	Mn	O
公	Mn	O
司	En	O
生	Bvn	O
产	Evn	O
的	Suj	O
海	Sn	O
王	Bn	O
牌	En	O
钙	Bv	O
加	Ev	O
维	Sv	O
D	Seng	O
咀	Bz	O
嚼	Mz	O
片	Ez	O
，	Sw	O
大	Bn	O
肠	Mn	O
菌	Mn	O
群	En	O
检	Bv	O
出	Ev	O
值	Bv	O
为	Ev	O
2	Bm	O
.	Mm	O
3	Em	O
M	Beng	O
P	Meng	O
N	Eeng	O
/	Sw	O
g	Sw	O
，	Sw	O
比	Sp	O
标	Bl	O
准	Ml	O
规	Ml	O
定	El	O
（	Sw	O
不	Sd	O
超	Bv	O
过	Ev	O
0	Bm	O
.	Mm	O
9	Mm	O
2	Em	O
M	Beng	O
P	Meng	O
N	Eeng	O
/	Sw	O
g	Sw	O
）	Sw	O
高	Bv	O
出	Ev	O
1	Bm	O
.	Mm	O
5	Em	O
倍	Sm	O
。	Sw	O

检	Bvn	O
验	Evn	O
机	Bn	O
构	En	O
为	Sp	O
浙	Bns	B
江	Mns	I
省	Ens	I
食	Bn	I
品	Mn	I
药	Mn	I
品	En	I
检	Bvn	I
验	Evn	I
研	Bn	I
究	Mn	I
院	En	E
。	Sw	O

