新	Bns	B
疆	Mns	I
维	Mns	I
吾	Mns	I
尔	Mns	I
自	Mns	I
治	Mns	I
区	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E
关	Bp	O
于	Ep	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
第	Bmq	O
二	Mmq	O
季	Mmq	O
度	Emq	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
情	Bn	O
况	En	O
分	Bvn	O
析	Evn	O
的	Suj	O
通	Bn	O
告	En	O
。	Sw	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
第	Bmq	O
二	Mmq	O
季	Mmq	O
度	Emq	O
，	Sw	O
自	Bn	O
治	Mn	O
区	En	O

食	Bn	O
品	En	O
药	Bnt	O
品	Mnt	O
监	Mnt	O
督	Mnt	O
管	Mnt	O
理	Mnt	O
局	Ent	O
完	Bv	O
成	Ev	O
并	Sc	O
公	Bv	O
布	Ev	O
2	Bm	O
2	Mm	O
9	Mm	O
0	Em	O
批	Bd	O
次	Ed	O

食	Bn	O
品	En	O
样	Bn	O
品	En	O
的	Suj	O

监	Bvn	O
督	Evn	O

抽	Bv	O
检	Ev	O
并	Sc	O
公	Bv	O
布	Ev	O
抽	Bv	O
检	Ev	O
结	Bn	O
果	En	O
，	Sw	O
检	Bvn	O
验	Evn	O
项	Bn	O
目	En	O
合	Bn	O
格	En	O
的	Suj	O
样	Bn	O
品	En	O
2	Bm	O
2	Mm	O
1	Mm	O
6	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
7	Bm	O
4	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
样	Bn	O
品	En	O
总	Bn	O
体	En	O
合	Bn	O
格	Mn	O
率	En	O
为	Sp	O
9	Bm	O
6	Mm	O
.	Mm	O
8	Em	O
%	Sw	O
。	Sw	O

各	Br	O
类	Er	O
食	Bn	O
品	En	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
结	Bn	O
果	En	O
见	Sv	O
附	Bn	O
件	En	O
。	Sw	O

从	Sp	O
抽	Bv	O
检	Ev	O
发	Bv	O
现	Ev	O
的	Suj	O
问	Bn	O
题	En	O
来	Bu	O
看	Eu	O
，	Sw	O
一	Sm	O
是	Sv	O
品	Bn	O
质	En	O
指	Bn	O
标	En	O
不	Sd	O
达	Bv	O
标	Ev	O
，	Sw	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
检	Bv	O
出	Ev	O
总	Bn	O
数	En	O
的	Suj	O
3	Bm	O
3	Mm	O
.	Mm	O
3	Em	O
%	Sw	O
，	Sw	O
主	Bb	O
要	Eb	O
是	Sv	O
食	Bn	O
用	Mn	O
油	En	O
、	Sw	O
调	Bn	O
味	Mn	O
品	En	O
、	Sw	O
酒	Bn	O
类	En	O
、	Sw	O
糕	Bn	O
点	En	O
、	Sw	O
饮	Bn	O
料	En	O
等	Su	O
类	Bn	O
别	En	O
中	Sf	O
蛋	Bn	O
白	Mn	O
质	En	O
、	Sw	O
过	Bn	O
氧	Mn	O
化	En	O
值	Sn	O
、	Sw	O
总	Bn	O
酸	En	O
、	Sw	O
酒	Bn	O
精	Mn	O
度	En	O
、	Sw	O
酸	Bn	O
值	En	O
（	Sw	O
价	Sn	O
）	Sw	O
等	Su	O
项	Bn	O
目	En	O
不	Sd	O
合	Bn	O
格	En	O
。	Sw	O

二	Sm	O
是	Sv	O
超	Bn	O
范	Mn	O
围	En	O
、	Sw	O
超	Sv	O
限	Bn	O
量	En	O
使	Bv	O
用	Ev	O
食	Bn	O
品	En	O
添	Bn	O
加	Mn	O
剂	En	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
检	Bv	O
出	Ev	O
总	Bn	O
数	En	O
的	Suj	O
2	Bm	O
5	Mm	O
.	Mm	O
3	Em	O

%	Sw	O
，	Sw	O
主	Bb	O
要	Eb	O
是	Sv	O
肉	Bn	O
制	Mn	O
品	En	O
、	Sw	O
糖	Bn	O
果	En	O
制	Bn	O
品	En	O
、	Sw	O
酒	Bn	O
类	En	O
、	Sw	O
餐	Bn	O
饮	En	O
食	Bn	O
品	En	O
等	Su	O
类	Bn	O
别	En	O
中	Sf	O
苯	Bnz	O
甲	Mnz	O
酸	Enz	O
、	Sw	O
山	Bnz	O
梨	Mnz	O
酸	Enz	O
、	Sw	O
甜	Ba	O
蜜	Ea	O
素	Sn	O
、	Sw	O
日	Bz	O
落	Mz	O
黄	Ez	O
、	Sw	O
亚	Bnz	O
硝	Mnz	O
酸	Mnz	O
盐	Enz	O
、	Sw	O
铝	Sn	O
的	Suj	O
残	Bn	O
留	Mn	O
量	En	O
等	Su	O
项	Bn	O
目	En	O
不	Sd	O
合	Bn	O
格	En	O
。	Sw	O

三	Sm	O
是	Sv	O
其	Br	O
他	Er	O
污	Bn	O
染	Mn	O
物	En	O
不	Sd	O
合	Bn	O
格	En	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
检	Bv	O
出	Ev	O
总	Bn	O
数	En	O
的	Suj	O
1	Bm	O
8	Mm	O
.	Mm	O
7	Em	O
%	Sw	O
，	Sw	O
主	Bb	O
要	Eb	O
是	Sv	O
食	Bn	O
用	Mn	O
油	En	O
中	Bnz	O
苯	Enz	O
并	Sc	O
[	Sw	O
α	Sw	O
]	Sw	O
芘	Sw	O
、	Sw	O
溶	Bn	O
剂	En	O
残	Bn	O
留	Mn	O
量	En	O
等	Su	O
不	Sd	O
合	Bn	O
格	En	O
。	Sw	O

四	Sm	O
是	Sv	O
微	Bl	O
生	Ml	O
物	El	O
指	Bn	O
标	En	O
不	Sd	O
合	Bn	O
格	En	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
检	Bv	O
出	Ev	O
总	Bn	O
数	En	O
的	Suj	O
1	Bm	O
8	Mm	O
.	Mm	O
7	Em	O
%	Sw	O
，	Sw	O
主	Bb	O
要	Eb	O
是	Sv	O
肉	Bn	O
制	Mn	O
品	En	O
、	Sw	O
乳	Bn	O
制	Mn	O
品	En	O
、	Sw	O
调	Bv	O
味	Mv	O
料	Ev	O
、	Sw	O
饮	Bn	O
料	En	O
、	Sw	O
方	Ba	O
便	Ea	O
食	Bn	O
