山	Bns	B
东	Mns	I
省	Ens	I
食	Sv	I
药	Bnt	I
监	Mnt	I
局	Ent	E
发	Bv	O
布	Ev	O
最	Bd	O
新	Ed	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
。	Sw	O

时	Bn	O
间	En	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
8	Em	O
-	Sw	O
0	Bm	O
2	Em	O

时	Bn	O
间	En	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
7	Em	O
-	Sw	O
2	Bm	O
8	Em	O

时	Bn	O
间	En	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
7	Em	O
-	Sw	O
2	Bm	O
3	Em	O

时	Bn	O
间	En	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
7	Em	O
-	Sw	O
2	Bm	O
2	Em	O

时	Bn	O
间	En	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
7	Em	O
-	Sw	O
0	Bm	O
8	Em	O

时	Bn	O
间	En	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
7	Em	O
-	Sw	O
0	Bm	O
8	Em	O

时	Bn	O
间	En	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
7	Em	O
-	Sw	O
0	Bm	O
8	Em	O

时	Bn	O
间	En	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
7	Em	O
-	Sw	O
0	Bm	O
8	Em	O

时	Bn	O
间	En	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
7	Em	O
-	Sw	O
0	Bm	O
8	Em	O

时	Bn	O
间	En	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
7	Em	O
-	Sw	O
0	Bm	O
8	Em	O

时	Bn	O
间	En	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
7	Em	O
-	Sw	O
0	Bm	O
8	Em	O

时	Bn	O
间	En	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
7	Em	O
-	Sw	O
0	Bm	O
8	Em	O

时	Bn	O
间	En	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
7	Em	O
-	Sw	O
0	Bm	O
8	Em	O

时	Bn	O
间	En	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
7	Em	O
-	Sw	O
0	Bm	O
8	Em	O

时	Bn	O
间	En	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
-	Sw	O
0	Bm	O
7	Em	O
-	Sw	O
0	Bm	O
8	Em	O

