湖	Bns	B
北	Mns	I
省	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E
关	Bp	O
于	Ep	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
第	Bmq	O
二	Mmq	O
季	Mmq	O
度	Emq	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
情	Bn	O
况	En	O
分	Bvn	O
析	Evn	O
的	Suj	O
公	Bn	O
告	En	O
。	Sw	O

一	Sm	O
、	Sw	O
总	Bn	O
体	En	O
情	Bn	O
况	En	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
第	Bmq	O
二	Mmq	O
季	Mmq	O
度	Emq	O
，	Sw	O
我	Br	O
省	Er	O
共	Sd	O
完	Bv	O
成	Ev	O
并	Sc	O
公	Bn	O
告	En	O
3	Bm	O
3	Em	O
大	Bn	O
类	En	O
2	Bm	O
1	Mm	O
7	Mm	O
6	Mm	O
6	Em	O
批	Bd	O
次	Ed	O
食	Bn	O
品	En	O
样	Bn	O
品	En	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
，	Sw	O
检	Bvn	O
验	Evn	O
项	Bn	O
目	En	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
2	Bm	O
1	Mm	O
3	Mm	O
2	Mm	O
8	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
4	Bm	O
3	Mm	O
8	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
总	Bn	O
体	En	O
发	Bv	O
现	Ev	O
样	Bn	O
品	En	O
不	Bn	O
合	Mn	O
格	Mn	O
率	En	O
为	Sp	O
2	Bm	O
.	Mm	O
0	Mm	O
1	Em	O
%	Sw	O
。	Sw	O

（	Sw	O
各	Br	O
类	Er	O
食	Bn	O
品	En	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
结	Bn	O
果	En	O
见	Sv	O
附	Bn	O
件	En	O
）	Sw	O
。	Sw	O

二	Sm	O
、	Sw	O
食	Bn	O
品	En	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
发	Bv	O
现	Ev	O
的	Suj	O
主	Bb	O
要	Eb	O
问	Bn	O
题	En	O

（	Sw	O
一	Sm	O
）	Sw	O
超	Bn	O
范	Mn	O
围	En	O
、	Sw	O
超	Sv	O
限	Bn	O
量	En	O
使	Bv	O
用	Ev	O
食	Bn	O
品	En	O
添	Bn	O
加	Mn	O
剂	En	O

食	Bn	O
品	En	O
中	Sf	O
超	Bn	O
范	Mn	O
围	En	O
、	Sw	O
超	Sv	O
限	Bn	O
量	En	O
使	Bv	O
用	Ev	O
食	Bn	O
品	En	O
添	Bn	O
加	Mn	O
剂	En	O
问	Bn	O
题	En	O
有	Sv	O
2	Bm	O
1	Mm	O
4	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
占	Sv	O
不	Sd	O
合	Bn	O
格	En	O
总	Bn	O
数	En	O
的	Suj	O
4	Bm	O
9	Em	O
%	Sw	O
。	Sw	O

问	Bn	O
题	En	O
较	Bd	O
为	Ed	O
突	Bv	O
出	Ev	O
的	Suj	O
是	Sv	O
甜	Bn	O
味	Mn	O
剂	En	O
（	Sw	O
甜	Ba	O
蜜	Ea	O
素	Sn	O
、	Sw	O
糖	Bnz	O
精	Mnz	O
钠	Enz	O
、	Sw	O
安	Bnr	O
赛	Mnr	O
蜜	Enr	O
）	Sw	O
、	Sw	O
防	Bnz	O
腐	Mnz	O
剂	Enz	O
（	Sw	O
脱	Bv	O
氢	Ev	O
乙	Bn	O
酸	En	O
、	Sw	O
二	Bnz	O
氧	Mnz	O
化	Mnz	O
