山	Bns	B
东	Mns	I
省	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E
关	Bp	O
于	Ep	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
上	Bt	O
半	Mt	O
年	Et	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
情	Bn	O
况	En	O
的	Suj	O
通	Bn	O
告	En	O
（	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
4	Bm	O
4	Em	O
号	Sm	O
）	Sw	O
。	Sw	O

按	Bp	O
照	Ep	O
《	Sw	O

食	Bn	O
品	Mn	O
药	Mn	O
品	En	O

监	Bvn	O
管	Evn	O
总	Bn	O
局	En	O
关	Bp	O
于	Ep	O
做	Bv	O
好	Ev	O
食	Bn	O
品	En	O

抽	Bv	O
检	Ev	O
及	Sc	O
信	Bn	O
息	En	O
发	Bv	O
布	Ev	O
工	Bvn	O
作	Evn	O
的	Suj	O
意	Bn	O
见	En	O
》	Sw	O
的	Suj	O
要	Bv	O
求	Ev	O
，	Sw	O
省	Bn	O
局	En	O
对	Sp	O
各	Br	O
市	Er	O
食	Bn	O
品	Mn	O
药	Mn	O
品	En	O

监	Bvn	O
督	Evn	O

管	Bvn	O
理	Evn	O
部	Bn	O
门	En	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
报	Bn	O
告	En	O
情	Bn	O
况	En	O
进	Bv	O
行	Ev	O
了	Sul	O
汇	Bn	O
总	En	O
分	Bvn	O
析	Evn	O
。	Sw	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
上	Bt	O
半	Mt	O
年	Et	O
全	Bn	O
省	En	O
共	Sd	O
抽	Bv	O
检	Ev	O
各	Br	O
类	Er	O
食	Bn	O
品	En	O
（	Sw	O
含	Sv	O

保	Bn	O
健	Mn	O
食	Mn	O
品	En	O
和	Sc	O

食	Bn	O
品	En	O
添	Bn	O
加	Mn	O
剂	En	O
）	Sw	O
样	Bn	O
品	En	O
9	Bm	O
2	Mm	O
1	Mm	O
7	Mm	O
2	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
其	Br	O
中	Er	O
检	Bvn	O
验	Evn	O
项	Bn	O
目	En	O
合	Bn	O
格	En	O
的	Suj	O
样	Bn	O
品	En	O
8	Bm	O
9	Mm	O
3	Mm	O
5	Mm	O
0	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
2	Bm	O
8	Mm	O
2	Mm	O
2	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
样	Bn	O
品	En	O
合	Bn	O
格	Mn	O
率	En	O
为	Sp	O
9	Bm	O
6	Mm	O
.	Mm	O
9	Mm	O
4	Em	O
%	Sw	O
。	Sw	O

各	Br	O
级	Er	O
食	Bn	O
品	Mn	O
药	Mn	O
品	En	O
监	Bn	O
管	Mn	O
部	Mn	O
门	En	O
已	Sd	O
对	Sp	O
具	Ba	O
体	Ea	O
品	Bn	O
种	En	O
抽	Bv	O
检	Ev	O
结	Bn	O
果	En	O
进	Bv	O
行	Ev	O
了	Sul	O
公	Bv	O
布	Ev	O
，	Sw	O
现	Stg	O
将	Sd	O
有	Bvn	O
关	Evn	O
数	Bn	O
据	En	O
汇	Bn	O
总	En	O
如	Bt	O
下	Et	O
。	Sw	O

在	Sp	O
各	Br	O
类	Er	O
食	Bn	O
品	En	O
样	Bn	O
品	En	O
中	Sf	O
，	Sw	O
日	Bd	O
常	Ed	O
消	Bn	O
费	Mn	O
量	En	O
较	Ba	O
大	Ea	O
的	Suj	O
食	Bn	O
品	En	O
种	Bn	O
类	En	O
抽	Bv	O
检	Ev	O
情	Bn	O
况	En	O
为	Sp	O
：	Sw	O
食	Bn	O
用	En	O
农	Bn	O
产	Mn	O
品	En	O
抽	Bv	O
检	Ev	O
3	Bm	O
3	Mm	O
2	Mm	O
3	Mm	O
2	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
8	Bm	O
3	Mm	O
4	Em	O
