这	Sr	O
1	Bm	O
1	Em	O
批	Bd	O
次	Ed	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
不	Sd	O
合	Bn	O
格	En	O
酱	Bn	O
油	En	O
食	Bn	O
醋	En	O
味	Bn	O
精	En	O
白	Bn	O
砂	Mn	O
糖	En	O
上	Bv	O
榜	Ev	O
。	Sw	O

西	Bf	O
部	Ef	O
商	Bnt	O
报	Mnt	O
讯	Ent	O

（	Sw	O
首	Bn	O
席	Mn	O
记	Mn	O
者	En	O

金	Bnr	O
奉	Mnr	O
乾	Enr	O
）	Sw	O

9	Sm	O
月	Sm	O
1	Sm	O
日	Sm	O
，	Sw	O
甘	Bns	O
肃	Mns	O
省	Ens	O
食	Sv	O
药	Bnt	O
监	Mnt	O
局	Ent	O
发	Bv	O
布	Ev	O
了	Sul	O
今	Bt	O
年	Et	O
第	Sm	O
2	Bm	O
3	Em	O
期	Sn	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
通	Bn	O
告	En	O
。	Sw	O

近	Bt	O
期	Et	O
甘	Bns	B
肃	Mns	I
省	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E
共	Sd	O
组	Bv	O
织	Ev	O
抽	Bv	O
检	Ev	O
食	Bn	O
品	En	O
2	Bm	O
1	Mm	O
9	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
1	Bm	O
1	Em	O
批	Bd	O
次	Ed	O
。	Sw	O

不	Sd	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
涉	Bv	O
及	Ev	O
酱	Bn	O
油	En	O
、	Sw	O
食	Bn	O
醋	En	O
、	Sw	O
味	Bn	O
精	En	O
、	Sw	O
白	Bn	O
砂	Mn	O
糖	En	O
和	Sc	O
油	Bn	O
桃	En	O
。	Sw	O

省	Bn	O
食	En	O
药	Bnt	O
监	Mnt	O
局	Ent	O
要	Bv	O
求	Ev	O
，	Sw	O
对	Sp	O
上	Bb	O
述	Eb	O
抽	Bv	O
检	Ev	O
中	Sf	O
发	Bv	O
现	Ev	O
的	Suj	O
不	Sa	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
，	Sw	O
生	Bvn	O
产	Evn	O
企	Bn	O
业	En	O
所	Bn	O
在	Mn	O
地	En	O
武	Bns	O
威	Mns	O
市	Ens	O
、	Sw	O
金	Bns	O
昌	Mns	O
市	Ens	O
、	Sw	O
白	Bns	O
银	Mns	O
市	Ens	O
、	Sw	O
兰	Bns	O
州	Mns	O
市	Ens	O
、	Sw	O
平	Bns	O
凉	Mns	O
市	Ens	O
、	Sw	O
庆	Bns	O
阳	Mns	O
市	Ens	O
、	Sw	O
定	Bns	O
西	Mns	O
市	Ens	O
食	Bn	O
品	Mn	O
药	Mn	O
品	En	O
监	Bn	O
管	Mn	O
部	Mn	O
门	En	O
已	Sd	O
责	Bn	O
令	En	O
企	Bn	O
业	En	O
查	Bnr	O
清	Enr	O
产	Bn	O
品	En	O
流	Bn	O
向	En	O
，	Sw	O
召	Bv	O
回	Ev	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
，	Sw	O
并	Sc	O
分	Bvn	O
析	Evn	O
原	Bn	O
因	En	O
进	Bv	O
行	Ev	O
整	Bv	O
改	Ev	O
；	Sw	O

经	Bvn	O
营	Evn	O
单	Bn	O
位	En	O
所	Bn	O
在	Mn	O
地	En	O
临	Bns	O
夏	Mns	O
州	Ens	O
、	Sw	O
兰	Bns	O
州	Mns	O
市	Ens	O
、	Sw	O
白	Bns	O
银	Mns	O
市	Ens	O
、	Sw	O
酒	Bns	O
泉	Mns	O
市	Ens	O
食	Bn	O
品	Mn	O
药	Mn	O
品	En	O
监	Bn	O
管	Mn	O
部	Mn	O
门	En	O
已	Sd	O
要	Bv	O
求	Ev	O
有	Bvn	O
关	Evn	O
单	Bn	O
位	En	O
立	Bd	O
即	Ed	O
采	Bv	O
取	Ev	O
下	Bn	O
架	En	O
等	Su	O
措	Bn	O
施	En	O
，	Sw	O
控	Bv	O
制	Ev	O
风	Bn	O
险	En	O
，	Sw	O
并	Sc	O
依	Bn	O
法	En	O
予	Bv	O
以	Ev	O
查	Bv	O
处	Ev	O
。	Sw	O

不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
为	Sp	O
：	Sw	O
苯	Bnz	O
甲	Mnz	O
酸	Enz	O
及	Bc	O
其	Ec	O
钠	Bnz	O
盐	Enz	O
、	Sw	O
谷	Bnz	O
氨	Mnz	O
酸	Mnz	O
钠	Enz	O
、	Sw	O
菌	Bn	O
落	En	O
总	Bn	O
数	En	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O
。	Sw	O

不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
为	Sp	O
：	Sw	O
标	Bn	O
称	En	O
甘	Bns	B
肃	Mns	I
省	Ens	I
润	Bns	I
平	Ens	I
食	Bn	I
品	En	I
有	Bl	I
限	Ml	I
责	Ml	I
任	El	I
公	Bn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
黄	Bn	O
豆	En	O
酱	Bn	O
油	En	O
；	Sw	O

庆	Bns	O
城	Mns	O
县	Ens	O
百	Sm	B
惠	Bnr	I
杰	Enr	I
购	Bn	I
物	Mn	I
广	Mn	I
场	En	E
销	Bvn	O
售	Evn	O
的	Suj	O
标	Bn	O
称	En	O
庆	Bns	B
阳	Ens	I
食	Bn	I
泉	En	I
食	Bn	I
品	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
白	Sn	O
酱	Bn	O
油	En	O
；	Sw	O

标	Bn	O
称	En	O
永	Bns	B
昌	Mns	I
县	Ens	I
香	Bns	I
满	Mns	I
路	Ens	I
食	Bn	I
品	En	I
有	Bl	I
限	Ml	I
责	Ml	I
任	El	I
公	Bn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
香	Sa	O
满	Sa	O
路	Sn	O
五	Bn	O
香	En	O
陈	Snr	O
醋	Sn	O
；	Sw	O

肃	Bns	B
州	Mns	I
区	Ens	I
鑫	Snr	I
凤	Bnr	I
祥	Enr	I
调	Bn	I
味	Mn	I
品	En	I
经	Bn	I
销	Mn	I
部	En	E
销	Bvn	O
售	Evn	O
的	Suj	O
标	Bn	O
称	En	O
兰	Bns	B
州	Ens	I
百	Bn	I
味	En	I
全	Sa	I
清	Ba	I
真	Ea	I
食	Bn	I
品	En	I
有	Bn	I
限	Mn	I
公	Mn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
牛	Sn	O
大	Bm	O
碗	Em	O
鲜	Bn	O
味	En	O
王	Snr	O
（	Sw	O
味	Bn	O
精	En	O
）	Sw	O
；	Sw	O

标	Bn	O
称	En	O
武	Bnr	B
威	Enr	I
绿	Bnr	I
华	Mnr	I
康	Enr	I
食	Bn	I
品	En	I
有	Bl	I
限	Ml	I
责	Ml	I
任	El	I
公	Bn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
小	Bn	O
米	En	O
香	Bnz	O
醋	Enz	O
；	Sw	O

静	Bns	O
宁	Mns	O
县	Ens	O
小	Bn	B
绒	En	I
粮	Bn	I
油	En	I
店	Sn	E
销	Bvn	O
售	Evn	O
的	Suj	O
标	Bn	O
称	En	O
静	Bns	O
宁	Mns	O
县	Ens	O
继	Bv	B
平	Ev	I
醋	Bn	I
厂	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
酿	Bvn	O
造	Evn	O
食	Bn	O
醋	En	O
；	Sw	O

标	Bn	O
称	En	O
靖	Bns	B
远	Mns	I
县	Ens	I
新	Sa	I
荣	Sag	I
面	Bn	I
粉	En	I
食	Bn	I
品	En	I
综	Bvn	I
合	Evn	I
厂	Szg	E
生	Bvn	O
产	Evn	O
的	Suj	O
老	Bi	O
陈	Mi	O
醋	Ei	O
；	Sw	O

标	Bn	O
称	En	O
临	Bns	B
夏	Mns	I
市	Ens	I
雪	Sn	I
牦	Bn	I
牛	En	I
乳	Bn	I
品	En	I
饮	Bn	I
料	En	I
有	Bl	I
限	Ml	I
责	Ml	I
任	El	I
公	Bn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
优	Bn	O
质	En	O
白	Bn	O
砂	Mn	O
糖	En	O
；	Sw	O

武	Bns	B
威	Mns	I
市	Ens	I
天	Bnr	I
健	Enr	I
西	Bf	I
部	Ef	I
仓	Bj	I
储	Ej	I
有	Bl	I
限	Ml	I
责	Ml	I
任	El	I
公	Bn	I
司	En	E
销	Bvn	O
售	Evn	O
的	Suj	O
标	Bn	O
称	En	O
武	Bnr	B
威	Enr	I
华	Bns	I
夏	Ens	I
一	Bm	I
品	Em	I
食	Bn	I
品	En	I
有	Bl	I
限	Ml	I
责	Ml	I
任	El	I
公	Bn	I
司	En	E
生	Bvn	O
产	Evn	O
的	Suj	O
白	Bn	O
砂	Mn	O
糖	En	O
；	Sw	O

北	Bns	B
京	Ens	I
华	Bns	I
联	Ens	I
综	Bvn	I
合	Evn	I
超	Bv	I
市	Ev	I
股	Bn	I
份	En	I
有	Bn	I
