贵	Bns	B
州	Mns	I
省	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E
发	Bv	O
布	Ev	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
第	Sm	O
4	Sm	O
期	Bn	O
食	En	O
药	Sn	O
总	Bn	O
局	En	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
公	Bn	O
告	En	O
。	Sw	O

近	Bt	O
期	Et	O
，	Sw	O
省	Sn	O
食	Bn	O
品	En	O
药	Bnt	O
品	Mnt	O
监	Mnt	O
督	Mnt	O
管	Mnt	O
理	Mnt	O
局	Ent	O
组	Bv	O
织	Ev	O
抽	Bv	O
检	Ev	O
粮	Bn	O
食	En	O
加	Bn	O
工	Mn	O
品	En	O
、	Sw	O
肉	Bn	O
制	Mn	O
品	En	O
、	Sw	O
糖	Bn	O
果	En	O
制	Bn	O
品	En	O
、	Sw	O
饮	Bn	O
料	En	O
、	Sw	O
调	Bn	O
味	Mn	O
品	En	O
、	Sw	O
蔬	Bn	O
菜	Mn	O
制	Mn	O
品	En	O
、	Sw	O
酒	Bn	O
类	En	O
、	Sw	O
糕	Bn	O
点	En	O
、	Sw	O
茶	Bn	O
叶	En	O
及	Sc	O
相	Bv	O
关	Ev	O
制	Bn	O
品	En	O
、	Sw	O
淀	Bn	O
粉	En	O
及	Sc	O
淀	Bn	O
粉	En	O
制	Bn	O
品	En	O
、	Sw	O
蛋	Bn	O
制	Mn	O
品	En	O
、	Sw	O
食	Bn	O
用	Mn	O
油	En	O
、	Sw	O
油	Bn	O
脂	En	O
及	Bc	O
其	Ec	O
制	Bn	O
品	En	O
、	Sw	O
蜂	Bn	O
产	Mn	O
品	En	O
、	Sw	O
罐	Bn	O
头	En	O
、	Sw	O
水	Bn	O
果	En	O
制	Bn	O
品	En	O
、	Sw	O
薯	Bn	O
类	En	O
和	Sc	O
膨	Bl	O
化	Ml	O
食	Ml	O
品	El	O
、	Sw	O
豆	Bn	O
