贵	Bns	B
州	Mns	I
省	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E
发	Bv	O
布	Ev	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O

第	Sm	O
3	Bm	O
4	Em	O
期	Sn	O
省	Bb	O
级	Eb	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
公	Bn	O
告	En	O
。	Sw	O

近	Bt	O
期	Et	O
，	Sw	O
省	Sn	O
食	Bn	O
品	En	O
药	Bnt	O
品	Mnt	O
监	Mnt	O
督	Mnt	O
管	Mnt	O
理	Mnt	O
局	Ent	O
组	Bv	O
织	Ev	O
开	Bv	O
展	Ev	O
了	Sul	O
蜂	Bn	O
产	Mn	O
品	En	O
的	Suj	O
专	Bn	O
项	En	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
，	Sw	O
共	Sd	O
抽	Bv	O
检	Ev	O
蜂	Bn	O
产	Mn	O
品	En	O
1	Bm	O
0	Em	O
批	Bd	O
次	Ed	O
样	Bn	O
品	En	O
，	Sw	O
抽	Bv	O
样	Ev	O
检	Bvn	O
验	Evn	O
项	Bn	O
目	En	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
9	Sw	O
批	Bd	O
次	Ed	O
,	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
1	Sw	O
批	Bd	O
次	Ed	O
。	Sw	O

（	Sw	O
抽	Bv	O
检	Ev	O
情	Bn	O
况	En	O
见	Sv	O
附	Bn	O
件	En	O
）	Sw	O
。	Sw	O

根	Bp	O
据	Ep	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
国	Bn	O
家	Mn	O
标	Mn	O
准	En	O
，	Sw	O
个	Bn	O
别	En	O
项	Bn	O
目	En	O
不	Sd	O
合	Bn	O
格	En	O
，	Sw	O
其	Sr	O
产	Bn	O
品	En	O
即	Sv	O
判	Bv	O
定	Ev	O
为	Sp	O
不	Sv	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
。	Sw	O

具	Bl	O
体	Ml	O
情	Ml	O
况	El	O
公	Bn	O
告	En	O
如	Bt	O
下	Et	O
：	Sw	O

一	Sm	O
、	Sw	O
总	Bn	O
体	En	O
情	Bn	O
况	En	O
：	Sw	O
蜂	Bn	O
产	Mn	O
品	En	O
1	Bm	O
0	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
1	Sw	O
批	Bd	O
次	Ed	O
。	Sw	O

二	Sm	O
、	Sw	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
情	Bn	O
况	En	O
如	Bt	O
下	Et	O
：	Sw	O

三	Sm	O
、	Sw	O
对	Sp	O
上	Bb	O
述	Eb	O
抽	Bv	O
检	Ev	O
中	Sf	O
发	Bv	O
现	Ev	O
的	Suj	O
不	Sa	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
，	Sw	O
我	Br	O
局	Er	O
已	Sd	O
要	Bv	O
求	Ev	O
生	Bvn	O
产	Evn	O
单	Bn	O
位	En	O
所	Bn	O
在	Mn	O
地	En	O
六	Bns	O
盘	Mns	O
水	Mns	O
市	Ens	O
食	Bn	O
品	En	O
药	Bnt	O
品	Mnt	O
监	Mnt	O
督	Mnt	O
管	Mnt	O
理	Mnt	O
局	Ent	O
按	Bp	O
照	Ep	O
《	Sw	O
中	Bns	O
华	Mns	O
人	Mns	O
民	Mns	O
共	Mns	O
和	Mns	O
国	Ens	O
食	Bn	O
品	En	O
安	Bnr	O
全	Mnr	O
法	Enr	O
》	Sw	O
规	Bn	O
定	En	O
，	Sw	O
责	Bn	O
令	En	O
生	Bvn	O
产	Evn	O
单	Bn	O
位	En	O
及	Bc	O
时	Ec	O
采	Bv	O
取	Ev	O
下	Bv	O
架	Ev	O
、	Sw	O
召	Bv	O
回	Ev	O
、	Sw	O
立	Bn	O
案	En	O
调	Bvn	O
查	Evn	O
等	Su	O
措	Bn	O
施	En	O
。	Sw	O

查	Bnr	O
明	Enr	O
不	Sd	O
合	Bn	O
格	En	O
食	Bn	O
品	En	O
的	Suj	O
批	Bd	O
次	Ed	O
、	Sw	O
数	Bn	O
量	En	O
和	Sc	O
原	Bn	O
因	En	O
，	Sw	O
制	Bv	O
定	Ev	O
整	Bn	O
改	Mn	O
措	Mn	O
施	En	O
，	Sw	O
防	Bvn	O
控	Evn	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
风	Bn	O
险	En	O
。	Sw	O

特	Bd	O
此	Ed	O
公	Bn	O
告	En	O
。	Sw	O

附	Bn	O
件	En	O
：	Sw	O
1	Bm	O
.	Em	O
本	Br	O
次	Er	O
检	Bvn	O
验	Evn	O
项	Bn	O
目	En	O

2	Bm	O
.	Em	O
部	Bn	O
分	En	O
不	Sd	O
合	Bn	O
格	En	O
项	Bn	O
目	En	O
的	Suj	O
小	Sn	O
知	Bv	O
识	Ev	O

3	Bm	O
.	Em	O
食	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
不	Sd	O
合	Bn	O
格	En	O
-	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Mm	O
0	Mm	O
9	Mm	O
2	Mm	O
8	Em	O
-	Sw	O
蜂	Bn	O
产	Mn	O
品	En	O

