湖	Bns	B
北	Mns	I
省	Ens	I
食	Sv	I
药	Bnt	I
监	Mnt	I
局	Ent	E
发	Bv	O
布	Ev	O
关	Bp	O
于	Ep	O
2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
7	Sm	O
月	Sm	O
食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
监	Bvn	O
督	Evn	O
抽	Bv	O
检	Ev	O
汇	Bn	O
总	En	O
情	Bn	O
况	En	O
分	Bvn	O
析	Evn	O
。	Sw	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
7	Sm	O
月	Sm	O
，	Sw	O
全	Bn	O
省	En	O
共	Sd	O
完	Bv	O
成	Ev	O

食	Bl	O
品	Ml	O
安	Ml	O
全	El	O

监	Bvn	O
督	Evn	O

抽	Bv	O
检	Ev	O
3	Bm	O
3	Em	O
大	Bn	O
类	En	O

食	Bn	O
品	En	O
1	Bm	O
1	Mm	O
8	Mm	O
7	Mm	O
8	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
分	Bd	O
别	Ed	O
按	Bp	O
照	Ep	O
相	Bv	O
关	Ev	O

食	Bl	O
品	Ml	O
安	Ml	O
全	El	O
国	Bn	O
家	Mn	O
标	Mn	O
准	En	O
及	Sc	O
产	Bn	O
品	En	O
明	Bv	O
示	Ev	O

标	Bn	O
准	En	O
等	Su	O
进	Bv	O
行	Ev	O
检	Bvn	O
验	Evn	O
，	Sw	O
共	Sd	O
发	Bv	O
现	Ev	O
不	Sd	O
合	Bn	O
格	En	O
样	Bn	O
品	En	O
5	Bm	O
1	Mm	O
4	Em	O
批	Bd	O
次	Ed	O
，	Sw	O
总	Bn	O
体	En	O
发	Bv	O
现	Ev	O
样	Bn	O
品	En	O
不	Bn	O
合	Mn	O
格	Mn	O
率	En	O
为	Sp	O
4	Bm	O
.	Mm	O
3	Mm	O
3	Em	O
%	Sw	O
。	Sw	O

检	Bv	O
出	Ev	O
问	Bn	O
题	En	O
的	Suj	O
食	Bn	O
品	En	O
有	Sv	O
2	Bm	O
6	Em	O
大	Bn	O
类	En	O
，	Sw	O
分	Bd	O
别	Ed	O
为	Sp	O
粮	Bn	O
食	En	O
加	Bn	O
工	Mn	O
品	En	O
、	Sw	O
食	Bn	O
用	Mn	O
油	En	O
、	Sw	O
油	Bn	O
脂	En	O
及	Bc	O
其	Ec	O
制	Bn	O
品	En	O
、	Sw	O
调	Bn	O
味	Mn	O
品	En	O
、	Sw	O
肉	Bn	O
制	Mn	O
品	En	O
、	Sw	O
饮	Bn	O
料	En	O
、	Sw	O
方	Ba	O
便	Ea	O
食	Bn	O
品	En	O
、	Sw	O
饼	Bn	O
干	En	O
、	Sw	O
罐	Bn	O
头	En	O
、	Sw	O
冷	Bv	O
冻	Ev	O
饮	Bn	O
品	En	O
、	Sw	O
速	Bn	O
冻	En	O
食	Bn	O
品	En	O
、	Sw	O
薯	Bn	O
类	En	O
和	Sc	O
膨	Bl	O
化	Ml	O
食	Ml	O
品	El	O
、	Sw	O
糖	Bn	O
果	En	O
制	Bn	O
品	En	O
、	Sw	O
茶	Bn	O
叶	En	O
及	Sc	O
相	Bv	O
关	Ev	O
制	Bn	O
品	En	O
、	Sw	O
酒	Bn	O
类	En	O
、	Sw	O
蔬	Bn	O
菜	Mn	O
制	Mn	O
品	En	O
、	Sw	O
水	Bn	O
果	En	O
制	Bn	O
品	En	O
、	Sw	O
炒	Bv	O
货	Ev	O
食	Bn	O
品	En	O
及	Sc	O
坚	Bn	O
果	En	O
制	Bn	O
品	En	O
、	Sw	O
蛋	Bn	O
制	Mn	O
品	En	O
、	Sw	O
水	Bn	O
产	En	O
制	Bn	O
品	En	O
、	Sw	O
淀	Bn	O
粉	En	O
及	Sc	O
淀	Bn	O
粉	En	O
制	Bn	O
品	En	O
、	Sw	O
糕	Bn	O
点	En	O
、	Sw	O
豆	Bn	O
制	Mn	O
品	En	O
、	Sw	O
